"Column_Names","Corresponding_files","Unit","Definition","Column_Long_Name","data_type","Instrument_ifapplicable","Method_ifapplicable"
"H2S_mean_uM","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","umoles/L","Sulfide concentration in uM, mean of analytical replicates during sample analysis","H2S_mean_uM","numeric","Modified Cline (1969) method measured with Agilent BioTek PowerWave Microplate Reader","Adapted from Cline, 1969, Ehrhardt et al., 1999"
"H2S_sd_uM","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","umoles/L","Sulfide concentration standard deviation in uM of analytical replicates during sample analysis","H2S_sd_uM","numeric","Sulfide concentration standard deviation in uM of analytical replicates during sample analysis","Adapted from Cline, 1969, Ehrhardt et al., 1999"
"H2S_flag","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Sulfide concentration flag (adl = above detection limit (100 umoles/L), bdl = below detection limit (0 umoles/L))","H2S_flag","text","Sulfide concentration flag (adl = above detection limit (100 umoles/L), bdl = below detection limit (0 umoles/L))","Adapted from Cline, 1969, Ehrhardt et al., 1999"
"pH","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","pH of sample","pH","numeric","Oakton Instruments PCTSTestr","NA"
"pH_flag","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","pH flag (pH value is outside the typical range = pH is less than 3.5 or greater than 8)","pH_flag","text","NA","NA"
"Cond","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","mS/cm or uS/cm","Conductivity of sample","Cond","numeric","Oakton Instruments PCTSTestr","NA"
"Cond_units","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","mS/cm or uS/cm","Conductivity units","Cond_units","text","NA","NA"
"Collection_temp_C","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","degrees Celsius","Temperature of sample when collected (degrees Celsius)","Collection_temp_C","numeric","Oakton Instruments PCTSTestr","NA"
"Temperature_flag","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Temperature flag (temperature not recorded)","Temperature_flag","text","NA","NA"
"Analyte_Notes","YYYY/COMPASS_TEMPEST_water_DOC_Nutr_SO4_Cl_H2S_pH_YYYY.csv","NA","Notes for analytes not measured","Analyte_Notes","text","NA","NA"
"Wavelength_nm","YYYY/COMPASS_TEMPEST_water_CDOM/Abs_YYYY/SampleID_ABS_DilCorr.csv","nm","Wavelength in nm at which absorbance was measured (column in sample absorbance data files)","Wavelength_nm","numeric","Aqualog (Horiba Scientific)","UV absorbance scans and excitation-emission matrices (EEMs) were collected simultaneously on filtered samples using an Aqualog (Horiba Scientific). Absorbance was measured from 230-800 nm in 3 nm intervals. EEMs were collected within the same wavelength constraints. Daily fresh Milli-Q water was used to obtain blank spectra. Absorbance data were blank-corrected prior to exporting data in the Aqualog software. Data were processed with the drEEM toolbox v. 6.0 for Matlab or using the fewsdom package (v1.1.5) in R (v4.3.2). Processing of the EEMs include blank correction, scatter line removal, inner filter effect and dilution correction, and normalization to Raman Scatter units based on daily water Raman scans collected at an excitation of 350 nm. Samples with absorbance at 254 nm above 0.3 were diluted and reanalyzed to maintain linearity between concentration and fluorescence intensity (Miller et al., 2010)."
"Dilution_Corrected_Absorbance","YYYY/COMPASS_TEMPEST_water_CDOM/Abs_YYYY/SampleID_ABS_DilCorr.csv","NA","Absorbance corrected for sample dilution (column in sample absorbance data files)","Dilution_Corrected_Absorbance","numeric","Aqualog (Horiba Scientific)","UV absorbance scans and excitation-emission matrices (EEMs) were collected simultaneously on filtered samples using an Aqualog (Horiba Scientific). Absorbance was measured from 230-800 nm in 3 nm intervals. EEMs were collected within the same wavelength constraints. Daily fresh Milli-Q water was used to obtain blank spectra. Absorbance data were blank-corrected prior to exporting data in the Aqualog software. Data were processed with the drEEM toolbox v. 6.0 for Matlab or using the fewsdom package (v1.1.5) in R (v4.3.2). Processing of the EEMs include blank correction, scatter line removal, inner filter effect and dilution correction, and normalization to Raman Scatter units based on daily water Raman scans collected at an excitation of 350 nm. Samples with absorbance at 254 nm above 0.3 were diluted and reanalyzed to maintain linearity between concentration and fluorescence intensity (Miller et al., 2010)."
"integration_time_s","YYYY/COMPASS_TEMPEST_water_CDOM/CDOM_metadata_YYYY.csv","seconds","Integration time used for sample measurement (in second)","integration_time_s","numeric","Aqualog (Horiba Scientific)","UV absorbance scans and excitation-emission matrices (EEMs) were collected simultaneously on filtered samples using an Aqualog (Horiba Scientific). Absorbance was measured from 230-800 nm in 3 nm intervals. EEMs were collected within the same wavelength constraints. Daily fresh Milli-Q water was used to obtain blank spectra. Absorbance data were blank-corrected prior to exporting data in the Aqualog software. Data were processed with the drEEM toolbox v. 6.0 for Matlab or using the fewsdom package (v1.1.5) in R (v4.3.2). Processing of the EEMs include blank correction, scatter line removal, inner filter effect and dilution correction, and normalization to Raman Scatter units based on daily water Raman scans collected at an excitation of 350 nm. Samples with absorbance at 254 nm above 0.3 were diluted and reanalyzed to maintain linearity between concentration and fluorescence intensity (Miller et al., 2010)."
"dilution_factor","YYYY/COMPASS_TEMPEST_water_CDOM/CDOM_metadata_YYYY.csv","NA","Dilution factor of sample (e.g., a 2-fold dilution with 1 part sample and 1 part water will have a dilution factor of 0.5)","dilution_factor","numeric","Aqualog (Horiba Scientific)","UV absorbance scans and excitation-emission matrices (EEMs) were collected simultaneously on filtered samples using an Aqualog (Horiba Scientific). Absorbance was measured from 230-800 nm in 3 nm intervals. EEMs were collected within the same wavelength constraints. Daily fresh Milli-Q water was used to obtain blank spectra. Absorbance data were blank-corrected prior to exporting data in the Aqualog software. Data were processed with the drEEM toolbox v. 6.0 for Matlab or using the fewsdom package (v1.1.5) in R (v4.3.2). Processing of the EEMs include blank correction, scatter line removal, inner filter effect and dilution correction, and normalization to Raman Scatter units based on daily water Raman scans collected at an excitation of 350 nm. Samples with absorbance at 254 nm above 0.3 were diluted and reanalyzed to maintain linearity between concentration and fluorescence intensity (Miller et al., 2010)."
"RSU_area_1s","YYYY/COMPASS_TEMPEST_water_CDOM/CDOM_metadata_YYYY.csv","NA","Raman Scatter Unit-adjusted area from daily water Raman scan with a 1s integration time","RSU_area_1s","numeric","Aqualog (Horiba Scientific)","UV absorbance scans and excitation-emission matrices (EEMs) were collected simultaneously on filtered samples using an Aqualog (Horiba Scientific). Absorbance was measured from 230-800 nm in 3 nm intervals. EEMs were collected within the same wavelength constraints. Daily fresh Milli-Q water was used to obtain blank spectra. Absorbance data were blank-corrected prior to exporting data in the Aqualog software. Data were processed with the drEEM toolbox v. 6.0 for Matlab or using the fewsdom package (v1.1.5) in R (v4.3.2). Processing of the EEMs include blank correction, scatter line removal, inner filter effect and dilution correction, and normalization to Raman Scatter units based on daily water Raman scans collected at an excitation of 350 nm. Samples with absorbance at 254 nm above 0.3 were diluted and reanalyzed to maintain linearity between concentration and fluorescence intensity (Miller et al., 2010)."
"abs_file_id","YYYY/COMPASS_TEMPEST_water_CDOM/CDOM_metadata_YYYY.csv","NA","Processed UV absorbance scan (Abs) file IDs - (Processing step: dilution corrected)","abs_file_id","text","Aqualog (Horiba Scientific)","UV absorbance scans and excitation-emission matrices (EEMs) were collected simultaneously on filtered samples using an Aqualog (Horiba Scientific). Absorbance was measured from 230-800 nm in 3 nm intervals. EEMs were collected within the same wavelength constraints. Daily fresh Milli-Q water was used to obtain blank spectra. Absorbance data were blank-corrected prior to exporting data in the Aqualog software. Data were processed with the drEEM toolbox v. 6.0 for Matlab or using the fewsdom package (v1.1.5) in R (v4.3.2). Processing of the EEMs include blank correction, scatter line removal, inner filter effect and dilution correction, and normalization to Raman Scatter units based on daily water Raman scans collected at an excitation of 350 nm. Samples with absorbance at 254 nm above 0.3 were diluted and reanalyzed to maintain linearity between concentration and fluorescence intensity (Miller et al., 2010)."
"eem_file_id","YYYY/COMPASS_TEMPEST_water_CDOM/CDOM_metadata_YYYY.csv","NA","Processed excitation-emission matrices (EEM) file IDs (Processing steps include blank subtraction, Raman scattering removal, Rayleigh scattering removal, inner filter effect correction, Raman area normalization, dilution correction)","eem_file_id","text","Aqualog (Horiba Scientific)","UV absorbance scans and excitation-emission matrices (EEMs) were collected simultaneously on filtered samples using an Aqualog (Horiba Scientific). Absorbance was measured from 230-800 nm in 3 nm intervals. EEMs were collected within the same wavelength constraints. Daily fresh Milli-Q water was used to obtain blank spectra. Absorbance data were blank-corrected prior to exporting data in the Aqualog software. Data were processed with the drEEM toolbox v. 6.0 for Matlab or using the fewsdom package (v1.1.5) in R (v4.3.2). Processing of the EEMs include blank correction, scatter line removal, inner filter effect and dilution correction, and normalization to Raman Scatter units based on daily water Raman scans collected at an excitation of 350 nm. Samples with absorbance at 254 nm above 0.3 were diluted and reanalyzed to maintain linearity between concentration and fluorescence intensity (Miller et al., 2010)."
