Site,plot,grid,pH,collection_temp_C,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date,flag
TEMPEST,Saltwater,C6,6.37,12.3,2025-02-04T17:30:00Z,20250204,1230,EST,2025-01-31,NA
TEMPEST,Saltwater,F4,6.35,12.1,2025-02-04T17:58:00Z,20250204,1258,EST,2025-01-31,NA
TEMPEST,Saltwater,H3,6.49,12.9,2025-02-04T18:17:00Z,20250204,1317,EST,2025-01-31,NA
TEMPEST,Saltwater,H6,6.64,12.3,2025-02-04T18:33:00Z,20250204,1333,EST,2025-01-31,NA
TEMPEST,Saltwater,C3,6.08,13,2025-02-04T17:20:00Z,20250204,1220,EST,2025-01-31,NA
TEMPEST,Saltwater,D5,6.14,11.9,2025-02-04T17:39:00Z,20250204,1239,EST,2025-01-31,NA
TEMPEST,Saltwater,E3,5.97,12.8,2025-02-04T18:06:00Z,20250204,1306,EST,2025-01-31,NA
TEMPEST,Saltwater,F6,6.1,12.5,2025-02-04T17:48:00Z,20250204,1248,EST,2025-01-31,NA
TEMPEST,Saltwater,I5,5.22,11.3,2025-02-04T18:25:00Z,20250204,1325,EST,2025-01-31,NA
TEMPEST,Freshwater,C3,6.66,11.1,2025-02-04T19:27:00Z,20250204,1427,EST,2025-01-31,NA
TEMPEST,Freshwater,C6,7.1,11.2,2025-02-04T18:58:00Z,20250204,1358,EST,2025-01-31,NA
TEMPEST,Freshwater,F4,6.39,10.8,2025-02-04T19:44:00Z,20250204,1444,EST,2025-01-31,NA
TEMPEST,Freshwater,H3,5.9,10.1,2025-02-04T19:54:00Z,20250204,1454,EST,2025-01-31,NA
TEMPEST,Freshwater,H6,6.63,10,2025-02-04T20:12:00Z,20250204,1512,EST,2025-01-31,NA
TEMPEST,Freshwater,B4,6.51,10,2025-02-04T19:07:00Z,20250204,1407,EST,2025-01-31,NA
TEMPEST,Freshwater,D5,6.29,10.4,2025-02-04T19:24:00Z,20250204,1424,EST,2025-01-31,NA
TEMPEST,Freshwater,E3,6.19,10.2,2025-02-04T19:33:00Z,20250204,1433,EST,2025-01-31,NA
TEMPEST,Freshwater,F6,6.36,8.8,2025-02-04T20:22:00Z,20250204,1522,EST,2025-01-31,NA
TEMPEST,Freshwater,I5,6.41,10.2,2025-02-04T20:02:00Z,20250204,1502,EST,2025-01-31,NA
TEMPEST,Control,C6,6.8,22.4,2025-04-03T17:50:00Z,20250403,1350,EDT,2025-03-31,NA
TEMPEST,Control,H3,5.83,27.8,2025-04-03T18:20:00Z,20250403,1420,EDT,2025-03-31,NA
TEMPEST,Control,H6,6.24,15.6,2025-04-06T16:18:00Z,20250406,1218,EDT,NA,NA
TEMPEST,Control,B4,5.99,24.3,2025-04-03T17:58:00Z,20250403,1358,EDT,2025-03-31,NA
TEMPEST,Control,F6,6.11,17.5,2025-04-06T16:09:00Z,20250406,1209,EDT,NA,NA
TEMPEST,Control,I5,5.57,20.2,2025-04-03T18:24:00Z,20250403,1424,EDT,2025-03-31,NA
TEMPEST,Saltwater,C3,6.12,22,2025-04-03T17:36:00Z,20250403,1336,EDT,2025-03-31,NA
TEMPEST,Saltwater,C6,6.72,17.9,2025-04-03T16:47:00Z,20250403,1247,EDT,2025-03-31,NA
TEMPEST,Saltwater,F4,7.1,24,2025-04-03T17:23:00Z,20250403,1323,EDT,2025-03-31,NA
TEMPEST,Saltwater,H6,6.86,19.7,2025-04-03T17:09:00Z,20250403,1309,EDT,2025-03-31,NA
TEMPEST,Saltwater,B4,6.39,15.6,2025-04-03T16:32:00Z,20250403,1232,EDT,2025-03-31,NA
TEMPEST,Saltwater,D5,6.54,19.2,2025-04-03T16:55:00Z,20250403,1255,EDT,2025-03-31,NA
TEMPEST,Saltwater,E3,6.31,17.4,2025-04-03T17:27:00Z,20250403,1327,EDT,2025-03-31,NA
TEMPEST,Saltwater,I5,6.07,17.6,2025-04-06T15:49:00Z,20250406,1149,EDT,NA,NA
TEMPEST,Freshwater,C3,6.79,15.5,2025-04-03T14:56:00Z,20250403,1056,EDT,2025-03-31,NA
TEMPEST,Freshwater,C3,6.8,16.4,2025-04-06T15:20:00Z,20250406,1120,EDT,2025-04-03,NA
TEMPEST,Freshwater,C6,6.1,14.9,2025-04-03T15:24:00Z,20250403,1124,EDT,2025-03-31,NA
TEMPEST,Freshwater,F4,6.57,14.9,2025-04-03T14:28:00Z,20250403,1028,EDT,2025-03-31,NA
TEMPEST,Freshwater,D5,6.09,14.6,2025-04-03T15:10:00Z,20250403,1110,EDT,2025-03-31,NA
TEMPEST,Freshwater,F6,6.74,16.5,2025-04-03T14:17:00Z,20250403,1017,EDT,2025-03-31,NA
TEMPEST,Freshwater,F6,7.21,17.6,2025-04-06T15:12:00Z,20250406,1112,EDT,2025-04-03,NA
TEMPEST,Freshwater,I5,7,16.7,2025-04-03T14:06:00Z,20250403,1006,EDT,2025-03-31,NA
TEMPEST,Control,H3,5.72,NA,2025-05-09T17:23:00Z,20250509,1323,EDT,2025-05-06,temperature not recorded
TEMPEST,Control,H6,6.09,NA,2025-05-09T17:31:00Z,20250509,1331,EDT,2025-05-06,temperature not recorded
TEMPEST,Control,D5,6.12,NA,2025-05-09T17:35:00Z,20250509,1335,EDT,2025-05-06,temperature not recorded
TEMPEST,Control,I5,5.76,NA,2025-05-09T17:27:00Z,20250509,1327,EDT,2025-05-06,temperature not recorded
TEMPEST,Saltwater,B4,7.04,NA,2025-05-09T15:52:00Z,20250509,1152,EDT,2025-05-06,temperature not recorded
TEMPEST,Saltwater,E3,6.49,NA,2025-05-09T15:49:00Z,20250509,1149,EDT,2025-05-06,temperature not recorded
TEMPEST,Freshwater,F4,6.43,NA,2025-05-09T14:31:00Z,20250509,1031,EDT,2025-05-06,temperature not recorded
TEMPEST,Freshwater,B4,6.78,NA,2025-05-09T14:26:00Z,20250509,1026,EDT,2025-05-06,temperature not recorded
TEMPEST,Freshwater,D5,6.38,NA,2025-05-09T14:22:00Z,20250509,1022,EDT,2025-05-06,temperature not recorded
TEMPEST,Freshwater,I5,6.57,NA,2025-05-09T14:35:00Z,20250509,1035,EDT,2025-05-06,temperature not recorded
TEMPEST,Saltwater,C6,7.03,20.3,2025-05-12T13:50:00Z,20250512,950,EDT,NA,NA
TEMPEST,Saltwater,B4,7.29,19.5,2025-05-12T13:43:00Z,20250512,943,EDT,NA,NA
TEMPEST,Saltwater,D5,6.72,19.8,2025-05-12T13:56:00Z,20250512,956,EDT,NA,NA
TEMPEST,Saltwater,E3,6.65,21.2,2025-05-12T14:13:00Z,20250512,1013,EDT,NA,NA
TEMPEST,Saltwater,F6,6.97,21.3,2025-05-12T14:02:00Z,20250512,1002,EDT,NA,NA
TEMPEST,Freshwater,C6,6.46,18.4,2025-05-12T14:30:00Z,20250512,1030,EDT,2025-05-09,NA
TEMPEST,Freshwater,F4,6.4,22.1,2025-05-12T14:56:00Z,20250512,1056,EDT,2025-05-09,NA
TEMPEST,Freshwater,H3,6.43,22,2025-05-12T14:59:00Z,20250512,1059,EDT,2025-05-09,NA
TEMPEST,Freshwater,F6,6.76,21.6,2025-05-12T14:47:00Z,20250512,1047,EDT,2025-05-09,NA
TEMPEST,Control,B4,5.71,18,2025-06-02T19:58:00Z,20250602,1558,EDT,2025-05-30,NA
TEMPEST,Control,C3,5.65,18.1,2025-06-02T20:09:00Z,20250602,1609,EDT,2025-05-30,NA
TEMPEST,Control,C6,6.87,18.2,2025-06-02T19:46:00Z,20250602,1546,EDT,2025-05-30,NA
TEMPEST,Control,F4,6.75,17.6,2025-06-02T20:34:00Z,20250602,1634,EDT,2025-05-30,NA
TEMPEST,Control,F6,6.89,17.9,2025-06-02T20:24:00Z,20250602,1624,EDT,2025-05-30,NA
TEMPEST,Control,H3,6.5,17.8,2025-06-02T20:43:00Z,20250602,1643,EDT,2025-05-30,NA
TEMPEST,Control,H6,6.72,18.5,2025-06-02T21:07:00Z,20250602,1707,EDT,2025-05-30,NA
TEMPEST,Control,I5,6.31,17.5,2025-06-02T20:56:00Z,20250602,1656,EDT,2025-05-30,NA
TEMPEST,Saltwater,B4,6.31,17.7,2025-06-02T19:31:00Z,20250602,1531,EDT,2025-05-30,NA
TEMPEST,Saltwater,C3,6.04,17.4,2025-06-02T19:18:00Z,20250602,1518,EDT,2025-05-30,NA
TEMPEST,Saltwater,C6,6.4,17,2025-06-02T16:34:00Z,20250602,1234,EDT,2025-05-30,NA
TEMPEST,Saltwater,D5,6.16,16.6,2025-06-02T16:48:00Z,20250602,1248,EDT,2025-05-30,NA
TEMPEST,Saltwater,E3,6.14,17.4,2025-06-02T19:04:00Z,20250602,1504,EDT,2025-05-30,NA
TEMPEST,Saltwater,F4,6.37,16.8,2025-06-02T17:38:00Z,20250602,1338,EDT,2025-05-30,NA
TEMPEST,Saltwater,F6,6.37,16.5,2025-06-02T16:59:00Z,20250602,1259,EDT,2025-05-30,NA
TEMPEST,Saltwater,H3,6.22,16.9,2025-06-02T17:23:00Z,20250602,1323,EDT,2025-05-30,NA
TEMPEST,Saltwater,H6,6.3,16.9,2025-06-02T17:11:00Z,20250602,1311,EDT,2025-05-30,NA
TEMPEST,Freshwater,B4,6.09,16.8,2025-06-02T15:59:00Z,20250602,1159,EDT,2025-05-30,NA
TEMPEST,Freshwater,C3,6.19,16.6,2025-06-02T15:47:00Z,20250602,1147,EDT,2025-05-30,NA
TEMPEST,Freshwater,C6,5.74,16.8,2025-06-02T16:21:00Z,20250602,1221,EDT,2025-05-30,NA
TEMPEST,Freshwater,D5,5.96,16.9,2025-06-02T16:10:00Z,20250602,1210,EDT,2025-05-30,NA
TEMPEST,Freshwater,E3,6.1,17.5,2025-06-02T15:38:00Z,20250602,1138,EDT,2025-05-30,NA
TEMPEST,Freshwater,F4,6.2,17.3,2025-06-02T15:02:00Z,20250602,1102,EDT,2025-05-30,NA
TEMPEST,Freshwater,F6,6.06,17.6,2025-06-02T15:25:00Z,20250602,1125,EDT,2025-05-30,NA
TEMPEST,Freshwater,H3,5.66,16.4,2025-06-02T14:51:00Z,20250602,1051,EDT,2025-05-30,NA
TEMPEST,Freshwater,H6,6.53,17.3,2025-06-02T15:13:00Z,20250602,1113,EDT,2025-05-30,NA
TEMPEST,Freshwater,I5,6.41,17,2025-06-02T14:33:00Z,20250602,1033,EDT,2025-05-30,NA
TEMPEST,Control,H3,5.64,25,2025-07-11T16:15:00Z,20250711,1215,EDT,2025-07-08,NA
TEMPEST,Control,H6,5.8,24.9,2025-07-11T16:24:00Z,20250711,1224,EDT,2025-07-08,NA
TEMPEST,Control,I5,5.36,24.7,2025-07-11T16:36:00Z,20250711,1236,EDT,2025-07-08,NA
TEMPEST,Saltwater,B4,6.39,24.2,2025-07-11T11:38:00Z,20250711,738,EDT,2025-07-08,NA
TEMPEST,Saltwater,D5,5.9,23.4,2025-07-11T12:01:00Z,20250711,801,EDT,2025-07-08,NA
TEMPEST,Saltwater,F6,6.4,23.6,2025-07-11T12:27:00Z,20250711,827,EDT,2025-07-08,NA
TEMPEST,Saltwater,H6,6.1,24.3,2025-07-11T12:55:00Z,20250711,855,EDT,2025-07-08,NA
TEMPEST,Saltwater,I5,6.53,24.9,2025-07-11T13:05:00Z,20250711,905,EDT,2025-07-08,NA
TEMPEST,Freshwater,C3,6.5,24.9,2025-07-11T14:06:00Z,20250711,1006,EDT,2025-07-08,NA
TEMPEST,Freshwater,C6,5.63,25,2025-07-11T14:15:00Z,20250711,1015,EDT,2025-07-08,NA
TEMPEST,Freshwater,D5,5.89,24.9,2025-07-11T14:27:00Z,20250711,1027,EDT,2025-07-08,NA
TEMPEST,Freshwater,H6,6.91,26.3,2025-07-11T15:16:00Z,20250711,1116,EDT,2025-07-08,NA
TEMPEST,Freshwater,I5,6.55,25.7,2025-07-11T15:10:00Z,20250711,1110,EDT,2025-07-08,NA
TEMPEST,Saltwater,C6,7.03,22,2025-09-29T13:25:00Z,20250929,925,EDT,2025-09-26,NA
TEMPEST,Saltwater,D5,6.17,21.4,2025-09-29T13:39:00Z,20250929,939,EDT,2025-09-26,NA
TEMPEST,Saltwater,H3,6.27,21.2,2025-09-29T14:00:00Z,20250929,1000,EDT,2025-09-26,NA
TEMPEST,Saltwater,H6,6.27,22.7,2025-09-26T16:15:00Z,20250926,1215,EDT,2025-09-23,NA
TEMPEST,Control,I5,6.98,15.9,2025-11-01T14:52:00Z,20251101,1052,EDT,2025-10-29,NA
TEMPEST,Saltwater,D5,6.71,14.8,2025-11-01T15:35:00Z,20251101,1135,EDT,2025-10-29,NA
TEMPEST,Saltwater,H3,6.62,15.9,2025-11-01T15:54:00Z,20251101,1154,EDT,2025-10-29,NA
TEMPEST,Freshwater,D5,7.02,16.8,2025-11-01T16:17:00Z,20251101,1217,EDT,2025-10-29,NA
TEMPEST,Freshwater,I5,7.38,15.1,2025-11-01T16:37:00Z,20251101,1237,EDT,2025-10-29,NA
