Site,plot,grid,pH,Cond,Cond_units,collection_temp_C,Instrument,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date,flag
TEMPEST,Freshwater,C3,6.32,34.2,uS/cm,23.2,Oakton,2024-08-12T13:51:00Z,20240812,951,EDT,NA,NA
TEMPEST,Freshwater,E3,6.14,35.4,uS/cm,23.5,Oakton,2024-08-12T13:46:00Z,20240812,946,EDT,NA,NA
TEMPEST,Freshwater,F6,6.18,31.4,uS/cm,23,Oakton,2024-08-12T13:41:00Z,20240812,941,EDT,NA,NA
TEMPEST,Freshwater,H3,6,41.5,uS/cm,23,Oakton,2024-08-12T13:28:00Z,20240812,928,EDT,NA,NA
TEMPEST,Freshwater,I5,6.92,113.2,uS/cm,22.5,Oakton,2024-08-12T13:18:00Z,20240812,918,EDT,NA,NA
TEMPEST,Saltwater,E3,4.74,3,mS/cm,22.9,Oakton,2024-08-12T14:40:00Z,20240812,1040,EDT,2024-08-08,NA
TEMPEST,Saltwater,H6,5.83,1237,uS/cm,22.7,Oakton,2024-08-12T14:27:00Z,20240812,1027,EDT,2024-08-08,NA
TEMPEST,Saltwater,C6,5.62,2.17,mS/cm,22.5,Oakton,2024-08-12T14:15:00Z,20240812,1015,EDT,2024-08-08,NA
TEMPEST,Freshwater,D5,6.01,39.2,uS/cm,22.9,Oakton,2024-08-12T14:00:00Z,20240812,1000,EDT,NA,NA
TEMPEST,Saltwater,F4,5.97,3.17,mS/cm,25.2,Oakton,2024-08-08T13:57:00Z,20240808,957,EDT,2024-08-05,NA
TEMPEST,Saltwater,H3,5.47,2.33,mS/cm,24.4,Oakton,2024-08-08T13:46:00Z,20240808,946,EDT,2024-08-05,NA
TEMPEST,Saltwater,I5,4.14,5.33,mS/cm,24.5,Oakton,2024-08-08T13:35:00Z,20240808,935,EDT,2024-08-05,NA
TEMPEST,Saltwater,H6,5.97,1459,uS/cm,24.4,Oakton,2024-08-08T13:25:00Z,20240808,925,EDT,2024-08-05,NA
TEMPEST,Saltwater,F6,5.17,3.68,mS/cm,24.3,Oakton,2024-08-08T13:19:00Z,20240808,919,EDT,2024-08-05,NA
TEMPEST,Saltwater,D5,5.02,2.69,mS/cm,24.6,Oakton,2024-08-08T13:07:00Z,20240808,907,EDT,2024-08-05,NA
TEMPEST,Freshwater,C6,6.17,33.6,uS/cm,25.2,Oakton,2024-08-08T12:52:00Z,20240808,852,EDT,2024-08-05,NA
TEMPEST,Freshwater,D5,6.28,47.4,uS/cm,24.8,Oakton,2024-08-08T12:47:00Z,20240808,847,EDT,2024-08-05,NA
TEMPEST,Freshwater,B4,6.64,42.8,uS/cm,25.1,Oakton,2024-08-08T12:43:00Z,20240808,843,EDT,2024-08-05,NA
TEMPEST,Freshwater,C3,6.83,51.5,uS/cm,24.6,Oakton,2024-08-08T12:38:00Z,20240808,838,EDT,2024-08-05,NA
TEMPEST,Freshwater,H6,6.95,82.2,uS/cm,24.4,Oakton,2024-08-08T12:27:00Z,20240808,827,EDT,2024-08-05,NA
TEMPEST,Control,I5,6.9,51.5,uS/cm,25.4,Oakton,2024-08-08T14:55:00Z,20240808,1055,EDT,NA,NA
TEMPEST,Control,H6,7.11,142.3,uS/cm,25,Oakton,2024-08-08T14:52:00Z,20240808,1052,EDT,NA,NA
TEMPEST,Saltwater,B4,5.43,4.12,mS/cm,24.4,Oakton,2024-08-08T14:12:00Z,20240808,1012,EDT,2024-08-05,NA
TEMPEST,Saltwater,C3,4.59,5.08,mS/cm,24.6,Oakton,2024-08-08T14:06:00Z,20240808,1006,EDT,2024-08-05,NA
TEMPEST,Saltwater,E3,5.2,3.3,mS/cm,25.3,Oakton,2024-08-08T14:02:00Z,20240808,1002,EDT,2024-08-05,NA
TEMPEST,Freshwater,I5,7.29,211,uS/cm,24.4,Oakton,2024-08-05T13:19:00Z,20240805,919,EDT,NA,NA
TEMPEST,Saltwater,C3,4.63,4.74,mS/cm,25.3,Oakton,2024-08-05T14:53:00Z,20240805,1053,EDT,2024-08-02,NA
TEMPEST,Saltwater,B4,5.59,3.84,mS/cm,24.9,Oakton,2024-08-05T14:44:00Z,20240805,1044,EDT,2024-08-02,NA
TEMPEST,Saltwater,D5,5.06,2.78,mS/cm,24.8,Oakton,2024-08-05T14:30:00Z,20240805,1030,EDT,2024-08-02,NA
TEMPEST,Saltwater,F6,5.14,4.18,mS/cm,25,Oakton,2024-08-05T14:19:00Z,20240805,1019,EDT,2024-08-02,NA
TEMPEST,Saltwater,E3,5.09,3.4,mS/cm,26,Oakton,2024-08-05T14:14:00Z,20240805,1014,EDT,2024-08-02,NA
TEMPEST,Saltwater,D5,4.83,3.33,mS/cm,27.2,Oakton,2024-08-02T15:43:00Z,20240802,1143,EDT,2024-07-30,NA
TEMPEST,Saltwater,C3,4.69,6.64,mS/cm,27.2,Oakton,2024-08-02T15:22:00Z,20240802,1122,EDT,2024-07-30,NA
TEMPEST,Freshwater,H6,6.76,80.7,uS/cm,30.2,Oakton,2024-07-15T17:10:00Z,20240715,1310,EDT,NA,NA
TEMPEST,Saltwater,B4,5.24,5.75,mS/cm,26.3,Oakton,2024-07-11T14:35:00Z,20240711,1035,EDT,NA,NA
TEMPEST,Saltwater,C3,4.28,7.45,mS/cm,26.9,Oakton,2024-06-24T13:56:00Z,20240624,956,EDT,2024-06-21,NA
TEMPEST,Freshwater,D5,5.94,56.6,uS/cm,27,Oakton,2024-06-24T14:36:00Z,20240624,1036,EDT,2024-06-21,NA
TEMPEST,Saltwater,F6,4.8,6.04,mS/cm,26.6,Oakton,2024-06-24T14:12:00Z,20240624,1012,EDT,2024-06-21,NA
TEMPEST,Freshwater,F4,5.91,129.9,uS/cm,23.6,Oakton,2024-06-17T13:58:00Z,20240617,958,EDT,2024-06-14,NA
TEMPEST,Freshwater,H6,7.09,91.3,uS/cm,24.6,Oakton,2024-06-17T13:50:00Z,20240617,950,EDT,2024-06-14,NA
TEMPEST,Freshwater,I5,6.72,123.6,uS/cm,23.4,Oakton,2024-06-17T13:36:00Z,20240617,936,EDT,2024-06-14,NA
TEMPEST,Saltwater,C3,4.81,8.47,mS/cm,23.6,Oakton,2024-06-17T15:24:00Z,20240617,1124,EDT,2024-06-14,NA
TEMPEST,Saltwater,B4,5.81,9.32,mS/cm,24.2,Oakton,2024-06-17T15:12:00Z,20240617,1112,EDT,2024-06-14,NA
TEMPEST,Saltwater,H6,6.43,4.7,mS/cm,25.4,Oakton,2024-06-17T14:51:00Z,20240617,1051,EDT,2024-06-14,NA
TEMPEST,Saltwater,F6,5.44,8.11,mS/cm,23.8,Oakton,2024-06-17T14:40:00Z,20240617,1040,EDT,2024-06-14,NA
TEMPEST,Freshwater,C6,6.01,56.7,uS/cm,23.6,Oakton,2024-06-17T14:24:00Z,20240617,1024,EDT,2024-06-14,NA
TEMPEST,Freshwater,D5,6.02,88.5,uS/cm,23.6,Oakton,2024-06-17T14:15:00Z,20240617,1015,EDT,2024-06-14,NA
TEMPEST,Freshwater,F4,5.85,59.8,uS/cm,25.4,Oakton,2024-06-14T19:35:00Z,20240614,1535,EDT,2024-06-13,NA
TEMPEST,Freshwater,C3,6.42,79.7,uS/cm,24.2,Oakton,2024-06-14T19:18:00Z,20240614,1518,EDT,2024-06-13,NA
TEMPEST,Saltwater,B4,5.64,9.7,mS/cm,27,Oakton,2024-06-14T19:06:00Z,20240614,1506,EDT,2024-06-13,NA
TEMPEST,Saltwater,C6,6.08,5.01,mS/cm,28.1,Oakton,2024-06-14T18:59:00Z,20240614,1459,EDT,2024-06-13,NA
TEMPEST,Freshwater,C6,5.89,52.7,uS/cm,25.7,Oakton,2024-06-14T18:55:00Z,20240614,1455,EDT,2024-06-13,NA
TEMPEST,Saltwater,C3,4.82,8.86,mS/cm,26.4,Oakton,2024-06-14T18:43:00Z,20240614,1443,EDT,2024-06-13,NA
TEMPEST,Freshwater,D5,5.71,81.9,uS/cm,25.3,Oakton,2024-06-14T18:34:00Z,20240614,1434,EDT,2024-06-13,NA
TEMPEST,Saltwater,F6,5.44,8.32,mS/cm,26.8,Oakton,2024-06-14T18:20:00Z,20240614,1420,EDT,2024-06-13,NA
TEMPEST,Saltwater,H3,5.96,8.69,mS/cm,27.9,Oakton,2024-06-14T18:07:00Z,20240614,1407,EDT,2024-06-13,NA
TEMPEST,Freshwater,I5,6.36,196.9,uS/cm,25.5,Oakton,2024-06-14T17:42:00Z,20240614,1342,EDT,2024-06-13,NA
TEMPEST,Freshwater,D5,5.78,63.1,uS/cm,21.9,Oakton,2024-06-13T13:57:00Z,20240613,957,EDT,2024-06-12,NA
TEMPEST,Freshwater,D5,5.78,63.1,uS/cm,21.9,Oakton,2024-06-13T13:57:00Z,20240613,957,EDT,2024-06-13,NA
TEMPEST,Freshwater,C6,5.79,56.7,uS/cm,22.1,Oakton,2024-06-13T13:43:00Z,20240613,943,EDT,2024-06-12,NA
TEMPEST,Freshwater,C6,5.79,56.7,uS/cm,22.1,Oakton,2024-06-13T13:43:00Z,20240613,943,EDT,2024-06-13,NA
TEMPEST,Saltwater,B4,5.59,7.79,mS/cm,23.7,Oakton,2024-06-13T13:37:00Z,20240613,937,EDT,2024-06-12,NA
TEMPEST,Saltwater,B4,5.59,7.79,mS/cm,23.7,Oakton,2024-06-13T13:37:00Z,20240613,937,EDT,2024-06-13,NA
TEMPEST,Freshwater,C3,6.4,78.8,uS/cm,22.1,Oakton,2024-06-13T13:17:00Z,20240613,917,EDT,2024-06-12,NA
TEMPEST,Freshwater,C3,6.4,78.8,uS/cm,22.1,Oakton,2024-06-13T13:17:00Z,20240613,917,EDT,2024-06-13,NA
TEMPEST,Saltwater,C3,4.66,6.56,mS/cm,23.4,Oakton,2024-06-13T13:16:00Z,20240613,916,EDT,2024-06-12,NA
TEMPEST,Saltwater,C3,4.66,6.56,mS/cm,23.4,Oakton,2024-06-13T13:16:00Z,20240613,916,EDT,2024-06-13,NA
TEMPEST,Freshwater,E3,6.11,49.3,uS/cm,22.5,Oakton,2024-06-13T13:02:00Z,20240613,902,EDT,2024-06-12,NA
TEMPEST,Freshwater,E3,6.11,49.3,uS/cm,22.5,Oakton,2024-06-13T13:02:00Z,20240613,902,EDT,2024-06-13,NA
TEMPEST,Saltwater,F6,5.44,5.2,mS/cm,22.2,Oakton,2024-06-13T12:48:00Z,20240613,848,EDT,2024-06-12,NA
TEMPEST,Saltwater,F6,5.44,5.2,mS/cm,22.2,Oakton,2024-06-13T12:48:00Z,20240613,848,EDT,2024-06-13,NA
TEMPEST,Freshwater,F4,5.68,54,uS/cm,22.3,Oakton,2024-06-13T12:46:00Z,20240613,846,EDT,2024-06-12,NA
TEMPEST,Freshwater,F4,5.68,54,uS/cm,22.3,Oakton,2024-06-13T12:46:00Z,20240613,846,EDT,2024-06-13,NA
TEMPEST,Freshwater,H3,5.91,57.4,uS/cm,21.7,Oakton,2024-06-13T12:34:00Z,20240613,834,EDT,2024-06-12,NA
TEMPEST,Freshwater,H3,5.91,57.4,uS/cm,21.7,Oakton,2024-06-13T12:34:00Z,20240613,834,EDT,2024-06-13,NA
TEMPEST,Saltwater,H3,5.51,7.57,mS/cm,22.1,Oakton,2024-06-13T12:33:00Z,20240613,833,EDT,2024-06-12,NA
TEMPEST,Saltwater,H3,5.51,7.57,mS/cm,22.1,Oakton,2024-06-13T12:33:00Z,20240613,833,EDT,2024-06-13,NA
TEMPEST,Freshwater,I5,6.44,110.6,uS/cm,20.4,Oakton,2024-06-13T12:22:00Z,20240613,822,EDT,2024-06-12,NA
TEMPEST,Freshwater,I5,6.44,110.6,uS/cm,20.4,Oakton,2024-06-13T12:22:00Z,20240613,822,EDT,2024-06-13,NA
TEMPEST,Saltwater,H6,6.31,6.74,mS/cm,21.9,Oakton,2024-06-13T12:08:00Z,20240613,808,EDT,2024-06-12,NA
TEMPEST,Saltwater,H6,6.31,6.74,mS/cm,21.9,Oakton,2024-06-13T12:08:00Z,20240613,808,EDT,2024-06-13,NA
TEMPEST,Freshwater,C3,6.33,91.4,uS/cm,23.9,Oakton,2024-06-13T20:24:00Z,20240613,1624,EDT,2024-06-12,NA
TEMPEST,Freshwater,C3,6.33,91.4,uS/cm,23.9,Oakton,2024-06-13T20:24:00Z,20240613,1624,EDT,2024-06-13,NA
TEMPEST,Freshwater,D5,5.93,70,uS/cm,25.7,Oakton,2024-06-13T20:12:00Z,20240613,1612,EDT,2024-06-12,NA
TEMPEST,Freshwater,D5,5.93,70,uS/cm,25.7,Oakton,2024-06-13T20:12:00Z,20240613,1612,EDT,2024-06-13,NA
TEMPEST,Saltwater,C3,4.74,7.59,mS/cm,26.8,Oakton,2024-06-13T19:57:00Z,20240613,1557,EDT,2024-06-12,NA
TEMPEST,Saltwater,C3,4.74,7.59,mS/cm,26.8,Oakton,2024-06-13T19:57:00Z,20240613,1557,EDT,2024-06-13,NA
TEMPEST,Saltwater,B4,5.73,8.06,mS/cm,27.6,Oakton,2024-06-13T19:44:00Z,20240613,1544,EDT,2024-06-12,NA
TEMPEST,Saltwater,B4,5.73,8.06,mS/cm,27.6,Oakton,2024-06-13T19:44:00Z,20240613,1544,EDT,2024-06-13,NA
TEMPEST,Saltwater,C6,6.22,1874,uS/cm,28.1,Oakton,2024-06-13T19:39:00Z,20240613,1539,EDT,2024-06-12,NA
TEMPEST,Saltwater,C6,6.22,1874,uS/cm,28.1,Oakton,2024-06-13T19:39:00Z,20240613,1539,EDT,2024-06-13,NA
TEMPEST,Freshwater,C6,6.02,59,uS/cm,25.3,Oakton,2024-06-13T19:37:00Z,20240613,1537,EDT,2024-06-12,NA
TEMPEST,Freshwater,C6,6.02,59,uS/cm,25.3,Oakton,2024-06-13T19:37:00Z,20240613,1537,EDT,2024-06-13,NA
TEMPEST,Saltwater,F6,5.53,7.02,mS/cm,27.1,Oakton,2024-06-13T19:19:00Z,20240613,1519,EDT,2024-06-12,NA
TEMPEST,Saltwater,F6,5.53,7.02,mS/cm,27.1,Oakton,2024-06-13T19:19:00Z,20240613,1519,EDT,2024-06-13,NA
TEMPEST,Freshwater,F4,5.79,56.7,uS/cm,24.5,Oakton,2024-06-13T19:06:00Z,20240613,1506,EDT,2024-06-12,NA
TEMPEST,Freshwater,F4,5.79,56.7,uS/cm,24.5,Oakton,2024-06-13T19:06:00Z,20240613,1506,EDT,2024-06-13,NA
TEMPEST,Freshwater,H3,5.79,55,uS/cm,24.9,Oakton,2024-06-13T18:56:00Z,20240613,1456,EDT,2024-06-12,NA
TEMPEST,Freshwater,H3,5.79,55,uS/cm,24.9,Oakton,2024-06-13T18:56:00Z,20240613,1456,EDT,2024-06-13,NA
TEMPEST,Saltwater,I5,4.13,7.4,mS/cm,26.1,Oakton,2024-06-13T18:52:00Z,20240613,1452,EDT,2024-06-12,NA
TEMPEST,Saltwater,I5,4.13,7.4,mS/cm,26.1,Oakton,2024-06-13T18:52:00Z,20240613,1452,EDT,2024-06-13,NA
TEMPEST,Freshwater,I5,6.49,94.9,uS/cm,23.8,Oakton,2024-06-13T18:42:00Z,20240613,1442,EDT,2024-06-12,NA
TEMPEST,Freshwater,I5,6.49,94.9,uS/cm,23.8,Oakton,2024-06-13T18:42:00Z,20240613,1442,EDT,2024-06-13,NA
TEMPEST,Freshwater,F4,6.06,59.1,uS/cm,20.4,Oakton,2024-06-12T13:47:00Z,20240612,947,EDT,2024-06-11,NA
TEMPEST,Freshwater,F4,6.06,59.1,uS/cm,20.4,Oakton,2024-06-12T13:47:00Z,20240612,947,EDT,2024-06-12,NA
TEMPEST,Saltwater,C3,4.7,6.86,mS/cm,22.1,Oakton,2024-06-12T13:31:00Z,20240612,931,EDT,2024-06-11,NA
TEMPEST,Saltwater,C3,4.7,6.86,mS/cm,22.1,Oakton,2024-06-12T13:31:00Z,20240612,931,EDT,2024-06-12,NA
TEMPEST,Freshwater,I5,6.79,124.6,uS/cm,19.7,Oakton,2024-06-12T13:31:00Z,20240612,931,EDT,2024-06-11,NA
TEMPEST,Freshwater,I5,6.79,124.6,uS/cm,19.7,Oakton,2024-06-12T13:31:00Z,20240612,931,EDT,2024-06-12,NA
TEMPEST,Saltwater,E3,6.32,4.01,mS/cm,20.3,Oakton,2024-06-12T12:54:00Z,20240612,854,EDT,2024-06-11,NA
TEMPEST,Saltwater,E3,6.32,4.01,mS/cm,20.3,Oakton,2024-06-12T12:54:00Z,20240612,854,EDT,2024-06-12,NA
TEMPEST,Freshwater,D5,6.17,71.17,uS/cm,19.4,Oakton,2024-06-12T12:43:00Z,20240612,843,EDT,2024-06-11,NA
TEMPEST,Freshwater,D5,6.17,71.17,uS/cm,19.4,Oakton,2024-06-12T12:43:00Z,20240612,843,EDT,2024-06-12,NA
TEMPEST,Saltwater,F4,7.27,4.63,mS/cm,NA,Oakton,2024-06-12T12:34:00Z,20240612,834,EDT,2024-06-11,temperature not recorded
TEMPEST,Saltwater,F4,7.27,4.63,mS/cm,NA,Oakton,2024-06-12T12:34:00Z,20240612,834,EDT,2024-06-12,temperature not recorded
TEMPEST,Saltwater,H3,5.99,6.68,mS/cm,20.4,Oakton,2024-06-12T12:26:00Z,20240612,826,EDT,2024-06-11,NA
TEMPEST,Saltwater,H3,5.99,6.68,mS/cm,20.4,Oakton,2024-06-12T12:26:00Z,20240612,826,EDT,2024-06-12,NA
TEMPEST,Freshwater,C3,6.32,3.46,uS/cm,18.8,Oakton,2024-06-12T12:02:00Z,20240612,802,EDT,2024-06-11,NA
TEMPEST,Freshwater,C3,6.32,3.46,uS/cm,18.8,Oakton,2024-06-12T12:02:00Z,20240612,802,EDT,2024-06-12,NA
TEMPEST,Saltwater,B4,5.38,8.91,mS/cm,24.9,Oakton,2024-06-12T20:22:00Z,20240612,1622,EDT,2024-06-11,NA
TEMPEST,Saltwater,B4,5.38,8.91,mS/cm,24.9,Oakton,2024-06-12T20:22:00Z,20240612,1622,EDT,2024-06-12,NA
TEMPEST,Freshwater,C3,5.27,70.3,uS/cm,22.2,Oakton,2024-06-12T20:18:00Z,20240612,1618,EDT,2024-06-11,NA
TEMPEST,Freshwater,C3,5.27,70.3,uS/cm,22.2,Oakton,2024-06-12T20:18:00Z,20240612,1618,EDT,2024-06-12,NA
TEMPEST,Saltwater,C6,6.39,3.12,mS/cm,26,Oakton,2024-06-12T20:16:00Z,20240612,1616,EDT,2024-06-11,NA
TEMPEST,Saltwater,C6,6.39,3.12,mS/cm,26,Oakton,2024-06-12T20:16:00Z,20240612,1616,EDT,2024-06-12,NA
TEMPEST,Saltwater,F6,5.47,7.42,mS/cm,24.9,Oakton,2024-06-12T20:07:00Z,20240612,1607,EDT,2024-06-11,NA
TEMPEST,Saltwater,F6,5.47,7.42,mS/cm,24.9,Oakton,2024-06-12T20:07:00Z,20240612,1607,EDT,2024-06-12,NA
TEMPEST,Freshwater,C6,5.81,58,uS/cm,22.2,Oakton,2024-06-12T20:03:00Z,20240612,1603,EDT,2024-06-11,NA
TEMPEST,Freshwater,C6,5.81,58,uS/cm,22.2,Oakton,2024-06-12T20:03:00Z,20240612,1603,EDT,2024-06-12,NA
TEMPEST,Freshwater,D5,5.86,60,uS/cm,22.3,Oakton,2024-06-12T19:48:00Z,20240612,1548,EDT,2024-06-11,NA
TEMPEST,Freshwater,D5,5.86,60,uS/cm,22.3,Oakton,2024-06-12T19:48:00Z,20240612,1548,EDT,2024-06-12,NA
TEMPEST,Saltwater,C3,4.5,5.73,mS/cm,24.9,Oakton,2024-06-12T19:40:00Z,20240612,1540,EDT,2024-06-11,NA
TEMPEST,Saltwater,C3,4.5,5.73,mS/cm,24.9,Oakton,2024-06-12T19:40:00Z,20240612,1540,EDT,2024-06-12,NA
TEMPEST,Freshwater,F4,5.86,57.9,uS/cm,22.2,Oakton,2024-06-12T19:31:00Z,20240612,1531,EDT,2024-06-11,NA
TEMPEST,Freshwater,F4,5.86,57.9,uS/cm,22.2,Oakton,2024-06-12T19:31:00Z,20240612,1531,EDT,2024-06-12,NA
TEMPEST,Saltwater,E3,5.75,5.28,mS/cm,25.3,Oakton,2024-06-12T19:30:00Z,20240612,1530,EDT,2024-06-11,NA
TEMPEST,Saltwater,E3,5.75,5.28,mS/cm,25.3,Oakton,2024-06-12T19:30:00Z,20240612,1530,EDT,2024-06-12,NA
TEMPEST,Saltwater,F4,6.59,5.95,mS/cm,24.7,Oakton,2024-06-12T19:23:00Z,20240612,1523,EDT,2024-06-11,NA
TEMPEST,Saltwater,F4,6.59,5.95,mS/cm,24.7,Oakton,2024-06-12T19:23:00Z,20240612,1523,EDT,2024-06-12,NA
TEMPEST,Saltwater,H3,5.48,7.25,mS/cm,24.5,Oakton,2024-06-12T19:13:00Z,20240612,1513,EDT,2024-06-11,NA
TEMPEST,Saltwater,H3,5.48,7.25,mS/cm,24.5,Oakton,2024-06-12T19:13:00Z,20240612,1513,EDT,2024-06-12,NA
TEMPEST,Freshwater,I5,6.73,99.2,uS/cm,22.9,Oakton,2024-06-12T19:00:00Z,20240612,1500,EDT,2024-06-11,NA
TEMPEST,Freshwater,I5,6.73,99.2,uS/cm,22.9,Oakton,2024-06-12T19:00:00Z,20240612,1500,EDT,2024-06-12,NA
TEMPEST,Freshwater,H3,6.03,62.7,uS/cm,22,Oakton,2024-06-12T14:05:00Z,20240612,1005,EDT,2024-06-11,NA
TEMPEST,Freshwater,H3,6.03,62.7,uS/cm,22,Oakton,2024-06-12T14:05:00Z,20240612,1005,EDT,2024-06-12,NA
