"Sample_ID","integration_time_s","dilution_factor","RSU_area_1s","abs_file_id","eem_file_id","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Notes","Deployment_Date_YYYYMMDD","Deployment_Time_24hrs","EST_EDT"
"TMP_SOURCE_SW_20220622_HR2",1,1,2984,"TMP_SOURCE_SW_20220622_HR2_ABS_DilCorr.dat","TMP_SOURCE_SW_20220622_HR2_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,930,NA,NA,NA,"EDT"
"TMP_PW_FW_POOLED_15CM_20220622_T1",1,1,2984,"TMP_PW_FW_POOLED_15CM_20220622_T1_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220622_T1_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1245,1445,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_20220622_T1",1,1,2984,"TMP_PW_SW_POOLED_15CM_20220622_T1_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20220622_T1_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1247,NA,NA,NA,NA,NA
"TMP_SOURCE_FW_20220622_HR1",1,1,2984,"TMP_SOURCE_FW_20220622_HR1_ABS_DilCorr.dat","TMP_SOURCE_FW_20220622_HR1_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,800,NA,NA,NA,"EDT"
"TMP_PW_FW_POOLED_15CM_20220613",1,1,2984,"TMP_PW_FW_POOLED_15CM_20220613_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220613_EEM_DilCorr_IFE_RamNorm.dat",20220613,20220613,1100,1330,NA,NA,NA,NA
"TMP_PW_FW_POOLED_15CM_20220620_T0",1,0.5,2984,"TMP_PW_FW_POOLED_15CM_20220620_T0_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220620_T0_EEM_DilCorr_IFE_RamNorm.dat",20220618,20220620,1015,NA,NA,NA,NA,NA
"TMP_SOURCE_SW_20220622_HR7",1,1,3012,"TMP_SOURCE_SW_20220622_HR7_ABS_DilCorr.dat","TMP_SOURCE_SW_20220622_HR7_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1448,NA,NA,NA,"EDT"
"TMP_SOURCE_SW_20220622_HR4",1,1,2984,"TMP_SOURCE_SW_20220622_HR4_ABS_DilCorr.dat","TMP_SOURCE_SW_20220622_HR4_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1100,NA,NA,NA,"EDT"
"TMP_PW_C_POOLED_15CM_20220615",1,0.5,2984,"TMP_PW_C_POOLED_15CM_20220615_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_20220615_EEM_DilCorr_IFE_RamNorm.dat",20220615,20220615,1200,NA,NA,NA,NA,NA
"TMP_PW_C_POOLED_15CM_20220622_T2",1,0.5,2984,"TMP_PW_C_POOLED_15CM_20220622_T2_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_20220622_T2_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1634,1740,NA,NA,NA,NA
"TMP_PW_FW_POOLED_15CM_20220622_T2",1,1,2984,"TMP_PW_FW_POOLED_15CM_20220622_T2_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220622_T2_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1614,NA,NA,NA,NA,NA
"TMP_SOURCE_SW_20220622_HR1",1,1,2984,"TMP_SOURCE_SW_20220622_HR1_ABS_DilCorr.dat","TMP_SOURCE_SW_20220622_HR1_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,800,NA,NA,NA,"EDT"
"TMP_SOURCE_SW_20220622_HR5",1,1,2984,"TMP_SOURCE_SW_20220622_HR5_ABS_DilCorr.dat","TMP_SOURCE_SW_20220622_HR5_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1200,NA,NA,NA,"EDT"
"TMP_PW_C_POOLED_15CM_20220624_T4",1,0.44,2984,"TMP_PW_C_POOLED_15CM_20220624_T4_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_20220624_T4_EEM_DilCorr_IFE_RamNorm.dat",20220623,20220624,1200,NA,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_20220623_T3",1,1,2984,"TMP_PW_SW_POOLED_15CM_20220623_T3_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20220623_T3_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220623,941,1140,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_20220624_T4",1,1,2984,"TMP_PW_SW_POOLED_15CM_20220624_T4_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20220624_T4_EEM_DilCorr_IFE_RamNorm.dat",20220623,20220624,1215,1357,NA,NA,NA,NA
"TMP_PW_C_POOLED_15CM_20220613",1,0.5,3012,"TMP_PW_C_POOLED_15CM_20220613_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_20220613_EEM_DilCorr_IFE_RamNorm.dat",20220613,20220613,1100,1330,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_20220624_T4",1,0.5,2984,"TMP_PW_SW_POOLED_15CM_20220624_T4_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20220624_T4_EEM_DilCorr_IFE_RamNorm.dat",20220623,20220624,1215,1357,NA,NA,NA,NA
"TMP_SOURCE_FW_20220622_HR2",4,1,3012,"TMP_SOURCE_FW_20220622_HR2_ABS_DilCorr.dat","TMP_SOURCE_FW_20220622_HR2_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,930,NA,NA,NA,"EDT"
"TMP_SOURCE_FW_20220622_HR0",4,1,3012,"TMP_SOURCE_FW_20220622_HR0_ABS_DilCorr.dat","TMP_SOURCE_FW_20220622_HR0_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,654,NA,NA,NA,"EDT"
"TMP_SOURCE_ESTUARY_20220622_HR4",1,1,3012,"TMP_SOURCE_ESTUARY_20220622_HR4_ABS_DilCorr.dat","TMP_SOURCE_ESTUARY_20220622_HR4_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1100,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_20220613",1,0.4,3012,"TMP_PW_SW_POOLED_15CM_20220613_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20220613_EEM_DilCorr_IFE_RamNorm.dat",20220613,20220613,1100,1330,NA,NA,NA,NA
"TMP_PW_C_POOLED_15CM_20221019-24",2,0.5,2935,"TMP_PW_C_POOLED_15CM_20221019-24_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_20221019-24_EEM_DilCorr_IFE_RamNorm.dat",20221017,20221024,1625,1657,NA,NA,NA,NA
"TMP_PW_C_POOLED_15CM_202211",2,0.5,2827,"TMP_PW_C_POOLED_15CM_202211_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_202211_EEM_DilCorr_IFE_RamNorm.dat",20221125,20221201,1023,1242,NA,NA,NA,NA
"TMP_PW_FW_POOLED_15CM_20221019-24",2,0.5,2935,"TMP_PW_FW_POOLED_15CM_20221019-24_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20221019-24_EEM_DilCorr_IFE_RamNorm.dat",20221017,20221024,1500,1539,NA,NA,NA,NA
"TMP_PW_FW_POOLED_15CM_202211",2,0.5,2827,"TMP_PW_FW_POOLED_15CM_202211_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_202211_EEM_DilCorr_IFE_RamNorm.dat",20221125,20221201,1414,1528,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_20221019",2,0.1,2935,"TMP_PW_SW_POOLED_15CM_20221019_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20221019_EEM_DilCorr_IFE_RamNorm.dat",20221017,20221019,1540,1620,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_202211",4,0.1,2827,"TMP_PW_SW_POOLED_15CM_202211_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_202211_EEM_DilCorr_IFE_RamNorm.dat",20221125,20221201,1245,1402,NA,NA,NA,NA
"TMP_PW_C_POOLED_15CM_20220912",2,0.5,2949,"TMP_PW_C_POOLED_15CM_20220912_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_20220912_EEM_DilCorr_IFE_RamNorm.dat",20220909,20220912,1000,1035,NA,NA,NA,NA
"TMP_PW_C_POOLED_15CM_20220808",2,0.5,3050,"TMP_PW_C_POOLED_15CM_20220808_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_20220808_EEM_DilCorr_IFE_RamNorm.dat",20220805,20220808,1400,1500,NA,NA,NA,NA
"TMP_PW_C_POOLED_15CM_20220718",2,0.5,3103,"TMP_PW_C_POOLED_15CM_20220718_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_20220718_EEM_DilCorr_IFE_RamNorm.dat",20220714,20220718,1207,1300,NA,NA,NA,NA
"TMP_PW_C_POOLED_15CM_20220721",2,0.5,3103,"TMP_PW_C_POOLED_15CM_20220721_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_20220721_EEM_DilCorr_IFE_RamNorm.dat",20220718,20220721,1130,1200,NA,NA,NA,NA
"TMP_PW_FW_POOLED_15CM_20220912",2,0.5,2949,"TMP_PW_FW_POOLED_15CM_20220912_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220912_EEM_DilCorr_IFE_RamNorm.dat",20220909,20220912,1125,1207,NA,NA,NA,NA
"TMP_PW_FW_POOLED_15CM_20220808",2,0.5,3050,"TMP_PW_FW_POOLED_15CM_20220808_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220808_EEM_DilCorr_IFE_RamNorm.dat",20220805,20220808,1145,1250,NA,NA,NA,NA
"TMP_PW_FW_POOLED_15CM_20220718",2,0.5,3103,"TMP_PW_FW_POOLED_15CM_20220718_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220718_EEM_DilCorr_IFE_RamNorm.dat",20220714,20220718,1030,1115,NA,NA,NA,NA
"TMP_PW_FW_POOLED_15CM_20220721",2,0.5,3103,"TMP_PW_FW_POOLED_15CM_20220721_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220721_EEM_DilCorr_IFE_RamNorm.dat",20220718,20220721,1230,1251,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_20220912",2,0.1,2949,"TMP_PW_SW_POOLED_15CM_20220912_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20220912_EEM_DilCorr_IFE_RamNorm.dat",20220909,20220912,1040,1120,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_20220808",2,0.1,3050,"TMP_PW_SW_POOLED_15CM_20220808_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20220808_EEM_DilCorr_IFE_RamNorm.dat",20220805,20220808,1255,1356,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_20220718",2,0.5,3103,"TMP_PW_SW_POOLED_15CM_20220718_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20220718_EEM_DilCorr_IFE_RamNorm.dat",20220714,20220718,1120,1205,NA,NA,NA,NA
"TMP_PW_SW_POOLED_15CM_20220721",2,0.1,3103,"TMP_PW_SW_POOLED_15CM_20220721_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20220721_EEM_DilCorr_IFE_RamNorm.dat",20220718,20220721,1205,1228,NA,NA,NA,NA
