"Plot","Timepoint","Date","Start_time","End_time","Grid","DOC","Ions","Water_Isotopes","HR-MS","Saccharides","Amino_Acids","Pooled","CDOM_Subsample","Total_Volume","Evacuated_cb","Time_Notes","Notes"
"C","T0",2022-06-20,"09:36:00","11:32:00","H6",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
"C","T0",2022-06-20,"09:36:00","11:32:00","B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA
"C","T0",2022-06-20,"09:36:00","11:32:00","D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA
"C","T0",2022-06-20,"09:36:00","11:32:00","E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA
"C","T0",2022-06-20,"09:36:00","11:32:00","F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
"C","T0",2022-06-20,"09:36:00","11:32:00","I5",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,"1mL didn't keep"
"FW","T1",2022-06-22,"12:45:00","14:45:00","C3",7.5,NA,1.5,NA,NA,NA,0,NA,9,46,"14:46:00","General note: vibes- spicy"
"FW","T1",2022-06-22,"12:45:00","14:45:00","C6",7,NA,1.5,NA,NA,NA,12,NA,28,48,"14:34:00",NA
"FW","T1",2022-06-22,"12:45:00","14:45:00","F4",9,NA,1.5,NA,NA,NA,0,NA,11,51,"13:33:00",NA
"FW","T1",2022-06-22,"12:45:00","14:45:00","H3",10,NA,1.5,NA,NA,NA,25,NA,63,48,"13:17:00",NA
"FW","T1",2022-06-22,"12:45:00","14:45:00","H6",6.8,NA,1.5,NA,NA,NA,0,NA,9,50,"14:22:00",NA
"FW","T1",2022-06-22,"12:45:00","14:45:00","B4",7,NA,1.5,NA,NA,NA,0,NA,16,50,NA,NA
"FW","T1",2022-06-22,"12:45:00","14:45:00","D5",10,NA,1.5,NA,NA,NA,25,NA,144,50,"13:58:00",NA
"FW","T1",2022-06-22,"12:45:00","14:45:00","E3",9,NA,1.5,NA,NA,NA,0,NA,11,48,"13:46:00",NA
"FW","T1",2022-06-22,"12:45:00","14:45:00","F6",7,NA,1.5,NA,NA,NA,7,NA,17,49,"14:07:00",NA
"FW","T1",2022-06-22,"12:45:00","14:45:00","I5",10,NA,1.5,NA,NA,NA,25,NA,98,48,"13:00:00",NA
"FW","T2",2022-06-22,NA,NA,"C3",10,5,1.5,45,1.5,1.5,25,NA,100,49,NA,"General note: vibe- tired raccoon"
"FW","T2",2022-06-22,NA,NA,"C6",7,2.5,1.5,0,1.5,1.5,6,NA,21,51,NA,NA
"FW","T2",2022-06-22,NA,NA,"F4",7,2.5,1.5,30,1.5,1.5,2,NA,55.5,48,NA,NA
"FW","T2",2022-06-22,NA,NA,"H3",7,2.5,1.5,30,1.5,1.5,NA,NA,45,50,NA,NA
"FW","T2",2022-06-22,NA,NA,"H6",7,2.5,1.5,27,1.5,1.5,NA,NA,46,47,NA,NA
"FW","T2",2022-06-22,NA,NA,"B4",7,NA,1.5,NA,NA,NA,3.5,NA,15,45,NA,NA
"FW","T2",2022-06-22,NA,NA,"D5",10,NA,1.5,NA,NA,NA,25,NA,115,50,NA,NA
"FW","T2",2022-06-22,NA,NA,"E3",7.5,NA,1.5,NA,NA,NA,10,NA,20,50,NA,NA
"FW","T2",2022-06-22,NA,NA,"F6",7,NA,1.5,NA,NA,NA,22,NA,32,47,NA,NA
"FW","T2",2022-06-22,NA,NA,"I5",10,NA,1.5,NA,NA,NA,25,NA,64,50,NA,NA
"FW","T4",2022-06-24,"12:16:00","13:36:00","C3",10,NA,1.5,NA,NA,NA,25,NA,36.5,NA,NA,NA
"FW","T4",2022-06-24,"12:16:00","13:36:00","C6",10,NA,1.5,NA,NA,NA,16,NA,27.5,NA,NA,NA
"FW","T4",2022-06-24,"12:16:00","13:36:00","F4",10,NA,1.5,NA,NA,NA,25,NA,36.5,NA,NA,NA
"FW","T4",2022-06-24,"12:16:00","13:36:00","H3",10,NA,1.5,NA,NA,NA,25,NA,36.5,NA,NA,NA
"FW","T4",2022-06-24,"12:16:00","13:36:00","H6",10,NA,1.5,NA,NA,NA,25,NA,36.5,NA,NA,NA
"FW","T4",2022-06-24,"12:16:00","13:36:00","B4",10,NA,1.5,NA,NA,NA,25,NA,36.5,NA,NA,NA
"FW","T4",2022-06-24,"12:16:00","13:36:00","D5",10,NA,1.5,NA,NA,NA,25,NA,36.5,NA,NA,NA
"FW","T4",2022-06-24,"12:16:00","13:36:00","E3",10,NA,1.5,NA,NA,NA,25,NA,36.5,NA,NA,NA
"FW","T4",2022-06-24,"12:16:00","13:36:00","F6",10,NA,1.5,NA,NA,NA,25,NA,36.5,NA,NA,NA
"FW","T4",2022-06-24,"12:16:00","13:36:00","I5",10,NA,1.5,NA,NA,NA,25,NA,36.5,NA,NA,NA
"FW","T3",2022-06-23,NA,NA,"C3",10,5,1.5,40,1.5,1.5,25,NA,173,50,NA,"General note: Vibes- wet AF aka drowned rat"
"FW","T3",2022-06-23,NA,NA,"C6",7,2.5,1.5,17,1.5,1.5,0,NA,32,51,NA,NA
"FW","T3",2022-06-23,NA,NA,"F4",7,2.5,1.5,30,1.5,1.5,4,NA,49,51,NA,NA
"FW","T3",2022-06-23,NA,NA,"H3",10,5,1.5,40,1.5,1.5,0,NA,154,51,NA,NA
"FW","T3",2022-06-23,NA,NA,"H6",10,5,1.5,40,1.5,1.5,25,NA,117,50,NA,NA
"FW","T3",2022-06-23,NA,NA,"B4",7,NA,1.5,NA,NA,NA,9,NA,18,48,NA,NA
"FW","T3",2022-06-23,NA,NA,"D5",10,NA,1.5,NA,NA,NA,25,NA,184,50,NA,NA
"FW","T3",2022-06-23,NA,NA,"E3",7,NA,1.5,NA,NA,NA,19,NA,28,50,NA,NA
"FW","T3",2022-06-23,NA,NA,"F6",7,NA,1.5,NA,NA,NA,6,NA,15,50,NA,NA
"FW","T3",2022-06-23,NA,NA,"I5",10,NA,1.5,NA,NA,NA,25,NA,107,51,NA,NA
"FW","T0",2022-06-20,"10:15:00",NA,"C3",NA,NA,1.5,NA,NA,NA,1,NA,3,46,NA,"DOC+iso+pool"
"FW","T0",2022-06-20,"10:15:00",NA,"C6",7,NA,1,NA,NA,NA,NA,NA,8,49,NA,"DOC+iso+pool"
"FW","T0",2022-06-20,"10:15:00",NA,"F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,"DOC+iso+pool"
"FW","T0",2022-06-20,"10:15:00",NA,"H3",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,"DOC+iso+pool, discarded 9mL"
"FW","T0",2022-06-20,"10:15:00",NA,"H6",7,NA,1.5,NA,NA,NA,6,NA,NA,46,NA,"DOC+iso+pool"
"FW","T0",2022-06-20,"10:15:00",NA,"B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,"All subsample"
"FW","T0",2022-06-20,"10:15:00",NA,"D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,"All subsample"
"FW","T0",2022-06-20,"10:15:00",NA,"E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,"All subsample"
"FW","T0",2022-06-20,"10:15:00",NA,"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,"All subsample"
"FW","T0",2022-06-20,"10:15:00",NA,"I5",7,2.5,1.5,NA,1.5,1.5,14.5,NA,30,50,NA,"All subsample"
"SW","T1",2022-06-22,"12:47:00",NA,"C3",10,NA,1.5,NA,NA,NA,4.5,NA,17,50,NA,"1 rinse between lysimeters"
"SW","T1",2022-06-22,"12:47:00",NA,"C6",NA,NA,1.5,NA,NA,NA,1,NA,2.5,49,NA,"1 rinse between lysimeters"
"SW","T1",2022-06-22,"12:47:00",NA,"F4",NA,NA,1.5,NA,NA,NA,1.5,NA,3,48,NA,"1 rinse between lysimeters"
"SW","T1",2022-06-22,"12:47:00",NA,"H3",NA,NA,1.5,NA,NA,NA,3,NA,4,50,NA,"1 rinse between lysimeters"
"SW","T1",2022-06-22,"12:47:00",NA,"H6",9,NA,1.5,NA,NA,NA,2,NA,13,50,NA,"1 rinse between lysimeters"
"SW","T1",2022-06-22,"12:47:00",NA,"B4",10,NA,1.5,NA,NA,NA,24,NA,36,50,NA,"1 rinse between lysimeters"
"SW","T1",2022-06-22,"12:47:00",NA,"D5",NA,NA,1.5,NA,NA,NA,1,NA,2,48,NA,"3 rinse between lysimeter"
"SW","T1",2022-06-22,"12:47:00",NA,"E3",10,NA,1.5,NA,NA,NA,19,NA,31,47,NA,"3 rinse between lysimeter"
"SW","T1",2022-06-22,"12:47:00",NA,"F6",10,NA,1.5,NA,NA,NA,11.5,NA,24.5,48,NA,"3 rinse between lysimeter"
"SW","T1",2022-06-22,"12:47:00",NA,"I5",NA,NA,NA,NA,NA,NA,0.5,NA,0.5,50,NA,"3 rinse between lysimeter"
"SW","T2",2022-06-22,"16:14:00","17:49:00","C3",10,5,1.5,35,1.5,1.5,8,NA,63,49,"16:14:00","General note: AMP sampled GW well at 17:17, 17:32 pumped GW well for 2 min, didn't empty"
"SW","T2",2022-06-22,"16:14:00","17:49:00","C6",NA,2.5,1.5,NA,1.5,1.5,0.5,NA,6,49,"16:26:00",NA
"SW","T2",2022-06-22,"16:14:00","17:49:00","F4",7,NA,1.5,NA,NA,NA,0.5,NA,11,50,"16:39:00",NA
"SW","T2",2022-06-22,"16:14:00","17:49:00","H3",7,2.5,1.5,NA,1.5,1.5,1,NA,16,50,"16:46:00",NA
"SW","T2",2022-06-22,"16:14:00","17:49:00","H6",7,2.5,1.5,NA,1.5,1.5,6,NA,20,49,"16:57:00",NA
"SW","T2",2022-06-22,"16:14:00","17:49:00","B4",7,NA,1.5,NA,NA,NA,26,NA,35,50,"17:09:00",NA
"SW","T2",2022-06-22,"16:14:00","17:49:00","D5",7,NA,1.5,NA,NA,NA,8,NA,17,50,"17:17:00",NA
"SW","T2",2022-06-22,"16:14:00","17:49:00","E3",10,NA,1.5,NA,NA,NA,33,NA,44,50,"17:29:00",NA
"SW","T2",2022-06-22,"16:14:00","17:49:00","F6",7,NA,1.5,NA,NA,NA,5,NA,15,50,"17:35:00",NA
"SW","T2",2022-06-22,"16:14:00","17:49:00","I5",10,NA,1.5,NA,NA,NA,25,NA,38,50,"17:43:00",NA
"SW","T4",2022-06-24,"12:15:00","13:57:00","C3",10,NA,1.5,NA,NA,NA,25,NA,137,50,"12:16:00",NA
"SW","T4",2022-06-24,"12:15:00","13:57:00","C6",10,NA,1.5,NA,NA,NA,25,NA,134,47,"12:27:00",NA
"SW","T4",2022-06-24,"12:15:00","13:57:00","F4",10,NA,1.5,NA,NA,NA,25,NA,75,47,"12:40:00",NA
"SW","T4",2022-06-24,"12:15:00","13:57:00","H3",10,NA,1.5,NA,NA,NA,25,NA,105,48,"12:49:00",NA
"SW","T4",2022-06-24,"12:15:00","13:57:00","H6",10,NA,1.5,NA,NA,NA,25,NA,110,50,"13:00:00",NA
"SW","T4",2022-06-24,"12:15:00","13:57:00","B4",10,NA,1.5,NA,NA,NA,25,NA,128,50,"13:10:00",NA
"SW","T4",2022-06-24,"12:15:00","13:57:00","D5",10,NA,1.5,NA,NA,NA,25,NA,106,47,"13:20:00",NA
"SW","T4",2022-06-24,"12:15:00","13:57:00","E3",10,NA,1.5,NA,NA,NA,25,NA,122,49,"13:30:00",NA
"SW","T4",2022-06-24,"12:15:00","13:57:00","F6",10,NA,1.5,NA,NA,NA,25,NA,92,50,"13:40:00",NA
"SW","T4",2022-06-24,"12:15:00","13:57:00","I5",10,NA,1.5,NA,NA,NA,25,NA,127,46,"13:51:00",NA
"SW","T3",2022-06-23,"09:41:00","11:40:00","C3",10,5,1.5,30,1.5,1.5,25,NA,78,49,NA,"General note: raining relatively hard, but not pouring. Pools near many of the lysimeters but not as many or as large as during water treatment"
"SW","T3",2022-06-23,"09:41:00","11:40:00","C6",7,NA,1.5,NA,1.5,NA,0.5,NA,12,47,NA,"Dead frog near lysimeter"
"SW","T3",2022-06-23,"09:41:00","11:40:00","F4",7,2.5,1.5,NA,NA,NA,1,NA,13,48,NA,NA
"SW","T3",2022-06-23,"09:41:00","11:40:00","H3",7,NA,1.5,NA,NA,NA,0.5,NA,9,50,NA,NA
"SW","T3",2022-06-23,"09:41:00","11:40:00","H6",7,2.5,1.5,15,1.5,1.5,0.5,NA,30,49,NA,NA
"SW","T3",2022-06-23,"09:41:00","11:40:00","B4",10,NA,1.5,NA,NA,NA,25,NA,64,48,NA,NA
"SW","T3",2022-06-23,"09:41:00","11:40:00","D5",7,NA,1.5,NA,NA,NA,7,NA,17,48,NA,NA
"SW","T3",2022-06-23,"09:41:00","11:40:00","E3",7,NA,1.5,NA,NA,NA,12,NA,23,48,NA,NA
"SW","T3",2022-06-23,"09:41:00","11:40:00","F6",10,NA,1.5,NA,NA,NA,25,NA,67,48,NA,NA
"SW","T3",2022-06-23,"09:41:00","11:40:00","I5",10,NA,1.5,NA,NA,NA,25,NA,92,48,NA,NA
"SW","T0",2022-06-20,"10:15:00","12:20:00","C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA
"SW","T0",2022-06-20,"10:15:00","12:20:00","C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA
"SW","T0",2022-06-20,"10:15:00","12:20:00","F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA
"SW","T0",2022-06-20,"10:15:00","12:20:00","H3",NA,NA,NA,NA,NA,NA,NA,NA,1,48,NA,NA
"SW","T0",2022-06-20,"10:15:00","12:20:00","H6",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA
"SW","T0",2022-06-20,"10:15:00","12:20:00","B4",NA,1.5,1.5,NA,1.5,1.5,NA,NA,6,49,NA,NA
"SW","T0",2022-06-20,"10:15:00","12:20:00","D5",NA,NA,NA,NA,NA,NA,NA,NA,1,48,NA,NA
"SW","T0",2022-06-20,"10:15:00","12:20:00","E3",NA,NA,1.5,NA,1.5,1.5,NA,NA,4.5,49,NA,NA
"SW","T0",2022-06-20,"10:15:00","12:20:00","F6",NA,2.5,1.5,NA,1.5,1.5,NA,NA,6,49,NA,NA
"SW","T0",2022-06-20,"10:15:00","12:20:00","I5",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
