Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
27	TEMPEST_SW_D5_20230607_0800_dup	Unknown	3.427 	2343.1113 	78.69 	66.1082 	354.50 	 M 
28	TEMPEST_SW_E3_20230607_0800	Unknown	3.427 	2632.0821 	81.29 	74.2612 	396.45 	 M 
29	TEMPEST_SW_F4_20230607_0800	Unknown	3.433 	2552.3805 	78.78 	63.7166 	309.45 	BM 
30	TEMPEST_SW_F6_20230607_0800	Unknown	3.437 	2040.5184 	79.76 	57.5709 	307.17 	 M 
31	TEMPEST_SW_H6_20230607_0800	Unknown	3.430 	2596.6389 	79.59 	73.2612 	393.00 	 M 
32	TEMPEST_SW_I5_20230607_0800	Unknown	3.433 	2842.5038 	82.13 	80.1980 	427.40 	 M 
33	TEMPEST_SW_I5_20230607_0800_dup	Unknown	3.433 	2744.1729 	82.06 	77.4237 	411.97 	 M 
34	TEMPEST_SW_SOURCE_20230607_0621	Unknown	3.440 	4300.3781 	83.28 	121.3302 	648.66 	 M 
35	TEMPEST_SW_SOURCE_20230607_0621_spk	Unknown	3.433 	4002.2094 	82.70 	112.9177 	597.82 	 M 
36	TEMPEST_ESTUARY_SOURCE_20230607_0710	Unknown	3.433 	4335.7195 	83.42 	122.3274 	655.88 	 M 
37	TEMPEST_FW_SOURCE_20230607_0611	Unknown	3.490 	22.8178 	20.13 	29.2627 	93.48 	 M 
38	TEMPEST_FW_SOURCE_20230607_0611_spk	Unknown	3.473 	23.1723 	20.39 	29.7173 	93.84 	 M 
39	Lab Blank	Unknown	3.430 	0.0135 	25.28 	0.0191 	0.11 	BMB
40	Standard 2	Check Standard	3.433 	11.4466 	91.84 	16.1476 	88.38 	 M 
41	TEMPEST_FW_B4_20230607_1600	Unknown	3.517 	206.4674 	96.42 	233.0096 	202.70 	BMB
42	TEMPEST_FW_C3_20230607_1600	Unknown	3.523 	21.6162 	20.27 	27.7217 	95.56 	 M 
43	TEMPEST_FW_C6_20230607_1600	Unknown	3.477 	110.0743 	55.43 	124.2249 	198.09 	BM 
44	TEMPEST_FW_D5_20230607_1600	Unknown	3.520 	27.9519 	25.41 	35.8468 	94.12 	 M 
45	TEMPEST_FW_E3_20230607_1600	Unknown	3.467 	76.4921 	39.22 	86.3255 	197.94 	 M 
46	TEMPEST_FW_F4_20230607_1600	Unknown	3.483 	23.8567 	20.66 	30.5949 	99.73 	 M 
47	TEMPEST_FW_F6_20230607_1600	Unknown	3.530 	211.2593 	96.47 	238.4176 	205.58 	BMB
48	TEMPEST_FW_H3_20230607_1600	Unknown	3.537 	23.7221 	20.77 	30.4223 	94.00 	 M 
49	TEMPEST_FW_H6_20230607_1600	Unknown	3.570 	23.1566 	20.24 	29.6972 	89.58 	 M 
50	TEMPEST_FW_I5_20230607_1600	Unknown	3.573 	23.0978 	20.01 	29.6217 	90.89 	 M 
51	Lab Blank	Unknown	3.430 	0.0104 	6.38 	0.0147 	0.09 	Rd
52	Standard 3	Check Standard	3.430 	20.4843 	92.33 	28.8970 	159.70 	 M 
53	Lab Blank	Unknown	3.430 	0.0058 	7.03 	0.0082 	0.05 	Rd
54	TEMPEST_SW_B4_20230607_1600	Unknown	3.433 	3507.0649 	82.80 	98.9478 	537.71 	 M 
55	TEMPEST_SW_B4_20230607_1600_dup	Unknown	3.437 	3510.8987 	82.86 	99.0560 	539.69 	 M 
56	TEMPEST_SW_C3_20230607_1600	Unknown	3.440 	3528.5845 	82.79 	99.5550 	544.04 	 M 
57	TEMPEST_SW_C6_20230607_1600	Unknown	3.443 	1895.1985 	77.42 	53.4709 	289.41 	 M 
58	TEMPEST_SW_D5_20230607_1600	Unknown	3.447 	2345.3236 	79.47 	66.1706 	358.52 	 M 
59	TEMPEST_SW_E3_20230607_1600	Unknown	3.443 	2327.3879 	80.37 	65.6646 	354.43 	 M 
60	TEMPEST_SW_E3_20230607_1600_spk	Unknown	3.443 	2355.1999 	78.88 	66.4493 	353.96 	 M 
61	TEMPEST_SW_F4_20230607_1600	Unknown	3.457 	2631.1215 	76.80 	70.3774 	377.53 	 M 
62	TEMPEST_SW_F6_20230607_1600	Unknown	3.443 	2475.2435 	81.60 	69.8362 	377.17 	 M 
63	TEMPEST_SW_H3_20230607_1600	Unknown	3.447 	3346.2074 	82.44 	94.4094 	508.20 	 M 
64	TEMPEST_SW_H6_20230607_1600	Unknown	3.457 	2769.4651 	80.82 	78.1373 	422.26 	 M 
65	TEMPEST_SW_I5_20230607_1600	Unknown	3.477 	3120.4635 	82.72 	88.0403 	472.97 	 M 
66	TEMPEST_SW_I5_20230607_1600_spk	Unknown	3.483 	3179.1880 	80.55 	89.6971 	480.55 	 M 
67	TEMPEST_FW_SOURCE_20230607_1300	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
68	TEMPEST_FW_SOURCE_20230607_1519	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
69	TEMPEST_FW_SOURCE_20230607_1519_dup	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
70	TEMPEST_SW_SOURCE_20230607_1255	Unknown	3.470 	3838.6255 	80.92 	108.3024 	581.22 	 M 
71	TEMPEST_SW_SOURCE_20230607_1515	Unknown	3.467 	4150.0979 	83.61 	117.0902 	623.54 	 M 
72	TEMPEST_SW_SOURCE_20230607_1515spk	Unknown	3.467 	4345.0138 	81.99 	122.5896 	656.43 	 M 
73	TEMPEST_ESTUARY_SOURCE_20230607_1346	Unknown	3.437 	4145.0144 	83.64 	116.9468 	623.36 	 M 
74	TEMPEST_ESTUARY_SOURCE_20230607_1700	Unknown	3.467 	4153.6146 	83.25 	117.1895 	618.99 	 M 
75	Lab Blank	Unknown	3.470 	0.0129 	61.15 	0.0182 	0.10 	BMB
76	Standard 1	Check Standard	3.470 	5.8701 	92.43 	8.2810 	45.60 	 M 
77	Standard 2	Check Standard	3.467 	11.5456 	93.14 	16.2873 	88.93 	BM 
78	Standard 3	Check Standard	3.470 	20.7088 	92.84 	29.2138 	157.24 	BM 
79	Standard 4	Check Standard	3.463 	102.1570 	92.26 	144.1121 	769.54 	BM 
80	Standard 5	Check Standard	3.463 	203.2132 	92.24 	286.6714 	1501.76 	BM 
81	Lab Blank	Unknown	3.473 	0.0174 	100.00 	0.0246 	0.14 	BMB
Maximum			3.580 	4345.0138 	100.00 	286.6714 	1516.00 	
Average			3.462 	1400.2957 	66.50 	69.8002 	313.59 	
Minimum			3.397 	0.0058 	6.38 	0.0082 	0.05 	
Standard Deviation			0.045 	1605.3399 	29.21 	61.2697 	297.74 	
Relative Standard Deviation			1.29%	114.64%	43.92%	87.78%	94.95%	
