"","Project","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Sample_ID","NH3_uM","PO4_uM","NOx_uM","NH3_range","PO4_range","NOx_range","Run_notes","Field_notes"
"52","TEMPEST","FW","D5","15cm",NA,NA,"PW",8,"20230627",20230623,1323,1149,"TMP_FW_D5_20230627_15cm","0.779769681652352","0.334411388835343","0.253021768153812","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"53","TEMPEST","FW","D5","15cm",NA,NA,"PW",8,"20230710",20230707,958,1055,"TMP_FW_D5_20230710_15cm","1.8318376205673","0.419442124126311","1.11346712644663","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"54","TEMPEST","FW","D5","15cm",NA,NA,"PW",6,"20230807",20230804,1249,920,"TMP_FW_D5_20230807_15cm","2.22821935216718","0.50275939371872","0.9672513868363","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"55","TEMPEST","FW","D5","15cm",NA,NA,"PW",6.5,"20231002",20230929,1531,1017,"TMP_FW_D5_20231002_15cm","0.97503337688392","0.402307467140726","1.03172053374457","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"56","TEMPEST","FW","D5","15cm",NA,NA,"PW",8,"20231208",20231205,1107,1126,"TMP_FW_D5_20231208_15cm","2.12534001584956","0.302426695795584","0.785338445172667","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"57","TEMPEST","FW","E3","15cm",NA,NA,"PW",8,"20230627",20230623,1329,1130,"TMP_FW_E3_20230627_15cm","1.78957213333619","0.429294551893023","0.530174844895657","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"58","TEMPEST","FW","E3","15cm",NA,NA,"PW",6,"20230807",20230804,1433,941,"TMP_FW_E3_20230807_15cm","2.23050397309859","0.433364032927099","0.826318833129859","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"59","TEMPEST","FW","E3","15cm",NA,NA,"PW",6.5,"20231211",20231208,1137,1312,"TMP_FW_E3_20231211_15cm","2.81600948117687","0.301998329370944","0.796547366617405","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"60","TEMPEST","FW","F4","15cm",NA,NA,"PW",8,"20230627",20230623,1332,1117,"TMP_FW_F4_20230627_15cm","1.12546138633654","0.286862715700343","0.541455160744501","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"61","TEMPEST","FW","F4","15cm",NA,NA,"PW",8,"20230710",20230707,944,1035,"TMP_FW_F4_20230710_15cm","3.08238200289861","0.362826361669772","1.19649881842261","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
