"Project","Region","Sample_ID","Sample_Year","Sample_Month","Sample_Day","Site","Event","Plot","Location","Depth_cm","Timepoint","Sample_Type","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Notes","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","NOx_mgL","NOx_uM","NOx_flag","NH3_mgL","NH3_uM","NH3_flag","PO4_mgL","PO4_uM","PO4_flag","SO4_ppm","SO4_mM","SO4_flag","Cl_ppm","Cl_mM","Cl_flag","Salinity","H2S_mean_uM","H2S_sd_uM","H2S_flag","pH","pH_flag","Cond","Cond_units","Collection_temp_C","Temperature_flag","Analyte_Notes"
"COMPASS","CB","TMP_PW_SW_F6_15CM_20220622_T2",2022,6,22,"TMP","TMP-I","S","F6","15","T2","PW",20220622,20220622,1614,1749,"EDT",NA,5.09,424.17,NA,0.36,25.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_SW_F4_15CM_20220622_T2",2022,6,22,"TMP","TMP-I","S","F4","15","T2","PW",20220622,20220622,1614,1749,"EDT",NA,10.66,888.33,NA,0.53,37.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_SW_H3_15CM_20220622_T2",2022,6,22,"TMP","TMP-I","S","H3","15","T2","PW",20220622,20220622,1614,1749,"EDT",NA,6.53,544.17,NA,0.57,40.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_SW_E3_15CM_20220622_T2",2022,6,22,"TMP","TMP-I","S","E3","15","T2","PW",20220622,20220622,1614,1749,"EDT",NA,2.78,231.67,NA,0.17,12.14,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_SW_C3_15CM_20220622_T2",2022,6,22,"TMP","TMP-I","S","C3","15","T2","PW",20220622,20220622,1614,1749,"EDT","General note: AMP sampled GW well at 17:17, 17:32 pumped GW well for 2 min, didn't empty",8.48,706.67,NA,0.5,35.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_B4_15CM_20220622_T2",2022,6,22,"TMP","TMP-I","F","B4","15","T2","PW",20220622,20220622,1614,NA,"EDT",NA,16.87,1405.83,"blank is greater than or equal to 25% of sample value",1.63,116.43,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_SW_H6_15CM_20220622_T2",2022,6,22,"TMP","TMP-I","S","H6","15","T2","PW",20220622,20220622,1614,1749,"EDT",NA,15.52,1293.33,"blank is greater than or equal to 25% of sample value",1.65,117.86,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_D5_15CM_20220622_T2",2022,6,22,"TMP","TMP-I","F","D5","15","T2","PW",20220622,20220622,1614,NA,"EDT",NA,5.9,491.67,NA,0.28,20,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_E3_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","F","E3","15","T1","PW",20220622,20220622,1245,1445,"EDT",NA,6.03,502.5,NA,0.3,21.43,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_SW_F6_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","S","F6","15","T1","PW",20220622,20220622,1247,NA,"EDT","3 rinse between lysimeter",10.4,866.67,NA,0.57,40.71,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
