"","Sample_ID","Project","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Volume_mL","Collection_Date_YYYYMMDD","Evacuation_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"16","TMP_SW_SOURCEWATER_20230607_T1_","TMP","SW","Source",NA,"T1","AM",5,"20230607",NA,NA,621,"571.0464","17.8118028696195",NA,NA,"4300.3781","121.308267983075",NA,NA,"7.7708092267",NA,NA,NA
"17","TMP_SW_SOURCEWATER_20230607_T2_","TMP","SW","Source",NA,"T2","PM",5,"20230607",NA,NA,1255,"514.2798","16.0411665626949",NA,NA,"3838.6255","108.282806770099",NA,NA,"6.9364222785",NA,NA,"When SW pump cycled, the lines came out brown. Ran it until it came clear again to sample."
"18","TMP_SW_SOURCEWATER_20230607_T3_","TMP","SW","Source",NA,"T3","PM",5,"20230607",NA,NA,1515,"553.2006","17.2551653150343",NA,NA,"4150.0979","117.069052186178",NA,NA,"7.4992529053",NA,NA,NA
"19","TMP_FW_I5_20230608_","TMP","FW","I5","15",NA,NA,5,"20230608",20230607,1704,1528,"10.7456","0.335171553337492",NA,NA,"1.7979","0.0507165021156558",NA,NA,"0.0032748053",NA,NA,NA
"20","TMP_SW_I5_20230614_","TMP","SW","I5","15",NA,NA,5,"20230614",20230612,912,1314,"348.872","10.8818465377417",NA,NA,"3587.1498","101.188992947814",NA,NA,"6.4820056886",NA,NA,NA
"21","TMP_SW_F6_20230614_","TMP","SW","F6","15",NA,NA,5,"20230614",20230612,922,1242,"284.9284","8.88734872114785",NA,NA,"2472.9192","69.757946403385",NA,NA,"4.4685909944",NA,NA,NA
"22","TMP_SW_E3_20230614_","TMP","SW","E3","15",NA,NA,5,"20230614",20230612,855,1257,"161.2745","5.03039613225203",NA,NA,"1713.0164","48.3220423131171",NA,NA,"3.0954466348",NA,NA,NA
"23","TMP_SW_D5_20230614_","TMP","SW","D5","15",NA,NA,5,"20230614",20230612,927,1228,"194.2448","6.05878976918278",NA,NA,"2204.8413","62.1958053596615",NA,NA,"3.9841742291",NA,NA,NA
"24","TMP_SW_B4_20230614_","TMP","SW","B4","15",NA,NA,5,"20230614",20230612,935,1214,"389.9092","12.1618590143481",NA,NA,"3653.558","103.062284908322",NA,NA,"6.602005306",NA,NA,NA
"25","TMP_SW_H6_20230614_","TMP","SW","H6","15",NA,NA,5,"20230614",20230612,917,1318,"218.8013","6.82474422956956",NA,NA,"2025.9915","57.1506770098731",NA,NA,"3.6609926405",NA,NA,NA
"26","TMP_SW_C3_20230614_","TMP","SW","C3","15",NA,NA,5,"20230614",20230612,848,1201,"254.6519","7.94297878976918",NA,NA,"2312.4718","65.2319266572637",NA,NA,"4.1786625426",NA,NA,NA
"27","TMP_FW_I5_20230614_","TMP","FW","I5","15",NA,NA,5,"20230614",20230612,1009,1536,"6.5082","0.203000623830318",NA,NA,"1.4996","0.0423018335684062",NA,NA,"0.0027357772",NA,NA,NA
"28","TMP_FW_D5_20230614_","TMP","FW","D5","15",NA,NA,5,"20230614",20230612,944,1513,"7.3681","0.229822208359326",NA,NA,"1.6849","0.0475289139633286",NA,NA,"0.0030706143",NA,NA,NA
"29","TMP_FW_H3_20230614_","TMP","FW","H3","15",NA,NA,5,"20230614",20230612,1006,1528,"9.601","0.29946974422957",NA,NA,"3.4877","0.0983836389280677",NA,NA,"0.0063282739",NA,NA,NA
"30","TMP_SW_E3_20230612_","TMP","SW","E3","15",NA,NA,2,"20230612",20230608,1330,855,"197.4319","6.15820024953213",NA,NA,"2100.4648","59.2514753173484",NA,NA,"3.7955658936",NA,NA,NA
"31","TMP_FW_C6_20230614_","TMP","FW","C6","15",NA,NA,5,"20230614",20230612,927,1451,"6.907","0.215439800374298",NA,NA,"2.6658","0.0751988716502116",NA,NA,"0.0048431006",NA,NA,NA
"32","TMP_FW_C3_20230614_","TMP","FW","C3","15",NA,NA,5,"20230614",20230612,939,1502,"9.533","0.297348721147848",NA,NA,"2.9753","0.0839294781382228",NA,NA,"0.0054023671",NA,NA,NA
"33","TMP_C_H6_20230614_","TMP","C","H6","15",NA,NA,5,"20230614",20230612,1022,1131,"3.3829","0.105517779164067",NA,NA,"34.2586","0.966392101551481",NA,NA,"0.0619312902",NA,NA,NA
"34","TMP_SW_F6_20230617_","TMP","SW","F6","15",NA,NA,5,"20230617",20230614,1242,1118,"207.3424","6.46732376793512",NA,NA,"2158.9773","60.9020394922426",NA,NA,"3.9012979811",NA,NA,NA
"35","TMP_SW_E3_20230617_","TMP","SW","E3","15",NA,NA,5,"20230617",20230614,1257,1057,"125.3188","3.9088833437305",NA,NA,"1706.4377","48.1364654442877",NA,NA,"3.0835589239",NA,NA,NA
"36","TMP_SW_D5_20230617_","TMP","SW","D5","15",NA,NA,5,"20230617",20230614,1228,1122,"152.0754","4.74346225826575",NA,NA,"1932.8073","54.5220677009873",NA,NA,"3.4926087911",NA,NA,NA
"37","TMP_SW_B4_20230617_","TMP","SW","B4","15",NA,NA,5,"20230617",20230614,1214,1133,"367.4315","11.4607454772302",NA,NA,"3519.0792","99.2688067700987",NA,NA,"6.3590021144",NA,NA,NA
"38","TMP_SW_F4_20230617_","TMP","SW","F4","15",NA,NA,5,"20230617",20230614,1252,1108,"214.0984","6.67805364940736",NA,NA,"1746.2675","49.2600141043724",NA,NA,"3.1555313725",NA,NA,NA
"39","TMP_SW_C3_20230617_","TMP","SW","C3","15",NA,NA,5,"20230617",20230614,1201,1048,"237.5144","7.40843418590143",NA,NA,"2551.6127","71.9777912552891",NA,NA,"4.6107901489",NA,NA,NA
"40","TMP_FW_I5_20230617_","TMP","FW","I5","15",NA,NA,5,"20230617",20230614,1536,1225,"5.4015","0.168480973175296",NA,NA,"2.5017","0.0705698166431594",NA,NA,"0.0045465719",NA,NA,NA
"41","TMP_SW_D5_20230612_","TMP","SW","D5","15",NA,NA,2,"20230612",20230608,1435,927,"214.0229","6.67569868995633",NA,NA,"2211.602","62.3865162200282",NA,NA,"3.996390814",NA,NA,NA
"42","TMP_FW_D5_20230617_","TMP","FW","D5","15",NA,NA,5,"20230617",20230614,1513,1210,"5.7945","0.180739238927012",NA,NA,"2.7877","0.0786375176304654",NA,NA,"0.0050633739",NA,NA,NA
"43","TMP_FW_H6_20230617_","TMP","FW","H6","15",NA,NA,5,"20230617",20230614,1549,1234,"10.0723","0.314170305676856",NA,NA,"2.9411","0.0829647390691114",NA,NA,"0.0053405677",NA,NA,NA
"44","TMP_FW_F4_20230617_","TMP","FW","F4","15",NA,NA,5,"20230617",20230614,1526,1216,"9.0194","0.281328758577667",NA,NA,"2.2845","0.0644428772919605",NA,NA,"0.0041540915",NA,NA,NA
"45","TMP_FW_C3_20230617_","TMP","FW","C3","15",NA,NA,5,"20230617",20230614,1502,1156,"7.6582","0.238870867124142",NA,NA,"2.4234","0.068361071932299",NA,NA,"0.0044050838",NA,NA,NA
"46","TMP_C_H3_20230617_","TMP","C","H3","15",NA,NA,4,"20230617",20230614,1100,1027,"7.0475","0.219822208359326",NA,NA,"0.0381","0.00107475317348378",NA,NA,"9.48467e-05",NA,NA,NA
"47","TMP_SW_I5_20230627_","TMP","SW","I5","15",NA,NA,5,"20230627",20230623,1253,1305,"314.274","9.80268247036806",NA,NA,"2746.1598","77.4657207334273",NA,NA,"4.9623367586",NA,NA,"Clear"
"48","TMP_SW_F6_20230627_","TMP","SW","F6","15",NA,NA,5,"20230627",20230623,1256,1402,"185.051","5.77202121023082",NA,NA,"1890.7026","53.3343469675599",NA,NA,"3.4165255982",NA,NA,"Clear"
"49","TMP_SW_E3_20230627_","TMP","SW","E3","15",NA,NA,5,"20230627",20230623,1247,1339,"82.9636","2.58776044915783",NA,NA,"1308.7961","36.9194950634697",NA,NA,"2.3650205527",NA,NA,"Clear"
"50","TMP_SW_D5_20230627_","TMP","SW","D5","15",NA,NA,5,"20230627",20230623,1245,1412,"113.6138","3.54378665003119",NA,NA,"1276.1774","35.9993624823695",NA,NA,"2.3060785618",NA,NA,"Clear"
"51","TMP_SW_B4_20230627_","TMP","SW","B4","15",NA,NA,5,"20230627",20230623,1239,1431,"261.4093","8.15375233936369",NA,NA,"2246.0674","63.3587418899859",NA,NA,"4.0586697918",NA,NA,"Clear"
"52","TMP_SW_H6_20230612_","TMP","SW","H6","15",NA,NA,NA,"20230612",NA,NA,NA,"423.1609","13.1990299438553",NA,NA,"3686.5172","103.992022566996",NA,NA,"6.6615625804",NA,NA,NA
"53","TMP_SW_H6_20230627_","TMP","SW","H6","15",NA,NA,5,"20230627",20230623,1255,1317,"135.5781","4.2288864628821",NA,NA,"1084.5743","30.5944795486601",NA,NA,"1.9598517601",NA,NA,"Clear"
"54","TMP_SW_H3_20230627_","TMP","SW","H3","15",NA,NA,5,"20230627",20230623,1252,1329,"159.0621","4.96138802245789",NA,NA,"1294.8153","36.5251142454161",NA,NA,"2.3397572471",NA,NA,"Clear"
"55","TMP_SW_F4_20230627_","TMP","SW","F4","15",NA,NA,5,"20230627",20230623,1249,1355,"126.7284","3.95285090455396",NA,NA,"1205.9287","34.0177348377997",NA,NA,"2.1791391609",NA,NA,"Clear"
"56","TMP_SW_C6_20230627_","TMP","SW","C6","15",NA,NA,5,"20230627",20230623,1242,1421,"140.4608","4.38118527760449",NA,NA,"1289.783","36.3831593794076",NA,NA,"2.330663881",NA,NA,"Clear"
"57","TMP_SW_C3_20230627_","TMP","SW","C3","15",NA,NA,5,"20230627",20230623,1235,1442,"198.2146","6.18261384903306",NA,NA,"1835.179","51.768095909732",NA,NA,"3.316194453",NA,NA,"Clear"
"58","TMP_FW_I5_20230627_","TMP","FW","I5","15",NA,NA,5,"20230627",20230623,1336,1054,"4.0282","0.125645664379289",NA,NA,"1.4158","0.0399379407616361",NA,NA,"0.0025843506",NA,NA,NA
"59","TMP_FW_F6_20230627_","TMP","FW","F6","15",NA,NA,5,"20230627",20230623,1326,1140,"4.5062","0.140555208983157",NA,NA,"1.0414","0.02937658674189",NA,NA,"0.0019078098",NA,NA,NA
"60","TMP_FW_E3_20230627_","TMP","FW","E3","15",NA,NA,5,"20230627",20230623,1329,1130,"7.5004","0.233948845913911",NA,NA,"1.1117","0.0313596614950635",NA,NA,"0.0020348419",NA,NA,NA
"61","TMP_FW_D5_20230627_","TMP","FW","D5","15",NA,NA,5,"20230627",20230623,1323,1149,"5.5125","0.171943231441048",NA,NA,"1.1247","0.0317263751763047",NA,NA,"0.0020583329",NA,NA,NA
"62","TMP_FW_B4_20230627_","TMP","FW","B4","15",NA,NA,5,"20230627",20230623,1304,1202,"6.6033","0.205966936993138",NA,NA,"1.3472","0.0380028208744711",NA,NA,"0.0024603904",NA,NA,NA
"63","TMP_FW_I5_20230612_","TMP","FW","I5","15",NA,NA,5,"20230612",20230608,1528,1009,"8.2911","0.258611977542109",NA,NA,"2.3568","0.0664823695345557",NA,NA,"0.0042847376",NA,NA,NA
"64","TMP_FW_H6_20230627_","TMP","FW","H6","15",NA,NA,5,"20230627",20230623,1338,1046,"8.9315","0.278587024329382",NA,NA,"1.3663","0.0385416078984485",NA,NA,"0.0024949041",NA,NA,NA
"65","TMP_FW_H3_20230627_","TMP","FW","H3","15",NA,NA,5,"20230627",20230623,1334,1108,"7.261","0.226481597005614",NA,NA,"1.5292","0.0431368124118477",NA,NA,"0.0027892644",NA,NA,NA
"66","TMP_FW_F4_20230627_","TMP","FW","F4","15",NA,NA,5,"20230627",20230623,1332,1117,"6.3186","0.197086712414223",NA,NA,"1.6521","0.0466036671368124",NA,NA,"0.0030113447",NA,NA,NA
"67","TMP_FW_C3_20230627_","TMP","FW","C3","15",NA,NA,5,"20230627",20230623,1306,1211,"5.166","0.161135371179039",NA,NA,"1.1053","0.031179125528914",NA,NA,"0.0020232771",NA,NA,NA
"68","TMP_C_I5_20230628_","TMP","C","I5","15",NA,NA,5,"20230628",20230623,1421,1440,"4.0061","0.124956331877729",NA,NA,"0.6547","0.0184682651622003",NA,NA,"0.0012090429",NA,NA,NA
"69","TMP_C_F6_20230628_","TMP","C","F6","15",NA,NA,5,"20230628",20230623,1415,1504,"3.9735","0.123939488459139",NA,NA,"1.7583","0.0495994358251058",NA,NA,"0.0032032481",NA,NA,NA
"70","TMP_C_E3_20230628_","TMP","C","E3","15",NA,NA,5,"20230628",20230623,1406,1548,"4.3306","0.135077978789769",NA,NA,"0.1986","0.00560225669957687",NA,NA,"0.0003848702",NA,NA,NA
"71","TMP_C_D5_20230628_","TMP","C","D5","15",NA,NA,5,"20230628",20230623,1412,1512,"4.7361","0.147726138490331",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"72","TMP_C_B4_20230628_","TMP","C","B4","15",NA,NA,5,"20230628",20230623,1409,1536,"3.6789","0.114750467872739",NA,NA,"0.5929","0.0167249647390691",NA,NA,"0.0010973703",NA,NA,NA
"73","TMP_C_H6_20230628_","TMP","C","H6","15",NA,NA,5,"20230628",20230623,1418,1454,"4.5655","0.142404865876482",NA,NA,"0.184","0.00519040902679831",NA,NA,"0.000358488",NA,NA,NA
"74","TMP_FW_D5_20230612_","TMP","FW","D5","15",NA,NA,5,"20230612",20230608,1555,944,"9.282","0.289519650655022",NA,NA,"2.0749","0.0585303244005642",NA,NA,"0.0037753443",NA,NA,NA
"75","TMP_C_H3_20230628_","TMP","C","H3","15",NA,NA,5,"20230628",20230623,1402,1433,"6.2648","0.195408608858391",NA,NA,"0.6405","0.0180677009873061",NA,NA,"0.0011833835",NA,NA,NA
"76","TMP_C_F4_20230628_","TMP","C","F4","15",NA,NA,5,"20230628",20230623,1404,1556,"7.3978","0.230748596381784",NA,NA,"0.2353","0.00663751763046544",NA,NA,"0.0004511871",NA,NA,NA
"77","TMP_C_C6_20230628_","TMP","C","C6","15",NA,NA,5,"20230628",20230623,1231,1524,"4.2888","0.133774173424828",NA,NA,"33.4684","0.944101551480959",NA,NA,"0.0605033988",NA,NA,NA
"78","TMP_SW_F6_20230707_","TMP","SW","F6","15",NA,NA,5,"20230707",20230705,1430,1050,"146.2335","4.56124454148472",NA,NA,"1338.7957","37.7657461212976",NA,NA,"2.4192298299",NA,NA,NA
"79","TMP_SW_E3_20230707_","TMP","SW","E3","15",NA,NA,5,"20230707",20230705,1435,1038,"68.1391","2.12536182158453",NA,NA,"1100.9785","31.057221438646",NA,NA,"1.9894941495",NA,NA,NA
"80","TMP_SW_D5_20230707_","TMP","SW","D5","15",NA,NA,5,"20230707",20230705,1426,1045,"98.2683","3.06513724266999",NA,NA,"798.9636","22.53776022567",NA,NA,"1.4437532252",NA,NA,NA
"81","TMP_SW_B4_20230707_","TMP","SW","B4","15",NA,NA,5,"20230707",20230705,1239,1020,"233.1146","7.27119775421085",NA,NA,"1844.9105","52.0426093088858",NA,NA,"3.3337792735",NA,NA,NA
"82","TMP_SW_C3_20230707_","TMP","SW","C3","15",NA,NA,5,"20230707",20230705,1235,1031,"202.4973","6.31619775421085",NA,NA,"1855.573","52.3433850493653",NA,NA,"3.353046411",NA,NA,NA
"83","TMP_FW_I5_20230707_","TMP","FW","I5","15",NA,NA,5,"20230707",20230705,1416,920,"4.4897","0.14004054897068",NA,NA,"1.94","0.0547249647390691",NA,NA,"0.00353158",NA,NA,NA
"84","TMP_FW_D5_20230707_","TMP","FW","D5","15",NA,NA,5,"20230707",20230705,1444,958,"4.9076","0.153075483468497",NA,NA,"0.6861","0.0193540197461213",NA,NA,"0.0012657827",NA,NA,NA
"85","TMP_FW_H6_20230612_","TMP","FW","H6","15",NA,NA,5,"20230612",20230608,1543,1018,"9.6885","0.302199001871491",NA,NA,"1.4808","0.041771509167842",NA,NA,"0.0027018056",NA,NA,NA
"86","TMP_FW_H6_20230707_","TMP","FW","H6","15",NA,NA,5,"20230707",20230705,1427,932,"7.6144","0.237504678727386",NA,NA,"0.7665","0.0216220028208745",NA,NA,"0.0014110655",NA,NA,NA
"87","TMP_FW_F4_20230707_","TMP","FW","F4","15",NA,NA,2,"20230707",20230705,1435,944,"12.4375","0.387944479101684",NA,NA,"0.4332","0.0122200282087447",NA,NA,"0.0008087924",NA,NA,NA
"88","TMP_FW_C3_20230707_","TMP","FW","C3","15",NA,NA,5,"20230707",20230705,1453,1009,"5.0982","0.159020586400499",NA,NA,"0.6024","0.0169929478138223",NA,NA,"0.0011145368",NA,NA,NA
"89","TMP_C_I5_20230710_","TMP","C","I5","15",NA,NA,5,"20230710",20230707,1138,1310,"4.8045","0.149859638178415",NA,NA,"0.0544","0.0015345557122708",NA,NA,"0.0001243008",NA,NA,NA
"90","TMP_C_H6_20230710_","TMP","C","H6","15",NA,NA,5,"20230710",20230707,1142,1255,"5.5838","0.174167186525265",NA,NA,"0.1134","0.00319887165021157",NA,NA,"0.0002309138",NA,NA,NA
"91","TMP_C_H6_20230707_","TMP","C","H6","15",NA,NA,5,"20230707",20230705,1215,1142,"5.0447","0.157351840299439",NA,NA,"0.0393","0.00110860366713681",NA,NA,"9.70151e-05",NA,NA,NA
"92","TMP_C_C6_20230710_","TMP","C","C6","15",NA,NA,5,"20230710",20230707,1113,1240,"4.8908","0.152551466001248",NA,NA,"0.878","0.0247672778561354",NA,NA,"0.001612546",NA,NA,NA
"93","TMP_SW_I5_20230807_","TMP","SW","I5","15",NA,NA,5,"20230807",20230804,1240,1012,"112.0355","3.49455708047411",NA,NA,"196.1449","5.53300141043723",NA,NA,"0.3544598343",NA,NA,"clear"
"94","TMP_SW_F6_20230807_","TMP","SW","F6","15",NA,NA,5,"20230807",20230804,1228,1037,"94.7191","2.95443231441048",NA,NA,"457.0739","12.8934809590973",NA,NA,"0.8259585373",NA,NA,"clear"
"95","TMP_SW_E3_20230807_","TMP","SW","E3","15",NA,NA,5,"20230807",20230804,1236,1025,"64.4411","2.01001559575795",NA,NA,"395.7641","11.1640084626234",NA,NA,"0.7151717287",NA,NA,"clear"
"96","TMP_FW_C3_20230612_","TMP","FW","C3","15",NA,NA,5,"20230612",20230608,1613,939,"11.3645","0.354475982532751",NA,NA,"2.6786","0.0755599435825106",NA,NA,"0.0048662302",NA,NA,NA
"97","TMP_SW_D5_20230807_","TMP","SW","D5","15",NA,NA,5,"20230807",20230804,1225,1044,"53.4867","1.66833125389894",NA,NA,"138.56","3.90860366713681",NA,NA,"0.25040392",NA,NA,"light yellow"
"98","TMP_SW_B4_20230807_","TMP","SW","B4","15",NA,NA,5,"20230807",20230804,1218,1058,"100.7879","3.14372738615097",NA,NA,"488.5215","13.7805782792666",NA,NA,"0.8827843505",NA,NA,"clear"
"99","TMP_C_H6_20230612_","TMP","C","H6","15",NA,NA,2,"20230612",20230608,1647,1022,"10.2618","0.32008109794136",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"100","TMP_C_C6_20230515_","TMP","C","C6","15",NA,NA,5,"20230515",20230512,1126,1502,"0.3224","0.0100561447286338",NA,NA,"30.5616","0.86210437235543",NA,NA,"0.0552508112",NA,NA,NA
"101","TMP_C_C6_20230603_","TMP","C","C6","15",NA,NA,2,"20230603",20230531,1512,1441,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"102","TMP_C_C6_20230603_","TMP","C","C6","15",NA,NA,2,"20230603",20230531,1512,1441,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"103","TMP_C_C6_20230603_","TMP","C","C6","15",NA,NA,2,"20230603",20230531,1512,1441,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"104","TMP_C_C6_20230603_","TMP","C","C6","15",NA,NA,2,"20230603",20230531,1512,1441,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"105","TMP_C_F6_20230515_","TMP","C","F6","15",NA,NA,5,"20230515",20230512,1136,1250,"0","0",NA,NA,"28.2531","0.796984485190409",NA,NA,"0.0510793517",NA,NA,NA
"106","TMP_C_H3_20230515_","TMP","C","H3","15",NA,NA,5,"20230515",20230512,1141,1215,"0.5567","0.0173643169058016",NA,NA,"27.4189","0.773452750352609",NA,NA,"0.0495719523",NA,NA,NA
"107","TMP_C_H3_20230518_","TMP","C","H3","15",NA,NA,5,"20230518",20230515,1215,1031,"0.4633","0.014451029320025",NA,NA,"30.2118","0.852236953455571",NA,NA,"0.0546187226",NA,NA,"This may not exist?? I think I forgot we got it on 5/15 and hand wrote it on the data sheet for 5/18 making it look like we got a sample"
"108","TMP_C_H6_20230515_","TMP","C","H6","15",NA,NA,5,"20230515",20230512,1136,1232,"4.3694","0.136288209606987",NA,NA,"24.2582","0.684293370944993",NA,NA,"0.0438605674",NA,NA,NA
"109","TMP_C_H6_20230603_","TMP","C","H6","15",NA,NA,2,"20230603",20230531,1426,1415,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"110","TMP_C_H6_20230603_","TMP","C","H6","15",NA,NA,2,"20230603",20230531,1426,1415,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"111","TMP_C_H6_20230603_","TMP","C","H6","15",NA,NA,2,"20230603",20230531,1426,1415,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"112","TMP_C_H6_20230603_","TMP","C","H6","15",NA,NA,2,"20230603",20230531,1426,1415,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"113","TMP_C_H6_20230605_","TMP","C","H6","15",NA,NA,5,"20230605",20230603,1536,1600,"3.1858","0.099369931378665",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"114","TMP_C_H6_20230605_","TMP","C","H6","15",NA,NA,5,"20230605",20230603,1536,1600,"3.1858","0.099369931378665",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"115","TMP_C_H6_20230605_","TMP","C","H6","15",NA,NA,5,"20230605",20230603,1536,1600,"2.3894","0.0745290081097941",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"116","TMP_C_H6_20230605_","TMP","C","H6","15",NA,NA,5,"20230605",20230603,1536,1600,"2.3894","0.0745290081097941",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"117","TMP_C_I5_20230518_","TMP","C","I5","15",NA,NA,5,"20230518",20230515,1225,1043,"4.4207","0.137888334373051",NA,NA,"25.4606","0.718211565585331",NA,NA,"0.0460333042",NA,NA,NA
"118","TMP_C_I5_20230603_","TMP","C","I5","15",NA,NA,2,"20230603",20230531,1436,1400,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"119","TMP_C_I5_20230603_","TMP","C","I5","15",NA,NA,2,"20230603",20230531,1436,1400,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"120","TMP_C_I5_20230603_","TMP","C","I5","15",NA,NA,2,"20230603",20230531,1436,1400,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"121","TMP_C_I5_20230603_","TMP","C","I5","15",NA,NA,2,"20230603",20230531,1436,1400,"0","0",NA,NA,"0","0",NA,NA,"2.6e-05",NA,NA,NA
"122","TMP_FW_B4_20230515_","TMP","FW","B4","15",NA,NA,5,"20230515",20230512,1324,1645,"0.7675","0.0239394884591391",NA,NA,"30.1197","0.849638928067701",NA,NA,"0.0544522979",NA,NA,NA
"123","TMP_FW_C3_20230515_","TMP","FW","C3","15",NA,NA,5,"20230515",20230512,1321,1655,"4.9565","0.154600748596382",NA,NA,"24.266","0.684513399153738",NA,NA,"0.043874662",NA,NA,NA
