TEMPEST Sample List: SO4/Cl/H2S 20260501 - 20260612,,,,,,
Sample_Number,Vial_Number,Sample_ID,Plot,Collection_Date_YYYYMMDD,Timepoint,type
45,40,TMP_SW_PW_H6_50cm_SO4_20260608_D2_PM,Saltwater,20260608,D2_PM,PW
46,41,TMP_FW_PW_C3_30cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
47,42,TMP_FW_PW_C3_50cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
48,43,TMP_FW_PW_C6_15cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
49,44,TMP_FW_PW_C6_30cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
50,45,TMP_FW_PW_C6_50cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
51,46,TMP_FW_PW_D5_15cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
52,47,TMP_FW_PW_F4_30cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
53,48,TMP_FW_PW_F4_50cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
54,49,TMP_FW_PW_H3_30cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
55,50,TMP_FW_PW_H3_50cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
56,51,TMP_FW_PW_H6_30cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
57,52,TMP_FW_PW_H6_50cm_SO4_20260608_D2_PM,Freshwater,20260608,D2_PM,PW
58,90,TMP_SW_SCE_SO4_20260609_D3-AM,Saltwater,20260609,D3-AM,SCE
59,91,TMP_FW_SCE_SO4_20260609_D3-AM,Freshwater,20260609,D3-AM,SCE
60,92,TMP_EST_SCE_SO4_20260609_D3-AM,Estuary,20260609,D3-AM,SCE
61,131,TMP_SW_RO_SO4_20260609_D3-Macropore,Saltwater,20260609,D3-Macropore,RO
62,129,TMP_SW_SCE_SO4_20260609_D3-PM,Saltwater,20260609,D3-PM,SCE
63,130,TMP_FW_SCE_SO4_20260609_D3-PM,Freshwater,20260609,D3-PM,SCE
64,93,TMP_EST_SCE_SO4_20260609_D3-PM,Estuary,20260609,D3-PM,SCE
65,94,TMP_SW_RO_SO4_20260609_D3-T1,Saltwater,20260609,D3-T1,RO
66,95,TMP_FW_RO_SO4_20260609_D3-T1,Freshwater,20260609,D3-T1,RO
67,132,TMP_SW_RO_SO4_20260609_D3-T2,Saltwater,20260609,D3-T2,RO
68,133,TMP_FW_RO_SO4_20260609_D3-T2,Freshwater,20260609,D3-T2,RO
69,58,TMP_SW_PW_B4_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
70,59,TMP_SW_PW_C3_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
71,60,TMP_SW_PW_C3_30cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
72,61,TMP_SW_PW_C3_50cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
73,62,TMP_SW_PW_C6_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
74,63,TMP_SW_PW_C6_30cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
75,64,TMP_SW_PW_C6_50cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
76,65,TMP_SW_PW_D5_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
77,66,TMP_SW_PW_F4_30cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
78,67,TMP_SW_PW_F4_50cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
79,69,TMP_SW_PW_H3_30cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
80,70,TMP_SW_PW_H3_50cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
81,71,TMP_SW_PW_H6_30cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
82,72,TMP_SW_PW_I5_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
83,68,TMP_SW_PW_F6_15cm_SO4_20260609_D3_AM,Saltwater,20260609,D3_AM,PW
84,73,TMP_FW_PW_C3_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
85,74,TMP_FW_PW_C3_30cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
86,75,TMP_FW_PW_C3_50cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
87,76,TMP_FW_PW_C6_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
88,77,TMP_FW_PW_C6_30cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
89,78,TMP_FW_PW_C6_50cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
90,79,TMP_FW_PW_D5_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
91,80,TMP_FW_PW_E3_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
92,81,TMP_FW_PW_F4_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
93,82,TMP_FW_PW_F4_30cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
94,83,TMP_FW_PW_F4_50cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
95,84,TMP_FW_PW_H3_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
96,85,TMP_FW_PW_H3_30cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
97,86,TMP_FW_PW_H3_50cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
98,87,TMP_FW_PW_H6_15cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
99,88,TMP_FW_PW_H6_30cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
100,89,TMP_FW_PW_H6_50cm_SO4_20260609_D3_AM,Freshwater,20260609,D3_AM,PW
101,96,TMP_SW_PW_B4_15cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
102,97,TMP_SW_PW_C3_30cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
103,98,TMP_SW_PW_C3_50cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
104,99,TMP_SW_PW_C6_30cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
105,100,TMP_SW_PW_C6_50cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
106,101,TMP_SW_PW_D5_15cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
107,102,TMP_SW_PW_E3_15cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
108,103,TMP_SW_PW_F4_15cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
109,104,TMP_SW_PW_F4_30cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
110,105,TMP_SW_PW_F4_50cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
111,106,TMP_SW_PW_H3_15cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
112,107,TMP_SW_PW_H3_30cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
113,108,TMP_SW_PW_H6_30cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
114,109,TMP_SW_PW_H6_50cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
115,110,TMP_SW_PW_I5_15cm_SO4_20260609_D3_PM,Saltwater,20260609,D3_PM,PW
116,111,TMP_FW_PW_C3_15cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
117,112,TMP_FW_PW_C3_30cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
118,113,TMP_FW_PW_C3_50cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
119,114,TMP_FW_PW_C6_15cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
120,115,TMP_FW_PW_C6_30cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
121,116,TMP_FW_PW_C6_50cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
122,117,TMP_FW_PW_D5_15cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
123,118,TMP_FW_PW_E3_15cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
124,119,TMP_FW_PW_F4_15cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
125,120,TMP_FW_PW_F4_30cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
126,121,TMP_FW_PW_F4_50cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
127,122,TMP_FW_PW_H3_15cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
128,123,TMP_FW_PW_H3_30cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
129,124,TMP_FW_PW_H3_50cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
130,125,TMP_FW_PW_H6_15cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
131,126,TMP_FW_PW_H6_30cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
132,127,TMP_FW_PW_H6_50cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
133,128,TMP_FW_PW_I5_15cm_SO4_20260609_D3_PM,Freshwater,20260609,D3_PM,PW
134,134,TMP_SW_PW_B4_15cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
135,135,TMP_SW_PW_C3_15cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
136,136,TMP_SW_PW_C3_30cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
137,137,TMP_SW_PW_C3_50cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
138,138,TMP_SW_PW_C6_15cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
139,139,TMP_SW_PW_C6_30cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
140,140,TMP_SW_PW_C6_50cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
141,141,TMP_SW_PW_D5_15cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
142,141A,TMP_SW_PW_E3_15cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
143,142,TMP_SW_PW_F4_15cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
144,143,TMP_SW_PW_F4_30cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
145,144,TMP_SW_PW_F4_50cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
146,146,TMP_SW_PW_H3_30cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
147,147,TMP_SW_PW_H3_50cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
148,148,TMP_SW_PW_H6_30cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
149,149,TMP_SW_PW_H6_50cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
150,150,TMP_SW_PW_I5_15cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
151,145,TMP_SW_PW_F6_15cm_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,PW
152,151,TMP_FW_PW_C3_15cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
153,152,TMP_FW_PW_C3_30cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
154,153,TMP_FW_PW_C3_50cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
155,154,TMP_FW_PW_C6_15cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
156,155,TMP_FW_PW_C6_30cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
157,156,TMP_FW_PW_C6_50cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
158,157,TMP_FW_PW_D5_15cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
159,158,TMP_FW_PW_E3_15cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
160,159,TMP_FW_PW_F4_15cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
161,160,TMP_FW_PW_F4_30cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
162,161,TMP_FW_PW_F4_50cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
163,162,TMP_FW_PW_H3_15cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
164,163,TMP_FW_PW_H3_30cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
165,164,TMP_FW_PW_H3_50cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
166,165,TMP_FW_PW_H6_15cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
167,166,TMP_FW_PW_H6_30cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
168,167,TMP_FW_PW_H6_50cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
169,168,TMP_FW_PW_I5_15cm_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,PW
170,169,TMP_SW_SCE_SO4_20260610_D4-AM,Saltwater,20260610,D4-AM,SCE
171,170,TMP_FW_SCE_SO4_20260610_D4-AM,Freshwater,20260610,D4-AM,SCE
172,171,TMP_EST_SCE_SO4_20260610_D4-AM,Estuary,20260610,D4-AM,SCE
173,174,TMP_SW_PW_B4_15cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
174,175,TMP_SW_PW_C3_15cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
175,176,TMP_SW_PW_C3_50cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
176,177,TMP_SW_PW_C6_30cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
177,178,TMP_SW_PW_C6_50cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
178,179,TMP_SW_PW_D5_15cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
179,180,TMP_SW_PW_E3_15cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
180,181,TMP_SW_PW_F4_15cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
181,182,TMP_SW_PW_F4_50cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
182,183,TMP_SW_PW_H3_15cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
183,184,TMP_SW_PW_H3_30cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
184,185,TMP_SW_PW_H3_50cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
185,186,TMP_SW_PW_H6_50cm_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,PW
186,187,TMP_FW_PW_C3_15cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
187,188,TMP_FW_PW_C3_30cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
188,189,TMP_FW_PW_C3_50cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
189,190,TMP_FW_PW_C6_15cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
190,191,TMP_FW_PW_C6_30cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
191,192,TMP_FW_PW_C6_50cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
192,193,TMP_FW_PW_D5_15cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
193,194,TMP_FW_PW_F4_15cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
194,195,TMP_FW_PW_F4_30cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
195,196,TMP_FW_PW_F4_50cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
196,198,TMP_FW_PW_H3_15cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
197,199,TMP_FW_PW_H3_30cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
198,200,TMP_FW_PW_H3_50cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
199,201,TMP_FW_PW_H6_15cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
200,202,TMP_FW_PW_H6_30cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
201,203,TMP_FW_PW_H6_50cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
202,204,TMP_FW_PW_I5_15cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
203,197,TMP_FW_PW_F6_15cm_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,PW
204,205,TMP_SW_SCE_SO4_20260610_D4-PM,Saltwater,20260610,D4-PM,SCE
205,206,TMP_FW_SCE_SO4_20260610_D4-PM,Freshwater,20260610,D4-PM,SCE
206,207,TMP_EST_SCE_SO4_20260610_D4-PM,Estuary,20260610,D4-PM,SCE
207,172,TMP_SW_RO_SO4_20260610_D4-T1,Saltwater,20260610,D4-T1,RO
208,173,TMP_FW_RO_SO4_20260610_D4-T1,Freshwater,20260610,D4-T1,RO
209,208,TMP_SW_RO_SO4_20260610_D4-T2,Saltwater,20260610,D4-T2,RO
210,209,TMP_FW_RO_SO4_20260610_D4-T2,Freshwater,20260610,D4-T2,RO
211,210,TMP_SW_PW_B4_15cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
212,211,TMP_SW_PW_C3_15cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
213,212,TMP_SW_PW_C3_30cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
214,213,TMP_SW_PW_C3_50cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
215,214,TMP_SW_PW_C6_15cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
216,215,TMP_SW_PW_C6_30cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
217,216,TMP_SW_PW_C6_50cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
218,217,TMP_SW_PW_D5_15cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
219,218,TMP_SW_PW_E3_15cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
220,219,TMP_SW_PW_F4_15cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
221,220,TMP_SW_PW_F4_30cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
222,221,TMP_SW_PW_F4_50cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
223,223,TMP_SW_PW_H3_15cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
224,224,TMP_SW_PW_H3_30cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
225,225,TMP_SW_PW_H3_50cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
226,226,TMP_SW_PW_H6_15cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
227,227,TMP_SW_PW_H6_30cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
228,228,TMP_SW_PW_H6_50cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
229,229,TMP_SW_PW_I5_15cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
230,222,TMP_SW_PW_F6_15cm_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,PW
231,230,TMP_FW_PW_B4_15cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
232,231,TMP_FW_PW_C3_15cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
233,232,TMP_FW_PW_C3_30cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
234,233,TMP_FW_PW_C3_50cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
235,234,TMP_FW_PW_C6_15cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
236,235,TMP_FW_PW_C6_30cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
237,236,TMP_FW_PW_C6_50cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
238,237,TMP_FW_PW_D5_15cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
239,238,TMP_FW_PW_E3_15cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
240,239,TMP_FW_PW_F4_15cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
241,240,TMP_FW_PW_F4_30cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
242,241,TMP_FW_PW_F4_50cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
243,242,TMP_FW_PW_H3_15cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
244,243,TMP_FW_PW_H3_30cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
245,244,TMP_FW_PW_H3_50cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
246,245,TMP_FW_PW_H6_15cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
247,246,TMP_FW_PW_H6_30cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
248,247,TMP_FW_PW_H6_50cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
249,248,TMP_FW_PW_I5_15cm_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,PW
250,249,TMP_SW_SCE_SO4_20260611_D5-AM,Saltwater,20260611,D5-AM,SCE
251,250,TMP_FW_SCE_SO4_20260611_D5-AM,Freshwater,20260611,D5-AM,SCE
252,251,TMP_EST_SCE_SO4_20260611_D5-AM,Estuary,20260611,D5-AM,SCE
253,254,TMP_C_PW_C6_50cm_SO4_20260611_D5-PM,Control,20260611,D5-PM,PW
254,255,TMP_SW_PW_B4_15cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
255,256,TMP_SW_PW_C3_15cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
256,257,TMP_SW_PW_C3_30cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
257,258,TMP_SW_PW_C3_50cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
258,259,TMP_SW_PW_C6_15cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
259,260,TMP_SW_PW_C6_30cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
260,261,TMP_SW_PW_C6_50cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
261,262,TMP_SW_PW_D5_15cm_SO4_20260611_D5-PM,Saltwater,20260611,D5-PM,PW
