"","Sample_ID","Site","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes","Plot","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Deployment_Date","Deployment_Time_24hrs","Collection_Time_24hrs"
"31","TMP_FW_I5_20251101","Tempest","FW","I5",15,NA,NA,"PW",8,20251101,20251029,0.016075,1.14766504601369,"bdl",NA,0.003196,0.228176515524713,"bdl",NA,0.004469,0.144283409939032,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"32","TMP_SW_B4_20250711","Tempest","SW","B4",15,NA,NA,"PW",14,20250711,20250708,0.035935,2.56555791157089,"Within_Range",NA,0.150716,10.7602790093312,"Within_Range",NA,0.014887,0.48063260768905,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"33","TMP_SW_B4_20250929","Tempest","SW","B4",15,NA,NA,"PW",6,20250929,20250926,0.015153,1.0818394054274,"bdl",NA,0.067433,4.81433885212077,"Within_Range",NA,0.024905,0.804067649257459,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"34","TMP_SW_B4_20260309","Tempest","SW","B4",15,NA,NA,"PW",7,20260309,20260306,0.022013,1.57160501759872,"bdl",NA,0.064559,4.60915133471839,"Within_Range",NA,0.028551,0.921780182852829,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"35","TMP_SW_C6_20260309","Tempest","SW","C6",15,NA,NA,"PW",14,20260309,20260306,0.042601,3.04147300934553,"Within_Range",NA,0.05097,3.63897277731371,"Within_Range",NA,0.013627,0.43995301571698,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"36","TMP_SW_D5_20250711","Tempest","SW","D5",15,NA,NA,"PW",14,20250711,20250708,0.038859,2.77431514917861,"Within_Range",NA,0.020794,1.48457523899277,"Within_Range",NA,0.009704,0.313297428965845,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"37","TMP_SW_D5_20250926","Tempest","SW","D5",15,NA,NA,"PW",4,20250926,20250923,0.021196,1.51327578944362,"bdl",NA,0.046187,3.29749334247182,"Within_Range",NA,0.012777,0.41251043383106,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"38","TMP_SW_D5_20250929","Tempest","SW","D5",15,NA,NA,"PW",6,20250929,20250926,0.01046,0.7467854669551,"bdl",NA,0.011464,0.818465448678133,"bdl",NA,0.009348,0.301803829964213,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"39","TMP_SW_D5_20251101","Tempest","SW","D5",15,NA,NA,"PW",5,20251101,20251029,3.846702,274.63299706569,"Within_Range",NA,0.030109,2.1496141132458,"Within_Range",NA,0.005893,0.190257805945561,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"40","TMP_SW_D5_20260309","Tempest","SW","D5",15,NA,NA,"PW",8,20260309,20260306,0.473352,33.7946839726702,"Within_Range",NA,0.063488,4.53268792792021,"Within_Range",NA,0.01783,0.575648511795241,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"41","TMP_SW_E3_20250711","Tempest","SW","E3",15,NA,NA,"PW",8,20250711,20250708,0.026767,1.91101401472153,"Within_Range",NA,0.032361,2.31039431129388,"Within_Range",NA,0.015319,0.494579896365188,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"42","TMP_SW_F6_20250711","Tempest","SW","F6",15,NA,NA,"PW",8,20250711,20250708,0.024409,1.74266600983815,"bdl",NA,0.042969,3.06774615005676,"Within_Range",NA,0.021832,0.704854644392244,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"43","TMP_SW_F6_20260309","Tempest","SW","F6",15,NA,NA,"PW",6,20260309,20260306,0.030072,2.14697252029386,"Within_Range",NA,0.051638,3.68666423925693,"Within_Range",NA,0.013753,0.444020974914187,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"44","TMP_SW_H3_20250711","Tempest","SW","H3",15,NA,NA,"PW",8,20250711,20250708,0.013434,0.959112424768147,"bdl",NA,0.052774,3.76776828232203,"Within_Range",NA,0.03593,1.16001407901307,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"45","TMP_SW_H3_20250929","Tempest","SW","H3",15,NA,NA,"PW",8,20250929,20250926,0.023414,1.67162857775208,"bdl",NA,0.038855,2.77402957156218,"Within_Range",NA,0.009353,0.301965256916483,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"46","TMP_SW_H6_20250711","Tempest","SW","H6",15,NA,NA,"PW",8,20250711,20250708,0.016349,1.1672271127389,"bdl",NA,0.094865,6.77283014557319,"Within_Range",NA,0.056871,1.83610244051078,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"47","TMP_SW_H6_20250926","Tempest","SW","H6",15,NA,NA,"PW",14,20250926,20250923,0.032901,2.34894728951145,"Within_Range",NA,0.034138,2.43726216739132,"Within_Range",NA,0.02402,0.775495078705648,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"48","TMP_SW_H6_20251101","Tempest","SW","H6",15,NA,NA,"PW",8,20251101,20251029,0.04633,3.30770274225906,"Within_Range",NA,0.043097,3.0768846337824,"Within_Range",NA,0.015911,0.51369284751397,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"49","TMP_SW_H6_20260309","Tempest","SW","H6",15,NA,NA,"PW",8,20260309,20260306,0.822186,58.6994795347941,"Within_Range",NA,0.064129,4.57845174095254,"Within_Range",NA,0.011401,0.368085736566323,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"50","TMP_SW_I5_20250711","Tempest","SW","I5",15,NA,NA,"PW",8,20250711,20250708,0.035703,2.54899440981816,"Within_Range",NA,0.26407,18.8531202924315,"Within_Range",NA,0.070727,2.28344881064173,"Within_Range",NA,"05/04/2026",NA,NA,NA,NA,NA,NA,NA,NA
"51","TMP_SW_I5_20260309","Tempest","SW","I5",15,NA,NA,"PW",5.5,20260309,20260306,0.026708,1.90680174487924,"Within_Range",NA,0.058028,4.14287448149814,"Within_Range",NA,0.041415,1.33709944565339,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"52","TMP_Source_Estuary_20240611_HT","Tempest","Estuary",NA,NA,NA,"AM","Source",8,20240611,NA,0.053805,3.84137591295594,"Within_Range",NA,0.025524,1.82227077041701,"Within_Range",NA,0.01546,0.499132136419205,"Within_Range",NA,"05/08/2026",NA,"high tide",NA,NA,NA,NA,NA,NA
"53","TMP_Source_Estuary_20240611_LT","Tempest","Estuary",NA,NA,NA,"PM","Source",8,20240611,NA,0.015926,1.13702727980181,"bdl",NA,0.029358,2.09599691576174,"Within_Range",NA,0.020641,0.666402744361502,"Within_Range",NA,"05/08/2026",NA,"low tide",NA,NA,NA,NA,NA,NA
"54","TMP_Source_Estuary_20240612_HT","Tempest","Estuary",NA,NA,NA,"AM","Source",8,20240612,NA,0,0,"bdl",NA,0.010659,0.760992953372315,"bdl",NA,0.018448,0.595600883095828,"Within_Range",NA,"05/08/2026",NA,"high tide",NA,NA,NA,NA,NA,NA
"55","TMP_Source_Estuary_20240612_LT","Tempest","Estuary",NA,NA,NA,"PM","Source",8,20240612,NA,0.014627,1.04428594886733,"bdl",NA,0.022356,1.59609329820729,"Within_Range",NA,0.026955,0.870252699688207,"Within_Range",NA,"05/08/2026",NA,"low tide",NA,NA,NA,NA,NA,NA
"56","TMP_Source_Estuary_20240613_HT","Tempest","Estuary",NA,NA,NA,"AM","Source",8,20240613,NA,0.002399,0.171275175451748,"bdl",NA,0.023482,1.67648339723132,"Within_Range",NA,0.017744,0.572871968216195,"Within_Range",NA,"05/08/2026",NA,"high tide",NA,NA,NA,NA,NA,NA
"57","TMP_Source_Estuary_20240613_LT","Tempest","Estuary",NA,NA,NA,"PM","Source",8,20240613,NA,0.012611,0.90035483018841,"bdl",NA,0.037534,2.67971756373735,"Within_Range",NA,0.03193,1.03087251719697,"Within_Range",NA,"05/08/2026",NA,"low tide",NA,NA,NA,NA,NA,NA
"58","TMP_Source_FW_20240611_AM","Tempest","FW",NA,NA,NA,"AM","Source",8,20240611,NA,0.067171,4.79563351824484,"Within_Range",NA,0.002384,0.170204259390149,"bdl",NA,0.017356,0.560345236720034,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"59","TMP_Source_FW_20240611_MID","Tempest","FW",NA,NA,NA,"MID","Source",8,20240611,NA,0.00928,0.662540070109305,"bdl",NA,0.007657,0.546666952244283,"bdl",NA,0.025003,0.807231617521953,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"60","TMP_Source_FW_20240611_PM","Tempest","FW",NA,NA,NA,"PM","Source",8,20240611,NA,0.00688,0.49119350025345,"bdl",NA,0.00749,0.53474408675848,"bdl",NA,0.023865,0.770490843185274,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"61","TMP_Source_FW_20240612_AM","Tempest","FW",NA,NA,NA,"AM","Source",8,20240612,NA,0.040993,2.9266708075421,"Within_Range",NA,0.008759,0.625343585569763,"bdl",NA,0.020143,0.650324619915398,"Within_Range",NA,"05/08/2026",NA,".",NA,NA,NA,NA,NA,NA
"62","TMP_Source_FW_20240612_MID","Tempest","FW",NA,NA,NA,"MID","Source",8,20240612,NA,0.03614,2.58019376441275,"Within_Range",NA,0.017088,1.21998757737369,"bdl",NA,0.023412,0.755865561309601,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"63","TMP_Source_FW_20240612_PM","Tempest","FW",NA,NA,NA,"PM","Source",8,20240612,NA,0.021063,1.50378033369744,"bdl",NA,0.006686,0.477342985856769,"bdl",NA,0.020726,0.669147002550094,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"64","TMP_Source_FW_20240613_AM","Tempest","FW",NA,NA,NA,"AM","Source",8,20240613,NA,0.029564,2.1107041630077,"Within_Range",NA,0.017725,1.26546581278959,"bdl",NA,0.021805,0.703982938849985,"Within_Range",NA,"05/08/2026",NA,".",NA,NA,NA,NA,NA,NA
"65","TMP_Source_FW_20240613_MID","Tempest","FW",NA,NA,NA,"MID","Source",8,20240613,NA,0.031948,2.28090842239785,"Within_Range",NA,0.01271,0.907422876194964,"bdl",NA,0.024973,0.806263055808332,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"66","TMP_Source_FW_20240613_PM","Tempest","FW",NA,NA,NA,"PM","Source",8,20240613,NA,0.02408,1.71917725088708,"bdl",NA,0.009378,0.669536721711752,"bdl",NA,0.02558,0.825860287813925,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"67","TMP_Source_SW_20240611_AM","Tempest","SW",NA,NA,NA,"AM","Source",8,20240611,NA,0.014814,1.05763670243526,"bdl",NA,0.015245,1.08840769060521,"bdl",NA,0.02642,0.852980015795304,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"68","TMP_Source_SW_20240611_MID","Tempest","SW",NA,NA,NA,"MID","Source",8,20240611,NA,0.013798,0.985099987862951,"bdl",NA,0.023395,1.67027208407405,"Within_Range",NA,0.030641,0.989256648901738,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"69","TMP_Source_SW_20240611_PM","Tempest","SW",NA,NA,NA,"PM","Source",8,20240611,NA,0.015876,1.13345755959648,"bdl",NA,0.013926,0.994238471588597,"bdl",NA,0.036241,1.17005483544427,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"70","TMP_Source_SW_20240612_AM","Tempest","SW",NA,NA,NA,"AM","Source",8,20240612,NA,0.034783,2.48331155804008,"Within_Range",NA,0.029239,2.08750098167306,"Within_Range",NA,0.024325,0.785342122794125,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"71","TMP_Source_SW_20240612_MID","Tempest","SW",NA,NA,NA,"MID","Source",8,20240612,NA,0.002631,0.187838677204481,"bdl",NA,0.019183,1.36955885397703,"bdl",NA,0.031444,1.01518181743632,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"72","TMP_Source_SW_20240612_PM","Tempest","SW",NA,NA,NA,"PM","Source",8,20240612,NA,0.01581,1.12874552892544,"bdl",NA,0.036248,2.58790436005626,"Within_Range",NA,0.014289,0.461325944197544,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"73","TMP_Source_SW_20240613_AM","Tempest","SW",NA,NA,NA,"AM","Source",8,20240613,NA,0,0,"bdl",NA,0.024352,1.73859652880407,"Within_Range",NA,0.02452,0.791637773932659,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"74","TMP_Source_SW_20240613_MID","Tempest","SW",NA,NA,NA,"MID","Source",8,20240613,NA,0.000206,0.0147072472459609,"bdl",NA,0.020934,1.49457045556769,"Within_Range",NA,0.028674,0.925751285878674,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"75","TMP_Source_SW_20240613_PM","Tempest","SW",NA,NA,NA,"PM","Source",8,20240613,NA,0,0,"bdl",NA,0.029569,2.11106113502824,"Within_Range",NA,0.034097,1.10083495831084,"Within_Range",NA,"05/08/2026",NA,NA,NA,NA,NA,NA,NA,NA
"76","TMP_C_B4_20250131_15cm","TEMPEST",NA,"B4",15,NA,NA,"PW",8,20250131,20250128,0.007008,0.500331983979096,"bdl",NA,0.05528,3.94668265901319,"Within_Range","Performance Check NOT Within 25% - REASSESS",0.004387,0.141636007921802,"Within_Range",NA,"04/21/2026","TMP_FW_I5_20250406 sample missing from IDs,
  0421 NH4 PE Check does not pass (~30% diff) but CCVs do,
  slope and intercept look normal, 
  and PE check was fine the next day",NA,"C",1236,1219,NA,NA,NA
"77","TMP_C_B4_20250204_15cm","TEMPEST",NA,"B4",15,NA,NA,"PW",8,20250204,20250131,0.006949,0.496119714136806,"bdl",NA,0.017844,1.27396174687828,"bdl","Performance Check NOT Within 25% - REASSESS",0.001996,0.0644416393462312,"bdl",NA,"04/21/2026","TMP_FW_I5_20250406 sample missing from IDs,
  0421 NH4 PE Check does not pass (~30% diff) but CCVs do,
  slope and intercept look normal, 
  and PE check was fine the next day",NA,"C",1219,1055,NA,NA,NA
"78","TMP_C_B4_20250509_15cm","TEMPEST",NA,"B4",15,NA,NA,"PW",6,20250509,20250506,0,0,"bdl",NA,0.045388,3.24044921359064,"Within_Range","",0.005088,0.164268066630072,"Within_Range",NA,"04/22/2026","TMP_FW_I5_20250406 sample missing from IDs,
  0421 NH4 PE Check does not pass (~30% diff) but CCVs do,
  slope and intercept look normal, 
  and PE check was fine the next day","sub-sampled at 1422","C",906,1339,NA,NA,NA
"79","TMP_C_B4_20250602_15cm","TEMPEST",NA,"B4",15,NA,NA,"PW",14,20250602,20250530,0,0,"bdl",NA,0.021293,1.52020104664196,"Within_Range","",0.004176,0.134823790536003,"Within_Range",NA,"04/22/2026","TMP_FW_I5_20250406 sample missing from IDs,
  0421 NH4 PE Check does not pass (~30% diff) but CCVs do,
  slope and intercept look normal, 
  and PE check was fine the next day",NA,"C",1322,1558,NA,NA,NA
"80","TMP_C_C3_20250131_15cm","TEMPEST",NA,"C3",15,NA,NA,"PW",8,20250131,20250128,0.013512,0.964681188288462,"bdl",NA,0.03024,2.15896678018377,"Within_Range","Performance Check NOT Within 25% - REASSESS",0.013441,0.433947933092532,"Within_Range",NA,"04/21/2026","TMP_FW_I5_20250406 sample missing from IDs,
  0421 NH4 PE Check does not pass (~30% diff) but CCVs do,
  slope and intercept look normal, 
  and PE check was fine the next day",NA,"C",1225,1137,NA,NA,NA
"81","TMP_C_C3_20250204_15cm","TEMPEST",NA,"C3",15,NA,NA,"PW",8,20250204,20250131,0.017946,1.28124397609715,"bdl",NA,0.012677,0.905066860859446,"bdl","Performance Check NOT Within 25% - REASSESS",0.009792,0.316138543325799,"Within_Range",NA,"04/21/2026","TMP_FW_I5_20250406 sample missing from IDs,
  0421 NH4 PE Check does not pass (~30% diff) but CCVs do,
  slope and intercept look normal, 
  and PE check was fine the next day","light color","C",1137,1043,NA,NA,NA
"82","TMP_C_C3_20250602_15cm","TEMPEST",NA,"C3",15,NA,NA,"PW",8,20250602,20250530,0,0,"bdl",NA,0.055481,3.96103293423861,"Within_Range","",0.022235,0.717865656745216,"Within_Range",NA,"04/22/2026","TMP_FW_I5_20250406 sample missing from IDs,
  0421 NH4 PE Check does not pass (~30% diff) but CCVs do,
  slope and intercept look normal, 
  and PE check was fine the next day",NA,"C",1324,1609,NA,NA,NA
"83","TMP_C_C6_20250204_15cm","TEMPEST",NA,"C6",15,NA,NA,"PW",8,20250204,20250131,0.01148,0.819607759143838,"bdl",NA,0.017909,1.27860238314521,"bdl","Performance Check NOT Within 25% - REASSESS",0.006323,0.204140523840791,"Within_Range",NA,"04/21/2026","TMP_FW_I5_20250406 sample missing from IDs,
  0421 NH4 PE Check does not pass (~30% diff) but CCVs do,
  slope and intercept look normal, 
  and PE check was fine the next day",NA,"C",1235,1107,NA,NA,NA
"84","TMP_C_C6_20250602_15cm","TEMPEST",NA,"C6",15,NA,NA,"PW",8,20250602,20250530,0.000744,0.053117436655315,"bdl",NA,0.094864,6.77275875116908,"Within_Range","",0.008482,0.273844681831028,"Within_Range",NA,"04/22/2026","TMP_FW_I5_20250406 sample missing from IDs,
  0421 NH4 PE Check does not pass (~30% diff) but CCVs do,
  slope and intercept look normal, 
  and PE check was fine the next day",NA,"C",1318,1546,NA,NA,NA
