"","Project","Sample_ID","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"23","TMP","TMP_SW_PW_F4_20260309_15CM","SW","PW","20260309",NA,NA,"PW",5,"F4",20260306,1303,1,"EDT",3.771,0.117623206487835,"Within_Range","",3.902,0.110070521861777,"Within_Range","",0.007076914,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"24","TMP","TMP_SW_PW_F6_20260309_15CM","SW","PW","20260309",NA,NA,"PW",5,"F6",20260306,1300,1,"EDT",2.9828,0.0930380536494074,"Within_Range","",8.6493,0.243985895627645,"Within_Range","",0.0156552851,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"25","TMP","TMP_SW_PW_H6_20260309_15CM","SW","PW","20260309",NA,NA,"PW",5,"H6",20260306,1316,1,"EDT",2.0257,0.0631846537741734,"Within_Range","",1.3499,0.0380789844851904,"Within_Range","",0.0024652693,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"26","TMP","TMP_SW_PW_I5_20260309_15CM","SW","PW","20260309",NA,NA,"PW",5,"I5",20260306,1313,1,"EDT",3.9005,0.121662507797879,"Within_Range","",5.5531,0.156645980253879,"Within_Range","",0.0100604517,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"27","TMP","TMP_FW_PW_D5_20260410_15CM","FW","PW","20260410",NA,NA,"PW",5,"D5",20260407,1129,1,"EDT",1.7296,0.0539488459139114,"Within_Range","",0.7263,0.0204880112834979,"Within_Range","",0.0013384241,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"28","TMP","TMP_SW_PW_B4_20260410_15CM","SW","PW","20260410",NA,NA,"PW",5,"B4",20260407,1059,1,"EDT",2.0207,0.0630286961946351,"Within_Range","",6.3323,0.178626234132581,"Within_Range","",0.0114684661,"2026-08-06","1/6 SO4 dups was bad. 
  ","colored"
"29","TMP","TMP_C_PW_C3_20260508_30CM","C","PW","20260508",NA,NA,"PW",5,"C3",20260505,927,1,"EDT",1.3482,0.0420524017467249,"Within_Range","",6.6989,0.188967559943582,"Within_Range","",0.0121309123,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"30","TMP","TMP_C_PW_C3_20260508_50CM","C","PW","20260508",NA,NA,"PW",5,"C3",20260505,928,1,"EDT",2.341,0.0730193387398628,"Within_Range","",4.4966,0.126843441466855,"Within_Range","",0.0081513562,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"31","TMP","TMP_C_PW_C6_20260508_50CM","C","PW","20260508",NA,NA,"PW",5,"C6",20260505,934,1,"EDT",3.373,0.105208983156581,"Within_Range","",3.1078,0.0876671368124118,"Within_Range","",0.0056417946,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"32","TMP","TMP_C_PW_F4_20260508_50CM","C","PW","20260508",NA,NA,"PW",5,"F4",20260505,905,1,"EDT",3.9134,0.122064878353088,"Within_Range","",4.9221,0.138846262341326,"Within_Range","",0.0089202347,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"33","TMP","TMP_C_PW_H6_20260508_50CM","C","PW","20260508",NA,NA,"PW",5,"H6",20260505,1023,1,"EDT",0.6193,0.019316905801622,"Within_Range","",5.4889,0.154834978843441,"Within_Range","",0.0099444423,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"34","TMP","TMP_FW_PW_C6_20260508_30CM","FW","PW","20260508",NA,NA,"PW",5,"C6",20260505,1037,1,"EDT",16.985,0.529787897691828,"Within_Range","",14.3286,0.404191819464034,"Within_Range","",0.0259177802,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"35","TMP","TMP_FW_PW_C6_20260508_50CM","FW","PW","20260508",NA,NA,"PW",5,"C6",20260505,1038,1,"EDT",2.7933,0.0871272613849033,"Within_Range","",3.9289,0.110829337094499,"Within_Range","",0.0071255223,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"36","TMP","TMP_FW_PW_D5_20260508_15CM","FW","PW","20260508",NA,NA,"PW",5,"D5",20260505,1034,1,"EDT",1.4679,0.0457860262008734,"Within_Range","",1.8199,0.0513370944992948,"Within_Range","",0.0033145593,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"37","TMP","TMP_FW_PW_E3_20260508_15CM","FW","PW","20260508",NA,NA,"PW",5,"E3",20260505,1042,1,"EDT",1.7717,0.0552620087336245,"Within_Range","",1.6598,0.046820874471086,"Within_Range","",0.0030252586,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"38","TMP","TMP_FW_PW_H6_20260508_30CM","FW","PW","20260508",NA,NA,"PW",5,"H6",20260505,1054,1,"EDT",1.2751,0.039772301933874,"Within_Range","",9.2646,0.261342736248237,"Within_Range","",0.0167671322,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"39","TMP","TMP_FW_PW_H6_20260508_50CM","FW","PW","20260508",NA,NA,"PW",5,"H6",20260505,1055,1,"EDT",1.9312,0.0602370555208983,"Within_Range","",7.9481,0.224205923836389,"Within_Range","",0.0143882167,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"40","TMP","TMP_SW_PW_C3_20260508_30CM","SW","PW","20260508",NA,NA,"PW",5,"C3",20260505,948,1,"EDT",20.9635,0.653883343730505,"Within_Range","",31.5005,0.888589562764457,"Within_Range","",0.0569474035,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"41","TMP","TMP_SW_PW_C6_20260508_30CM","SW","PW","20260508",NA,NA,"PW",5,"C6",20260505,1027,1,"EDT",18.0094,0.561740486587648,"Within_Range","",33.8543,0.95498730606488,"Within_Range","",0.0612007201,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"42","TMP","TMP_SW_PW_F4_20260508_50CM","SW","PW","20260508",NA,NA,"PW",5,"F4",20260505,1011,1,"EDT",94.3534,2.94302557704304,"Within_Range","",101.7747,2.8709365303244,"Within_Range","",0.1839328829,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"43","TMP","TMP_SW_PW_H3_20260508_15CM","SW","PW","20260508",NA,NA,"PW",5,"H3",20260505,1014,1,"EDT",2.0708,0.0645913911416095,"Within_Range","",4.5915,0.129520451339915,"Within_Range","",0.0083228405,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"44","TMP","TMP_SW_PW_H3_20260508_30CM","SW","PW","20260508",NA,NA,"PW",5,"H3",20260505,1015,1,"EDT",2.765,0.0862445414847162,"Within_Range","",12.2455,0.345430183356841,"Within_Range","",0.0221536185,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"45","TMP","TMP_SW_PW_H6_20260508_30CM","SW","PW","20260508",NA,NA,"PW",5,"H6",20260505,1021,1,"EDT",12.4624,0.388721147847785,"Within_Range","",9.0232,0.254533145275035,"Within_Range","",0.0163309224,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"46","TMP","TMP_SW_PW_H6_20260508_50CM","SW","PW","20260508",NA,NA,"PW",5,"H6",20260505,1023,1,"EDT",101.8117,3.17566126013724,"Within_Range","",19.1542,0.540315937940762,"Within_Range","",0.0346376394,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"47","TMP","TMP_SW_PW_I5_20260508_15CM","SW","PW","20260508",NA,NA,"PW",5,"I5",20260505,1019,1,"EDT",4.5468,0.141821584529008,"Within_Range","",6.1419,0.173255289139633,"Within_Range","",0.0111244133,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"48","TMP","TMP_C_PW_H3_20260511_15CM","C","PW","20260511",NA,NA,"PW",5,"H3",20260508,1019,1,"EDT",0.3889,0.0121303805364941,"Within_Range","",0.1965,0.00554301833568406,"Within_Range","",0.0003810755,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"49","TMP","TMP_C_PW_H6_20260511_30CM","C","PW","20260511",NA,NA,"PW",5,"H6",20260508,1007,1,"EDT",0.4432,0.0138240798502807,"Within_Range","",3.6925,0.104160789844852,"Within_Range","",0.0066983475,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"50","TMP","TMP_FW_PW_F4_20260511_30CM","FW","PW","20260511",NA,NA,"PW",5,"F4",20260508,1414,1,"EDT",2.0644,0.0643917654398004,"Within_Range","",3.0831,0.0869703808180536,"Within_Range","",0.0055971617,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
"51","TMP","TMP_FW_PW_H6_20260511_15CM","FW","PW","20260511",NA,NA,"PW",5,"H6",20260508,1429,1,"EDT",1.5084,0.0470492825951341,"Within_Range","",1.0145,0.0286177715091678,"Within_Range","",0.0018592015,"2026-08-06","1/6 SO4 dups was bad. 
  ",NA
