"","Sample_ID","integration_time_s","dilution_factor","RSU_area_1s","abs_file_id","eem_file_id","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Notes","Deployment_Date_YYYYMMDD","Deployment_Time_24hrs","Collection_Time_24hrs","Total_Volume_mL","EST_EDT"
"33","TMP_SOURCE_FW_HR2_20220622","4","1","3012","TMP_SOURCE_FW_HR2_20220622_ABS_DilCorr.dat","TMP_SOURCE_FW_HR2_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",930,NA,"EDT"
"34","TMP_SOURCE_FW_HR0_20220622","4","1","3012","TMP_SOURCE_FW_HR0_20220622_ABS_DilCorr.dat","TMP_SOURCE_FW_HR0_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,"NA","NA",654,NA,"EDT"
"35","TMP_SOURCE_ESTUARY_HR4_20220622","1","1","3012","TMP_SOURCE_ESTUARY_HR4_20220622_ABS_DilCorr.dat","TMP_SOURCE_ESTUARY_HR4_20220622_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,NA,NA,NA,NA,1100,NA,NA
"36","TMP_SW_PW_15CM_POOLED_20220613","1","0.4","3012","TMP_SW_PW_15CM_POOLED_20220613_ABS_DilCorr.dat","TMP_SW_PW_15CM_POOLED_20220613_EEM_DilCorr_IFE_RamNorm.dat",20220613,20220613,1100,1330,NA,NA,NA,NA,145,NA
"37","TMP_C_PW_B4_15CM_20230810","1","0.5","3251","TMP_C_PW_B4_15CM_20230810_ABS_DilCorr.dat","TMP_C_PW_B4_15CM_20230810_EEM_DilCorr_IFE_RamNorm.dat",20230807,20230810,1121,1101,NA,NA,NA,NA,NA,"EDT"
"38","TMP_C_PW_C3_15CM_20230628","2","0.433333333333333","3327","TMP_C_PW_C3_15CM_20230628_ABS_DilCorr.dat","TMP_C_PW_C3_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat",NA,NA,NA,NA,"No metadata",NA,NA,NA,NA,NA
"39","TMP_C_PW_C6_15CM_20230515","2","0.75","3073","TMP_C_PW_C6_15CM_20230515_ABS_DilCorr.dat","TMP_C_PW_C6_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat",20230512,20230515,1126,1502,NA,NA,NA,NA,NA,"EDT"
"40","TMP_C_PW_C6_15CM_20230603","2","0.5","3056","TMP_C_PW_C6_15CM_20230603_ABS_DilCorr.dat","TMP_C_PW_C6_15CM_20230603_EEM_DilCorr_IFE_RamNorm.dat",20230531,20230603,1512,1441,NA,NA,NA,NA,NA,"EDT"
"41","TMP_C_PW_C6_15CM_20230628","2","0.416666666666667","3302","TMP_C_PW_C6_15CM_20230628_ABS_DilCorr.dat","TMP_C_PW_C6_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230628,1231,1524,NA,NA,NA,NA,NA,"EDT"
"42","TMP_C_PW_D5_15CM_20230628","2","0.5","3295","TMP_C_PW_D5_15CM_20230628_ABS_DilCorr.dat","TMP_C_PW_D5_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230628,1412,1512,NA,NA,NA,NA,NA,"EDT"
"43","TMP_C_PW_D5_15CM_20230810","1","0.4","3251","TMP_C_PW_D5_15CM_20230810_ABS_DilCorr.dat","TMP_C_PW_D5_15CM_20230810_EEM_DilCorr_IFE_RamNorm.dat",20230807,20230810,1127,1049,NA,NA,NA,NA,NA,"EDT"
"44","TMP_C_PW_E3_15CM_20230628","2","0.428571428571429","3327","TMP_C_PW_E3_15CM_20230628_ABS_DilCorr.dat","TMP_C_PW_E3_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230628,1406,1548,NA,NA,NA,NA,NA,"EDT"
"45","TMP_C_PW_F4_15CM_20230810","1","0.5","3251","TMP_C_PW_F4_15CM_20230810_ABS_DilCorr.dat","TMP_C_PW_F4_15CM_20230810_EEM_DilCorr_IFE_RamNorm.dat",20230807,20230810,1145,1027,NA,NA,NA,NA,NA,"EDT"
"46","TMP_C_PW_F6_15CM_20230515","2","0.5","3077","TMP_C_PW_F6_15CM_20230515_ABS_DilCorr.dat","TMP_C_PW_F6_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat",20230512,20230515,1136,1250,NA,NA,NA,NA,NA,"EDT"
"47","TMP_C_PW_F6_15CM_20230515","2","0.5","3077","TMP_C_PW_F6_15CM_20230515_ABS_DilCorr.dat","TMP_C_PW_F6_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat",20230512,20230515,1136,1250,NA,NA,NA,NA,NA,"EDT"
"48","TMP_C_PW_F6_15CM_20230628","1","0.5","3302","TMP_C_PW_F6_15CM_20230628_ABS_DilCorr.dat","TMP_C_PW_F6_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230628,1415,1504,NA,NA,NA,NA,NA,"EDT"
"49","TMP_C_PW_H3_15CM_20230628","1","0.5","3327","TMP_C_PW_H3_15CM_20230628_ABS_DilCorr.dat","TMP_C_PW_H3_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230628,1402,1433,NA,NA,NA,NA,NA,"EDT"
"50","TMP_C_PW_H6_15CM_20230515","1","0.75","3073","TMP_C_PW_H6_15CM_20230515_ABS_DilCorr.dat","TMP_C_PW_H6_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat",20230512,20230515,1136,1232,NA,NA,NA,NA,NA,"EDT"
"51","TMP_C_PW_H6_15CM_20230515","1","0.75","3073","TMP_C_PW_H6_15CM_20230515_ABS_DilCorr.dat","TMP_C_PW_H6_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat",20230512,20230515,1136,1232,NA,NA,NA,NA,NA,"EDT"
"52","TMP_C_PW_H6_15CM_20230603","2","0.5","3056","TMP_C_PW_H6_15CM_20230603_ABS_DilCorr.dat","TMP_C_PW_H6_15CM_20230603_EEM_DilCorr_IFE_RamNorm.dat",20230531,20230603,1426,1415,NA,NA,NA,NA,NA,"EDT"
"53","TMP_C_PW_H6_15CM_20230612","4","0.15","3327","TMP_C_PW_H6_15CM_20230612_ABS_DilCorr.dat","TMP_C_PW_H6_15CM_20230612_EEM_DilCorr_IFE_RamNorm.dat",20230608,20230612,1647,1022,NA,NA,NA,NA,NA,"EDT"
"54","TMP_C_PW_H6_15CM_20230628","1","0.4","3302","TMP_C_PW_H6_15CM_20230628_ABS_DilCorr.dat","TMP_C_PW_H6_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230628,1418,1454,NA,NA,NA,NA,NA,"EDT"
"55","TMP_C_PW_H6_15CM_20230707","1","0.428571428571429","3295","TMP_C_PW_H6_15CM_20230707_ABS_DilCorr.dat","TMP_C_PW_H6_15CM_20230707_EEM_DilCorr_IFE_RamNorm.dat",20230705,20230707,1215,1142,NA,NA,NA,NA,NA,"EDT"
"56","TMP_C_PW_H6_15CM_20230710","1","0.428571428571429","3295","TMP_C_PW_H6_15CM_20230710_ABS_DilCorr.dat","TMP_C_PW_H6_15CM_20230710_EEM_DilCorr_IFE_RamNorm.dat",20230707,20230710,1142,1255,NA,NA,NA,NA,NA,"EDT"
"57","TMP_C_PW_H6_15CM_20230810","2","0.5","3251","TMP_C_PW_H6_15CM_20230810_ABS_DilCorr.dat","TMP_C_PW_H6_15CM_20230810_EEM_DilCorr_IFE_RamNorm.dat",20230807,20230810,1149,1008,NA,NA,NA,NA,NA,"EDT"
"58","TMP_C_PW_I5_15CM_20230603","2","0.5","3056","TMP_C_PW_I5_15CM_20230603_ABS_DilCorr.dat","TMP_C_PW_I5_15CM_20230603_EEM_DilCorr_IFE_RamNorm.dat",20230531,20230603,1436,1400,NA,NA,NA,NA,NA,"EDT"
"59","TMP_C_PW_I5_15CM_20230628","1","0.5","3295","TMP_C_PW_I5_15CM_20230628_ABS_DilCorr.dat","TMP_C_PW_I5_15CM_20230628_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230628,1421,1440,NA,NA,NA,NA,NA,"EDT"
"60","TMP_C_PW_I5_15CM_20230710","1","0.5","3295","TMP_C_PW_I5_15CM_20230710_ABS_DilCorr.dat","TMP_C_PW_I5_15CM_20230710_EEM_DilCorr_IFE_RamNorm.dat",20230707,20230710,1138,1310,NA,NA,NA,NA,NA,"EDT"
"61","TMP_C_PW_I5_15CM_20231002","2","0.5","3220","TMP_C_PW_I5_15CM_20231002_ABS_DilCorr.dat","TMP_C_PW_I5_15CM_20231002_EEM_DilCorr_IFE_RamNorm.dat",20230929,20231002,1506,1218,NA,NA,NA,NA,NA,"EDT"
"62","TMP_C_PW_15CM_POOLED_20221019-24","2","0.5","2935","TMP_C_PW_15CM_POOLED_20221019-24_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_20221019-24_EEM_DilCorr_IFE_RamNorm.dat",20221017,20221019,1625,1657,NA,NA,NA,NA,59,NA
"63","TMP_C_PW_15CM_POOLED_20221019-24","2","0.5","2935","TMP_C_PW_15CM_POOLED_20221019-24_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_20221019-24_EEM_DilCorr_IFE_RamNorm.dat",20221021,20221024,1035,1055,NA,NA,NA,NA,59,NA
"64","TMP_C_PW_15CM_POOLED_202211-12","2","0.5","2827","TMP_C_PW_15CM_POOLED_202211-12_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_202211-12_EEM_DilCorr_IFE_RamNorm.dat",20221125,20221128,1023,1242,NA,NA,NA,NA,34,NA
"65","TMP_C_PW_15CM_POOLED_202211-12","2","0.5","2827","TMP_C_PW_15CM_POOLED_202211-12_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_202211-12_EEM_DilCorr_IFE_RamNorm.dat",NA,20221201,1120,1206,NA,NA,NA,NA,77,NA
"66","TMP_C_PW_15CM_POOLED_202302","2","0.5","2911","TMP_C_PW_15CM_POOLED_202302_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_202302_EEM_DilCorr_IFE_RamNorm.dat",20230130,20230202,1000,1117,NA,NA,NA,NA,159,NA
"67","TMP_C_PW_15CM_POOLED_202302","2","0.5","2911","TMP_C_PW_15CM_POOLED_202302_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_202302_EEM_DilCorr_IFE_RamNorm.dat",20230202,20230206,1015,1035,NA,NA,NA,NA,159,NA
"68","TMP_C_PW_15CM_POOLED_20230417","1","0.666666666666667","3020","TMP_C_PW_15CM_POOLED_20230417_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_20230417_EEM_DilCorr_IFE_RamNorm.dat",20230414,20230417,917,930,NA,NA,NA,NA,66.5,NA
"69","TMP_C_PW_15CM_POOLED_20230628","1","0.5","3276","TMP_C_PW_15CM_POOLED_20230628_ABS_DilCorr.dat","TMP_C_PW_15CM_POOLED_20230628_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230628,NA,NA,NA,NA,NA,NA,92,NA
"70","TMP_FW_PW_B4_15CM_20230606","4","0.428571428571429","3224","TMP_FW_PW_B4_15CM_20230606_ABS_DilCorr.dat","TMP_FW_PW_B4_15CM_20230606_EEM_DilCorr_IFE_RamNorm.dat",20230605,20230606,1542,1630,NA,NA,NA,NA,NA,"EDT"
"71","TMP_FW_PW_B4_15CM_20230627","1","0.833333333333333","3302","TMP_FW_PW_B4_15CM_20230627_ABS_DilCorr.dat","TMP_FW_PW_B4_15CM_20230627_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230627,1304,1202,NA,NA,NA,NA,NA,"EDT"
"72","TMP_FW_PW_C3_15CM_20230515","2","0.666666666666667","3073","TMP_FW_PW_C3_15CM_20230515_ABS_DilCorr.dat","TMP_FW_PW_C3_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat",20230512,20230515,1321,1655,NA,NA,NA,NA,NA,"EDT"
"73","TMP_FW_PW_C3_15CM_20230515","2","0.666666666666667","3073","TMP_FW_PW_C3_15CM_20230515_ABS_DilCorr.dat","TMP_FW_PW_C3_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat",20230512,20230515,1321,1655,NA,NA,NA,NA,NA,"EDT"
"74","TMP_FW_PW_C3_15CM_20230606","2","0.828571428571429","3256","TMP_FW_PW_C3_15CM_20230606_ABS_DilCorr.dat","TMP_FW_PW_C3_15CM_20230606_EEM_DilCorr_IFE_RamNorm.dat",20230605,20230606,NA,1640,NA,NA,NA,NA,NA,"EDT"
"75","TMP_FW_PW_C3_15CM_20230608","1","1","3267","TMP_FW_PW_C3_15CM_20230608_ABS_DilCorr.dat","TMP_FW_PW_C3_15CM_20230608_EEM_DilCorr_IFE_RamNorm.dat",20230607,20230608,1734,1613,NA,NA,NA,NA,NA,"EDT"
"76","TMP_FW_PW_C3_15CM_20230614","2","0.657142857142857","3197","TMP_FW_PW_C3_15CM_20230614_ABS_DilCorr.dat","TMP_FW_PW_C3_15CM_20230614_EEM_DilCorr_IFE_RamNorm.dat",20230612,20230614,939,1502,NA,NA,NA,NA,NA,"EDT"
"77","TMP_FW_PW_C3_15CM_20230627","1","0.666666666666667","3295","TMP_FW_PW_C3_15CM_20230627_ABS_DilCorr.dat","TMP_FW_PW_C3_15CM_20230627_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230627,1306,1211,NA,NA,NA,NA,NA,"EDT"
"78","TMP_FW_PW_C3_15CM_20230710","1","0.666666666666667","3295","TMP_FW_PW_C3_15CM_20230710_ABS_DilCorr.dat","TMP_FW_PW_C3_15CM_20230710_EEM_DilCorr_IFE_RamNorm.dat",20230707,20230710,1009,1105,NA,NA,NA,NA,NA,"EDT"
"79","TMP_FW_PW_D5_15CM_20230515","2","0.5","3077","TMP_FW_PW_D5_15CM_20230515_ABS_DilCorr.dat","TMP_FW_PW_D5_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat",20230512,20230515,1050,1637,NA,NA,NA,NA,NA,"EDT"
"80","TMP_FW_PW_D5_15CM_20230515","2","0.5","3077","TMP_FW_PW_D5_15CM_20230515_ABS_DilCorr.dat","TMP_FW_PW_D5_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat",20230512,20230515,1050,1637,NA,NA,NA,NA,NA,"EDT"
"81","TMP_FW_PW_D5_15CM_20230603","2","0.5","3056","TMP_FW_PW_D5_15CM_20230603_ABS_DilCorr.dat","TMP_FW_PW_D5_15CM_20230603_EEM_DilCorr_IFE_RamNorm.dat",20230531,20230603,1326,1552,NA,NA,NA,NA,NA,"EDT"
"82","TMP_FW_PW_D5_15CM_20230606","1","1","3338","TMP_FW_PW_D5_15CM_20230606_ABS_DilCorr.dat","TMP_FW_PW_D5_15CM_20230606_EEM_DilCorr_IFE_RamNorm.dat",20230605,20230606,1547,1650,NA,NA,NA,NA,NA,"EDT"
"83","TMP_FW_PW_D5_15CM_20230608","1","1","3256","TMP_FW_PW_D5_15CM_20230608_ABS_DilCorr.dat","TMP_FW_PW_D5_15CM_20230608_EEM_DilCorr_IFE_RamNorm.dat",20230607,20230608,1805,1555,NA,NA,NA,NA,NA,"EDT"
"84","TMP_FW_PW_D5_15CM_20230612","1","1","3267","TMP_FW_PW_D5_15CM_20230612_ABS_DilCorr.dat","TMP_FW_PW_D5_15CM_20230612_EEM_DilCorr_IFE_RamNorm.dat",20230608,20230612,1555,944,NA,NA,NA,NA,NA,"EDT"
"85","TMP_FW_PW_D5_15CM_20230614","2","0.733333333333333","3197","TMP_FW_PW_D5_15CM_20230614_ABS_DilCorr.dat","TMP_FW_PW_D5_15CM_20230614_EEM_DilCorr_IFE_RamNorm.dat",20230612,20230614,944,1513,NA,NA,NA,NA,NA,"EDT"
"86","TMP_FW_PW_D5_15CM_20230627","1","0.666666666666667","3295","TMP_FW_PW_D5_15CM_20230627_ABS_DilCorr.dat","TMP_FW_PW_D5_15CM_20230627_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230627,1323,1149,NA,NA,NA,NA,NA,"EDT"
"87","TMP_FW_PW_D5_15CM_20230710","1","0.666666666666667","3295","TMP_FW_PW_D5_15CM_20230710_ABS_DilCorr.dat","TMP_FW_PW_D5_15CM_20230710_EEM_DilCorr_IFE_RamNorm.dat",20230707,20230710,958,1055,NA,NA,NA,NA,NA,"EDT"
"88","TMP_FW_PW_E3_15CM_20230515","2","0.75","3077","TMP_FW_PW_E3_15CM_20230515_ABS_DilCorr.dat","TMP_FW_PW_E3_15CM_20230515_EEM_DilCorr_IFE_RamNorm.dat",20230512,20230515,1734,1317,NA,NA,NA,NA,NA,"EDT"
"89","TMP_FW_PW_E3_15CM_20230627","2","0.666666666666667","3327","TMP_FW_PW_E3_15CM_20230627_ABS_DilCorr.dat","TMP_FW_PW_E3_15CM_20230627_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230627,1329,1130,NA,NA,NA,NA,NA,"EDT"
"90","TMP_FW_PW_F4_15CM_20230606","1","1","3338","TMP_FW_PW_F4_15CM_20230606_ABS_DilCorr.dat","TMP_FW_PW_F4_15CM_20230606_EEM_DilCorr_IFE_RamNorm.dat",20230605,20230606,1521,1716,NA,NA,NA,NA,NA,"EDT"
"91","TMP_FW_PW_F4_15CM_20230608","1","1","3256","TMP_FW_PW_F4_15CM_20230608_ABS_DilCorr.dat","TMP_FW_PW_F4_15CM_20230608_EEM_DilCorr_IFE_RamNorm.dat",20230607,20230608,1754,1632,NA,NA,NA,NA,NA,"EDT"
"92","TMP_FW_PW_F4_15CM_20230627","1","0.666666666666667","3327","TMP_FW_PW_F4_15CM_20230627_ABS_DilCorr.dat","TMP_FW_PW_F4_15CM_20230627_EEM_DilCorr_IFE_RamNorm.dat",20230623,20230627,1332,1117,NA,NA,NA,NA,NA,"EDT"
