"Project","Site","plot","grid","Depth_cm","Analyte","Sample_ID","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL"
"COMPASS","TEMPEST","SW","E3","15cm","DOC","TMP_SW_E3_20230202_15cm",40.1,3341.66666666667,NA,1.33,95,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211","yellow",20230130,"20230202",1130,1730,"EST",9.5
"COMPASS","TEMPEST","SW","F6","15cm","DOC","TMP_SW_F6_20230202_15cm",42.55,3545.83333333333,NA,1.45,103.571428571429,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211","yellow",20230130,"20230202",1130,1730,"EST",10
"COMPASS","TEMPEST","C","H3","15cm","DOC","TMP_C_H3_20230206_15cm",14.7,1225,NA,0.42,30,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230202,"20230206",1015,1535,"EST",10
"COMPASS","TEMPEST","FW","E3","15cm","DOC","TMP_FW_E3_20230206_15cm",10.96,913.333333333333,NA,1.31,93.5714285714286,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230202,"20230206",1100,1608,"EST",10
"COMPASS","TEMPEST","SW","H3","15cm","DOC","TMP_SW_H3_20230206_15cm",24.3,2025,NA,0.95,67.8571428571429,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211","yellow",20230202,"20230206",1040,1555,"EST",9
"COMPASS","TEMPEST","SW","I5","15cm","DOC","TMP_SW_I5_20230206_15cm",85.4,7116.66666666667,NA,3.13,223.571428571429,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211","yellow",20230202,"20230206",1040,1555,"EST",10
"COMPASS","TEMPEST","C","I5","15cm","DOC","TMP_C_I5_20230417_15cm",15.83,1319.16666666667,NA,0.82,58.5714285714286,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230414,"20230417",931,1255,"EDT",10.5
"COMPASS","TEMPEST","C","H6","15cm","DOC","TMP_C_H6_20230417_15cm",12.12,1010,NA,0.47,33.5714285714286,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230414,"20230417",912,1302,"EDT",10
"COMPASS","TEMPEST","C","H3","15cm","DOC","TMP_C_H3_20230417_15cm",17.32,1443.33333333333,NA,0.73,52.1428571428571,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230414,"20230417",903,1250,"EDT",10
"COMPASS","TEMPEST","C","C6","15cm","DOC","TMP_C_C6_20230417_15cm",8.4,700,NA,0.34,24.2857142857143,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230414,"20230417",932,1325,"EDT",10
"COMPASS","TEMPEST","FW","C3","15cm","DOC","TMP_FW_C3_20230417_15cm",13.39,1115.83333333333,NA,0.59,42.1428571428571,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230414,"20230417",1017,1455,"EDT",10
"COMPASS","TEMPEST","FW","H6","15cm","DOC","TMP_FW_H6_20230417_15cm",12.89,1074.16666666667,NA,0.6,42.8571428571429,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230414,"20230417",1019,1523,"EDT",10
"COMPASS","TEMPEST","FW","D5","15cm","DOC","TMP_FW_D5_20230417_15cm",10.7,891.666666666667,NA,0.37,26.4285714285714,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230414,"20230417",1013,1501,"EDT",10
"COMPASS","TEMPEST","FW","I5","15cm","DOC","TMP_FW_I5_20230417_15cm",12.43,1035.83333333333,NA,0.47,33.5714285714286,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230414,"20230417",1017,1517,"EDT",10
