"Project","Site","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Sample_ID","Volume_mL","Evacuation_Date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"COMPASS","TEMPEST","C","F6","15cm",NA,NA,"TMP_C_F6_20230628_15cm","8","20230623","20230628","1415","1504",NA,"0.011026","0.787194699679439","bdl",NA,"0.023549","1.68126682230647","Within_Range",NA,"0.005913","0.422155111482362","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","F6","15cm",NA,NA,"TMP_C_F6_20230810_15cm","8","20230807","20230810","1136","1017",NA,"0.010503","0.749855426331684","bdl",NA,"0.032086","2.29076085016456","Within_Range",NA,"0.008045","0.574367981037646","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","H3","15cm",NA,NA,"TMP_C_H3_20230628_15cm","6","20230623","20230628","1402","1433",NA,"0.056143","4.00829602975719","Within_Range",NA,"0.914771","65.3095304390042","Within_Range",NA,"0.006043","0.431436384016221","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","H3","15cm",NA,NA,"TMP_C_H3_20230807_15cm","6","20230804","20230807","1156","1200",NA,"0.012725","0.908493792256563","bdl",NA,"0.009864","0.704234402107563","bdl",NA,"0.009301","0.664039352595543","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","H3","15cm",NA,NA,"TMP_C_H3_20231211_15cm","8","20231208","20231211","946","1006",NA,"0.019704","1.40675533851657","bdl",NA,"0.170349","12.1619653451562","Within_Range",NA,"0.004901","0.349903974526477","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","H6","15cm",NA,NA,"TMP_C_H6_20230612_15cm","3.5","20230608","20230612","1647","1022",NA,"0.030325","2.16503530453283","Within_Range",NA,"0.12422","8.86861287812261","Within_Range",NA,"0.00721","0.51475365360863","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","H6","15cm",NA,NA,"TMP_C_H6_20230628_15cm","8","20230623","20230628","1418","1454",NA,"0.00868","0.619703427645341","bdl",NA,"0.021278","1.51913013058037","Within_Range",NA,"0.004845","0.345905887896507","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","H6","15cm",NA,NA,"TMP_C_H6_20230707_15cm","5.5","20230705","20230707","1215","1142",NA,"0.011853","0.846237871875602","bdl",NA,"0.045649","3.25908315306246","Within_Range",NA,"0.006725","0.480127367616926","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","H6","15cm",NA,NA,"TMP_C_H6_20230710_15cm","8","20230707","20230710","1142","1255",NA,"0.023173","1.65442252636238","bdl",NA,"0.15841","11.3095875545275","Within_Range",NA,"0.008732","0.623415936658885","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","H6","15cm",NA,NA,"TMP_C_H6_20230807_15cm","8","20230804","20230807","1203","1149",NA,"0.009898","0.706661811847187","bdl",NA,"0.017779","1.26932111061135","bdl",NA,"0.006485","0.462992710631341","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","H6","15cm",NA,NA,"TMP_C_H6_20231211_15cm","8","20231208","20231211","1000","1023",NA,"0.007982","0.56987013357893","bdl",NA,"0.004808","0.343264294944562","bdl",NA,"0.008641","0.616919045885183","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","I5","15cm",NA,NA,"TMP_C_I5_20230710_15cm","8","20230707","20230710","1138","1310",NA,"0.016933","1.20892144473716","bdl",NA,"0.07103","5.07114452369223","Within_Range",NA,"0.006756","0.482340594144231","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","I5","15cm",NA,NA,"TMP_C_I5_20230810_15cm","8","20230807","20230810","1156","957",NA,"0.007634","0.545024880949831","bdl",NA,"0.032139","2.29454475358221","Within_Range",NA,"0.006568","0.468918446172189","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","I5","15cm",NA,NA,"TMP_C_I5_20230628_15cm","8","20230623","20230628","1421","1440",NA,"0.010515","0.750712159180963","bdl",NA,"0.0253","1.80627842389713","Within_Range",NA,"0.004718","0.336838798574968","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","C","I5","15cm",NA,NA,"TMP_C_I5_20231208_15cm","8","20231205","20231208","950","949",NA,"0.011208","0.800188481226841","bdl",NA,"0.044662","3.18861687620924","Within_Range",NA,"0.005506","0.393097589010973","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","B4","15cm",NA,NA,"TMP_FW_B4_20230627_15cm","8","20230623","20230627","1304","1202",NA,"0.067161","4.79491957420377","Within_Range",NA,"0.084768","6.05196084730879","Within_Range",NA,"0.004409","0.314777927706026","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","B4","15cm",NA,NA,"TMP_FW_B4_20230807_15cm","6","20230804","20230807","1257","953",NA,"0.027509","1.96398866256863","Within_Range",NA,"0.038996","2.78409618254121","Within_Range",NA,"0.005646","0.403092805585898","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","C3","15cm",NA,NA,"TMP_FW_C3_20230614_15cm","6","20230612","20230614","939","1502",NA,"0.010139","0.723867863236879","bdl",NA,"0.009299","0.66389656378733","bdl",NA,"0.004094","0.292288690412445","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","C3","15cm",NA,NA,"TMP_FW_C3_20230617_15cm","6","20230614","20230617","1502","1156",NA,"0.014523","1.03686093084024","bdl",NA,"0.021476","1.53326622259347","Within_Range",NA,"0.003912","0.279294908865043","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","C3","15cm",NA,NA,"TMP_FW_C3_20230627_15cm","8","20230623","20230627","1306","1211",NA,"0.012036","0.859303047827111","bdl",NA,"0.015638","1.11646569141911","bdl",NA,"0.003511","0.250665752818294","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","C3","15cm",NA,NA,"TMP_FW_C3_20230710_15cm","8","20230707","20230710","1009","1105",NA,"0.012118","0.865157388963853","bdl",NA,"0.024522","1.7507335775022","Within_Range",NA,"0.004324","0.308709403356965","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","C6","15cm",NA,NA,"TMP_FW_C6_20230614_15cm","7","20230612","20230614","927","1451",NA,"0.040543","2.89454332569413","Within_Range",NA,"0.492433","35.1569605974284","Within_Range",NA,"0.003892","0.277867020782911","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","C6","15cm",NA,NA,"TMP_FW_C6_20231208_15cm","7.5","20231205","20231208","1105","1120",NA,"0.01294","0.923843589139483","bdl",NA,"0.30909","22.0672963653109","Within_Range",NA,"0.050299","3.59106713215818","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","D5","15cm",NA,NA,"TMP_FW_D5_20230612_15cm","8","20230608","20230612","1555","944",NA,"0.008616","0.615134185782518","bdl",NA,"0.006863","0.489979795383638","bdl",NA,"0.0053","0.378390341765012","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","D5","15cm",NA,NA,"TMP_FW_D5_20230614_15cm","6.5","20230612","20230614","944","1513",NA,"0.01364","0.973819672014107","bdl",NA,"0.009654","0.689241577245175","bdl",NA,"0.005247","0.374606438347362","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","D5","15cm",NA,NA,"TMP_FW_D5_20230617_15cm","6","20230614","20230617","1513","1210",NA,"0.007562","0.539884483854155","bdl",NA,"0.011002","0.785481233980881","bdl",NA,"0.006035","0.430865228783368","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","D5","15cm",NA,NA,"TMP_FW_D5_20230627_15cm","8","20230623","20230627","1323","1149",NA,"0.003544","0.253021768153812","bdl",NA,"0.010922","0.779769681652352","bdl",NA,"0.004684","0.334411388835343","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","D5","15cm",NA,NA,"TMP_FW_D5_20230710_15cm","8","20230707","20230710","958","1055",NA,"0.015596","1.11346712644663","bdl",NA,"0.025658","1.8318376205673","Within_Range",NA,"0.005875","0.419442124126311","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","D5","15cm",NA,NA,"TMP_FW_D5_20230807_15cm","6","20230804","20230807","1249","920",NA,"0.013548","0.9672513868363","bdl",NA,"0.03121","2.22821935216718","Within_Range",NA,"0.007042","0.50275939371872","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","D5","15cm",NA,NA,"TMP_FW_D5_20231002_15cm","6.5","20230929","20231002","1531","1017",NA,"0.014451","1.03172053374457","bdl",NA,"0.013657","0.97503337688392","bdl",NA,"0.005635","0.402307467140726","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","D5","15cm",NA,NA,"TMP_FW_D5_20231208_15cm","8","20231205","20231208","1107","1126",NA,"0.011","0.785338445172667","bdl",NA,"0.029769","2.12534001584956","Within_Range",NA,"0.004236","0.302426695795584","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","E3","15cm",NA,NA,"TMP_FW_E3_20230627_15cm","8","20230623","20230627","1329","1130",NA,"0.007426","0.530174844895657","bdl",NA,"0.025066","1.78957213333619","Within_Range",NA,"0.006013","0.429294551893023","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","E3","15cm",NA,NA,"TMP_FW_E3_20230807_15cm","6","20230804","20230807","1433","941",NA,"0.011574","0.826318833129859","bdl",NA,"0.031242","2.23050397309859","Within_Range",NA,"0.00607","0.433364032927099","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","E3","15cm",NA,NA,"TMP_FW_E3_20231211_15cm","6.5","20231208","20231211","1137","1312",NA,"0.011157","0.796547366617405","bdl",NA,"0.039443","2.81600948117687","Within_Range",NA,"0.00423","0.301998329370944","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","F4","15cm",NA,NA,"TMP_FW_F4_20230627_15cm","8","20230623","20230627","1332","1117",NA,"0.007584","0.541455160744501","bdl",NA,"0.015764","1.12546138633654","bdl",NA,"0.004018","0.286862715700343","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","F4","15cm",NA,NA,"TMP_FW_F4_20230710_15cm","8","20230707","20230710","944","1035",NA,"0.016759","1.19649881842261","bdl",NA,"0.043174","3.08238200289861","Within_Range",NA,"0.005082","0.362826361669772","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","F4","15cm",NA,NA,"TMP_FW_F4_20230807_15cm","6","20230804","20230807","1302","904",NA,"0.022808","1.62836356886347","bdl",NA,"0.02771","1.97833893779406","Within_Range",NA,"0.006325","0.451569605974284","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","F4","15cm",NA,NA,"TMP_FW_F4_20231211_15cm","8","20231208","20231211","1144","1318",NA,"0.005152","0.367823969957235","bdl",NA,"0.006408","0.457495341515132","bdl",NA,"0.004497","0.321060635267408","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","F6","15cm",NA,NA,"TMP_FW_F6_20230627_15cm","8","20230623","20230627","1326","1140",NA,"0.009818","0.700950259518659","bdl",NA,"0.018348","1.30994452654801","bdl",NA,"0.007568","0.540312850278795","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","F6","15cm",NA,NA,"TMP_FW_F6_20230810_15cm","8","20230807","20230810","916","1307",NA,"0.052102","3.71979124276239","Within_Range",NA,"0.684655","48.8805357436084","Within_Range",NA,"0.010297","0.735148179085723","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","F6","15cm",NA,NA,"TMP_FW_F6_20231211_15cm","8","20231208","20231211","1208","1330",NA,"0.00722","0.515467597649696","bdl",NA,"0.004288","0.306139204809127","bdl",NA,"0.010227","0.730150570798261","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","H3","15cm",NA,NA,"TMP_FW_H3_20230614_15cm","6.5","20230612","20230614","1006","1528",NA,"0.023743","1.69511733670315","bdl",NA,"0.028537","2.03738210999022","Within_Range",NA,"0.004336","0.309566136206244","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","H3","15cm",NA,NA,"TMP_FW_H3_20230627_15cm","8","20230623","20230627","1334","1108",NA,"0.00923","0.658970349903975","bdl",NA,"0.020137","1.43766911549473","Within_Range",NA,"0.00429","0.30628199361734","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","H3","15cm",NA,NA,"TMP_FW_H3_20230810_15cm","8","20230807","20230810","1304","1322",NA,"0.014425","1.02986427923779","bdl",NA,"0.035296","2.51993688734677","Within_Range",NA,"0.004514","0.32227434013722","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","H3","15cm",NA,NA,"TMP_FW_H3_20231002_15cm","8","20230929","20231002","1548","951",NA,"0.006145","0.438718613235095","bdl",NA,"0.021164","1.51099116851221","Within_Range",NA,"0.00565","0.403378383202325","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","H3","15cm",NA,NA,"TMP_FW_H3_20231208_15cm","8","20231205","20231208","1117","1148",NA,"0.006725","0.480127367616926","bdl",NA,"0.004461","0.31849043671957","bdl",NA,"0.003235","0.230960897284871","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","H6","15cm",NA,NA,"TMP_FW_H6_20230612_15cm","7.5","20230608","20230612","1543","1018",NA,"0.016064","1.14687970756852","bdl",NA,"0.012757","0.910778413187974","bdl",NA,"0.004778","0.341122462821364","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","H6","15cm",NA,NA,"TMP_FW_H6_20230617_15cm","6","20230614","20230617","1549","1234",NA,"0.014745","1.05271048855191","bdl",NA,"0.009781","0.698308666566715","bdl",NA,"0.004665","0.333054895157318","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","H6","15cm",NA,NA,"TMP_FW_H6_20230710_15cm","8","20230707","20230710","932","1025",NA,"0.014275","1.0191551186218","bdl",NA,"0.0398","2.84149728344292","Within_Range",NA,"0.004335","0.309494741802138","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","I5","15cm",NA,NA,"TMP_FW_I5_20230614_15cm","8","20230612","20230614","1009","1536",NA,"0.008194","0.58500574724953","bdl",NA,"0.004138","0.295430044193136","bdl",NA,"0.005764","0.411517345270478","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","I5","15cm",NA,NA,"TMP_FW_I5_20230617_15cm","6","20230614","20230617","1536","1225",NA,"0.010105","0.721440453497255","bdl",NA,"0.007092","0.506329113924051","bdl",NA,"0.005455","0.389456474401536","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"COMPASS","TEMPEST","FW","I5","15cm",NA,NA,"TMP_FW_I5_20230627_15cm","8","20230623","20230627","1336","1054",NA,"0.005164","0.368680702806514","bdl",NA,"0.015525","1.10839812375506","bdl",NA,"0.005998","0.428223635831424","Within_Range",NA,NA,"Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
