"","Project","Sample_ID","Volume_mL","Collection_Date_YYYYMMDD","Evacuation_date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","H2S_Conc_uM","H2S_Conc_sd","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Dilution","Analysis_rundate","Field_notes","Run_notes"
"11","TEMPEST","TMP_SW_PW_C3_50cm_SO4_20260618",5,20260618,20260618,1129,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"12","TEMPEST","TMP_SW_PW_F4_30cm_SO4_20260618",5,20260618,20260618,1059,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"13","TEMPEST","TMP_FW_PW_D5_15cm_SO4_20260618",5,20260618,20260618,1009,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"14","TEMPEST","TMP_SW_PW_H6_30cm_SO4_20260618",5,20260618,20260618,1019,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"15","TEMPEST","TMP_SW_PW_B4_15cm_SO4_20260618",5,20260618,20260618,1136,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"16","TEMPEST","TMP_FW_PW_C6_50cm_SO4_20260618",5,20260618,20260618,959,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"17","TEMPEST","TMP_SW_PW_H3_50cm_SO4_20260618",5,20260618,20260618,1045,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"18","TEMPEST","TMP_FW_PW_H6_30cm_SO4_20260618",5,20260618,20260618,839,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"19","TEMPEST","TMP_SW_PW_H6_50cm_SO4_20260618",5,20260618,20260618,1026,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"20","TEMPEST","TMP_SW_PW_F4_50cm_SO4_20260618",5,20260618,20260618,1107,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"21","TEMPEST","TMP_FW_PW_F4_30cm_SO4_20260618",5,20260618,20260618,905,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"22","TEMPEST","TMP_FW_PW_H3_30cm_SO4_20260618",5,20260618,20260618,858,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"23","TEMPEST","TMP_FW_PW_C6_50cm_SO4_20260622",5,20260622,20260622,948,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"24","TEMPEST","TMP_FW_PW_F4_30cm_SO4_20260622",5,20260622,20260622,922,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"25","TEMPEST","TMP_SW_PW_H6_50cm_SO4_20260622",5,20260622,20260622,1018,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"26","TEMPEST","TMP_SW_PW_C3_30cm_SO4_20260622",5,20260622,20260622,1102,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"27","TEMPEST","TMP_FW_PW_H6_50cm_SO4_20260622",5,20260622,20260622,908,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"28","TEMPEST","TMP_SW_PW_B4_15cm_SO4_20260622",5,20260622,20260622,1114,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"29","TEMPEST","TMP_C_PW_F4_30cm_SO4_20260810",5,20260810,20260807,817,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"30","TEMPEST","TMP_FW_PW_D5_15cm_SO4_20260622",5,20260622,20260622,933,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"31","TEMPEST","TMP_SW_PW_F4_30cm_SO4_20260622",5,20260622,20260622,1044,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"32","TEMPEST","TMP_C_PW_H3_15cm_SO4_20260810",5,20260810,20260807,1228,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"33","TEMPEST","TMP_FW_PW_H6_30cm_SO4_20260622",5,20260622,20260622,904,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"34","TEMPEST","TMP_SW_PW_H3_50cm_SO4_20260622",5,20260622,20260622,1036,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"35","TEMPEST","TMP_C_PW_C6_50cm_SO4_20260813",5,20260813,20260810,1403,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,"cloudy; colloids??","All dups and related samples had values of 0. 3/3 spikes were bad. "
"36","TEMPEST","TMP_SW_PW_H3_30cm_SO4_20260622",5,20260622,20260622,1026,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"37","TEMPEST","TMP_C_PW_H3_30cm_SO4_20260810",5,20260810,20260807,800,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"38","TEMPEST","TMP_FW_PW_C6_15cm_SO4_20260622",5,20260622,20260622,936,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"39","TEMPEST","TMP_C_PW_H6_30cm_SO4_20260810",5,20260810,20260807,809,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"40","TEMPEST","TMP_SW_PW_F4_50cm_SO4_20260622",5,20260622,20260622,1053,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"41","TEMPEST","TMP_SW_PW_H6_30cm_SO4_20260622",5,20260622,20260622,1010,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"42","TEMPEST","TMP_FW_PW_H6_50cm_SO4_20260810",5,20260810,20260807,1206,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"43","TEMPEST","TMP_FW_PW_C6_30cm_SO4_20260622",5,20260622,20260622,939,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"44","TEMPEST","TMP_SW_PW_C6_30cm_SO4_20260622",5,20260622,20260622,1122,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,"Put SPE in 50 cm bottle","All dups and related samples had values of 0. 3/3 spikes were bad. "
"45","TEMPEST","TMP_FW_PW_F4_30cm_SO4_20260810",5,20260810,20260807,1142,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"46","TEMPEST","TMP_FW_PW_C6_15cm_SO4_20260810",5,20260810,20260807,1118,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"47","TEMPEST","TMP_SW_PW_C3_50cm_SO4_20260810",5,20260810,20260807,859,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"48","TEMPEST","TMP_SW_PW_H3_30cm_SO4_20260810",5,20260810,20260807,938,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,"cloudy; colloids??","All dups and related samples had values of 0. 3/3 spikes were bad. "
"49","TEMPEST","TMP_FW_PW_E3_15cm_SO4_20260810",5,20260810,20260807,1133,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"50","TEMPEST","TMP_SW_PW_B4_15cm_SO4_20260810",5,20260810,20260807,903,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,"very light coloration","All dups and related samples had values of 0. 3/3 spikes were bad. "
"51","TEMPEST","TMP_SW_PW_F4_50cm_SO4_20260810",5,20260810,20260807,932,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"52","TEMPEST","TMP_FW_PW_C6_50cm_SO4_20260810",5,20260810,20260807,1122,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"53","TEMPEST","TMP_SW_PW_C6_50cm_SO4_20260810",5,20260810,20260807,911,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"54","TEMPEST","TMP_SW_PW_C3_30cm_SO4_20260810",5,20260810,20260807,857,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"55","TEMPEST","TMP_FW_PW_C3_30cm_SO4_20260810",5,20260810,20260807,1115,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"56","TEMPEST","TMP_SW_PW_H6_15cm_SO4_20260810",5,20260810,20260807,1000,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"57","TEMPEST","TMP_SW_PW_H3_50cm_SO4_20260810",5,20260810,20260807,945,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,"cloudy; colloids??","All dups and related samples had values of 0. 3/3 spikes were bad. "
"58","TEMPEST","TMP_FW_PW_F4_50cm_SO4_20260810",5,20260810,20260807,1144,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"59","TEMPEST","TMP_SW_PW_C6_30cm_SO4_20260810",5,20260810,20260807,910,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"60","TEMPEST","TMP_SW_PW_F4_30cm_SO4_20260810",5,20260810,20260807,929,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"61","TEMPEST","TMP_FW_PW_C6_30cm_SO4_20260810",5,20260810,20260807,1120,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"62","TEMPEST","TMP_SW_PW_H6_50cm_SO4_20260810",5,20260810,20260807,959,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"63","TEMPEST","TMP_FW_PW_D5_15cm_SO4_20260810",5,20260810,20260807,1124,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"64","TEMPEST","TMP_SW_PW_F6_15cm_SO4_20260810",5,20260810,20260807,921,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"65","TEMPEST","TMP_FW_PW_H6_30cm_SO4_20260810",5,20260810,20260807,1201,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"66","TEMPEST","TMP_SW_PW_H6_30cm_SO4_20260810",5,20260810,20260807,957,TRUE,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
