"","Sample_ID","Site","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Deployment_Date","Deployment_Time_24hrs","Collection_Time_24hrs","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"35","TMP_SW_D5_20240805_15cm","TEMPEST","SW","D5","15",NA,NA,"PW",8,"20240805",20240802,1143,1030,NA,NA,NA,0.035945,2.56627185561196,"Within_Range","",0.025411,1.81420320275297,"Within_Range","",0.00175,0.0564994332945414,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"36","TMP_SW_D5_20240906_15cm","TEMPEST","SW","D5","15",NA,NA,"PW",8,"20240906",20240903,910,1140,NA,NA,NA,0.01151,0.821749591267037,"bdl","",0.009124,0.651402543068674,"bdl","",0.001664,0.0537228897154953,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"37","TMP_SW_D5_20241003_15cm","TEMPEST","SW","D5","15",NA,NA,"PW",8,"20241003",20240930,928,1240,NA,NA,NA,NA,NA,NA,NA,0.010461,0.746856861359207,"bdl","",0.003032,0.0978893038565996,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"38","TMP_SW_D5_20241213_15cm","TEMPEST","SW","D5","15",NA,NA,"PW",6,"20241213",20241210,1203,1236,NA,NA,NA,0.002505,0.178842982287048,"bdl","",0.005867,0.418870968893458,"bdl","",0.00449,0.144961403138566,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","Clear"
"39","TMP_SW_E3_20241003_15cm","TEMPEST","SW","E3","15",NA,NA,"PW",6,"20241003",20240930,1138,1355,NA,NA,NA,0.007636,0.545167669758044,"bdl","",0.045682,3.26143916839798,"Within_Range","",0.01021,0.329633836535581,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"40","TMP_SW_F4_20241003_15cm","TEMPEST","SW","F4","15",NA,NA,"PW",8,"20241003",20240930,940,1347,NA,NA,NA,NA,NA,NA,NA,0.006584,0.470060756637895,"bdl","",0.010606,0.342418851155375,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"41","TMP_SW_F6_20240715_15cm","TEMPEST","SW","F6","15",NA,NA,"PW",7,"20240715",20240711,1046,1224,NA,NA,NA,0.023676,1.69033391162801,"bdl","",0.154929,11.0610636338324,"Within_Range","",0.002217,0.0715767106365704,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"42","TMP_SW_F6_20240802_15cm","TEMPEST","SW","F6","15",NA,NA,"PW",6,"20240802",20240730,836,1153,NA,NA,NA,0.013899,0.992310822677719,"bdl","",0.142397,10.1663489615684,"Within_Range","",0.001825,0.0589208375785931,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"43","TMP_SW_F6_20240805_15cm","TEMPEST","SW","F6","15",NA,NA,"PW",8,"20240805",20240802,1153,1019,NA,NA,NA,0.012846,0.917132515153462,"bdl","",0.000458,0.0326986370808256,"bdl","",0.001118,0.0360950665275984,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"44","TMP_SW_F6_20240906_15cm","TEMPEST","SW","F6","15",NA,NA,"PW",8,"20240906",20240903,913,1151,NA,NA,NA,0.003284,0.234459223086095,"bdl","",0.032909,2.3495184447443,"Within_Range","",0.001223,0.0394850325252709,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
