"","Sample_ID","Site","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"12","TEMPEST_FW_C6_20240607","TEMPEST","FW","C6","15",NA,NA,"PW",8,"20240607",20240604,0.022592,1.61294237757645,"bdl","",0.045175,3.22524220551593,"Within_Range","",0.018757,0.605577068746121,"Within_Range","","02/13/2026","",NA
"13","TEMPEST_FW_C6_20240617","TEMPEST","FW","C6","15",NA,NA,"PW",8,"20240617",20240614,0.006061,0.43272148329014,"bdl","",0.013289,0.948760236172689,"bdl","",0.013142,0.424294601346779,"Within_Range","","02/13/2026","",NA
"14","TEMPEST_FW_C6_T0_20240610","TEMPEST","FW","C6","15","T0",NA,"PW",6,"20240610",20240607,0.031675,2.26141775007675,"Within_Range","",0.035898,2.56291631861895,"Within_Range","",0.017438,0.562992638737264,"Within_Range","","02/09/2026","",NA
"15","TEMPEST_FW_C6_T1_20240611","TEMPEST","FW","C6","15","T1",NA,"PW",8,"20240611",20240610,0.02707,1.93264651916583,"Within_Range","",0.016823,1.20106806028543,"bdl","",0.012069,0.389652377389611,"Within_Range","","02/09/2026","",NA
"16","TEMPEST_FW_C6_T3_20240612","TEMPEST","FW","C6","15","T3","PM","PW",8,"20240612",20240612,0.007728,0.551735954935852,"bdl","",0.007047,0.503116365739253,"bdl","",0.012848,0.414802696553296,"Within_Range","","02/13/2026","",NA
"17","TEMPEST_FW_C6_T4_20240613","TEMPEST","FW","C6","15","T4","AM","PW",8,"20240613",20240612,0.008305,0.592930526105364,"bdl","",0.014405,1.02843639115566,"bdl","",0.008397,0.271100423642436,"Within_Range","","02/09/2026","",NA
"18","TEMPEST_FW_C6_T5_20240613","TEMPEST","FW","C6","15","T5","PM","PW",8,"20240613",20240613,0.022381,1.59787815830995,"bdl","",0.009534,0.680674248752383,"bdl","",0.012236,0.395044037595433,"Within_Range","","02/09/2026","",NA
"19","TEMPEST_FW_C6_T6_20240614","TEMPEST","FW","C6","15","T6",NA,"PW",8,"20240614",20240613,0.015846,1.13131572747328,"bdl","",0.011925,0.851378268971278,"bdl","",0.012687,0.409604748690198,"Within_Range","","02/13/2026","",NA
"20","TEMPEST_FW_D5_20240617","TEMPEST","FW","D5","15",NA,NA,"PW",NA,"20240617",20240614,0.005199,0.371179506950245,"bdl","",0.013785,0.984171860609565,"bdl","",0.003702,0.119520515460795,"Within_Range","","02/13/2026","","112 mL extracted but no volumes filled in on field sheet; AES to check"
"21","TEMPEST_FW_D5_T1_20240611","TEMPEST","FW","D5","15","T1",NA,"PW",8,"20240611",20240610,0.015477,1.10497119235794,"bdl","",0.009305,0.66432493021197,"bdl","",0.003454,0.111513738628198,"Within_Range","","02/09/2026","",NA
"22","TEMPEST_FW_D5_T2_20240612","TEMPEST","FW","D5","15","T2","AM","PW",8,"20240612",20240611,0.01053,0.751783075242562,"bdl","",0.010386,0.741502281051211,"bdl","",0.002535,0.0818434648009499,"bdl","","02/09/2026","",NA
"23","TEMPEST_FW_D5_T3_20240612","TEMPEST","FW","D5","15","T3","PM","PW",8,"20240612",20240612,0,0,"bdl","",0.008956,0.639408283178764,"bdl","",0.003436,0.110932601600025,"Within_Range","","02/13/2026","",NA
"24","TEMPEST_FW_D5_T4_20240613","TEMPEST","FW","D5","15","T4","AM","PW",8,"20240613",20240612,0.016186,1.15558982486953,"bdl","",0.013932,0.994666838013237,"bdl","",0.002796,0.0902699517094501,"bdl","","02/09/2026","",NA
"25","TEMPEST_FW_D5_T5_20240613","TEMPEST","FW","D5","15","T5","PM","PW",8,"20240613",20240613,0.015841,1.13095875545275,"bdl","",0.011948,0.85302034026573,"bdl","",0.003284,0.106025222251014,"Within_Range","","02/09/2026","",NA
"26","TEMPEST_FW_D5_T6_20240614","TEMPEST","FW","D5","15","T6",NA,"PW",8,"20240614",20240613,0.007289,0.520393811533052,"bdl","",0.01067,0.761778291817487,"bdl","",0.003199,0.103280964062422,"Within_Range","","02/13/2026","",NA
"27","TEMPEST_FW_E3_T2_20240612","TEMPEST","FW","E3","15","T2","AM","PW",6,"20240612",20240611,0.029622,2.11484503844589,"Within_Range","",0.019348,1.38133893065462,"bdl","",0.005963,0.192517783277343,"Within_Range","","02/09/2026","",NA
"28","TEMPEST_FW_E3_T3_20240612","TEMPEST","FW","E3","15","T3","PM","PW",6,"20240612",20240612,0.015001,1.0709874560032,"bdl","",0.016086,1.14845038445887,"bdl","",0.00595,0.192098073201441,"Within_Range","","02/13/2026","",NA
"29","TEMPEST_FW_E3_T4_20240613","TEMPEST","FW","E3","15","T4","AM","PW",8,"20240613",20240612,0.066136,4.7217403099945,"Within_Range","",0.018854,1.34607009502595,"bdl","",0.003209,0.103603817966962,"Within_Range","","02/09/2026","",NA
"30","TEMPEST_FW_F4_20240617","TEMPEST","FW","F4","15",NA,NA,"PW",8,"20240617",20240614,0.008046,0.574439375441753,"bdl","",0.015188,1.08433820957113,"bdl","",0.0044,0.142055717997704,"Within_Range","","02/13/2026","",NA
"31","TEMPEST_FW_F4_T1_20240611","TEMPEST","FW","F4","15","T1",NA,"PW",8,"20240611",20240610,0.017385,1.24119171539335,"bdl","",0.005598,0.399665874188781,"bdl","",0.004668,0.150708202639382,"Within_Range","","02/09/2026","",NA
"32","TEMPEST_FW_F4_T2_20240612","TEMPEST","FW","F4","15","T2","AM","PW",8,"20240612",20240611,0.010164,0.725652723339545,"bdl","",0.009569,0.683173052896114,"bdl","",0.004218,0.136179776935072,"Within_Range","","02/09/2026","",NA
"33","TEMPEST_FW_F4_T3_20240612","TEMPEST","FW","F4","15","T3","PM","PW",8,"20240612",20240612,0.003005,0.214540184340351,"bdl","",0.006401,0.456995580686386,"bdl","",0.025628,0.827409986555718,"Within_Range","","02/13/2026","",NA
"34","TEMPEST_FW_F4_T4_20240613","TEMPEST","FW","F4","15","T4","AM","PW",8,"20240613",20240612,0.010803,0.771273747563666,"bdl","",0.012325,0.87993603061392,"bdl","",0.003767,0.121619065840307,"Within_Range","","02/09/2026","",NA
"35","TEMPEST_FW_F4_T5_20240613","TEMPEST","FW","F4","15","T5","PM","PW",8,"20240613",20240613,0.010214,0.729222443544875,"bdl","",0.012158,0.868013165128117,"bdl","",0.004453,0.143766843691767,"Within_Range","","02/09/2026","",NA
"36","TEMPEST_FW_F4_T6_20240614","TEMPEST","FW","F4","15","T6",NA,"PW",8,"20240614",20240613,0.00722,0.515467597649696,"bdl","",0.009093,0.64918931654137,"bdl","",0.004781,0.154356451760687,"Within_Range","","02/13/2026","",NA
"37","TEMPEST_FW_F6_T5_20240613","TEMPEST","FW","F6","15","T5","PM","PW",6,"20240613",20240613,0.016486,1.17700814610151,"bdl","",0.023884,1.70518394768218,"Within_Range","",0.006069,0.195940034665469,"Within_Range","","02/09/2026","",NA
"38","TEMPEST_FW_H3_T2_20240612","TEMPEST","FW","H3","15","T2","AM","PW",8,"20240612",20240611,0.026255,1.87446007981894,"Within_Range","",0.012847,0.917203909557569,"bdl","",0.002242,0.072383845397921,"bdl","","02/09/2026","",NA
"39","TEMPEST_FW_H3_T3_20240612","TEMPEST","FW","H3","15","T3","PM","PW",8,"20240612",20240612,0.005344,0.381531695545703,"bdl","",0.006664,0.475772308966423,"bdl","",0.002457,0.0793252043455361,"bdl","","02/13/2026","",NA
"40","TEMPEST_FW_H3_T4_20240613","TEMPEST","FW","H3","15","T4","AM","PW",6,"20240613",20240612,0.007361,0.525534208628728,"bdl","",0.014508,1.03579001477864,"bdl","",0.001872,0.0604382509299322,"bdl","","02/09/2026","",NA
"41","TEMPEST_FW_H3_T5_20240613","TEMPEST","FW","H3","15","T5","PM","PW",6,"20240613",20240613,0.014243,1.01687049769039,"bdl","",0.011623,0.829817158931083,"bdl","",0.002275,0.0734492632829038,"bdl","","02/09/2026","",NA
"42","TEMPEST_FW_H3_T6_20240614","TEMPEST","FW","H3","15","T6",NA,"PW",8,"20240614",20240613,0.007698,0.549594122812654,"bdl","",0.014026,1.00137791199926,"bdl","",0.003135,0.101214699073364,"Within_Range","","02/13/2026","",NA
"43","TEMPEST_FW_H6_T3_20240612","TEMPEST","FW","H6","15","T3","PM","PW",6,"20240612",20240612,0.032122,2.2933310487124,"Within_Range","",0.010969,0.783125218645363,"bdl","",0.004841,0.156293575187928,"Within_Range","","02/13/2026","",NA
"44","TEMPEST_FW_H6_T4_20240613","TEMPEST","FW","H6","15","T4","AM","PW",8,"20240613",20240612,0.022758,1.62479384865814,"bdl","",0.030953,2.20987099031178,"Within_Range","",0.003233,0.104378667337858,"Within_Range","","02/09/2026","",NA
"45","TEMPEST_FW_H6_T5_20240613","TEMPEST","FW","H6","15","T5","PM","PW",8,"20240613",20240613,0.039188,2.79780390812968,"Within_Range","",0.013536,0.96639465398702,"bdl","",0.004295,0.138665752000032,"Within_Range","","02/09/2026","",NA
"46","TEMPEST_FW_H6_T6_20240614","TEMPEST","FW","H6","15","T6",NA,"PW",6,"20240614",20240613,0.020907,1.49264280665681,"bdl","",0.067907,4.8481797996673,"Within_Range","",0.037088,1.19740056115883,"Within_Range","","02/13/2026","",NA
"47","TEMPEST_FW_I5_20240607","TEMPEST","FW","I5","15",NA,NA,"PW",8,"20240607",20240604,0.005736,0.409518301955493,"bdl","",0.015506,1.10704163007703,"bdl","",0.004847,0.156487287530653,"Within_Range","","02/13/2026","",NA
"48","TEMPEST_FW_I5_20240617","TEMPEST","FW","I5","15",NA,NA,"PW",8,"20240617",20240614,0.00973,0.694667551957278,"bdl","",0.1476,10.5378140461351,"Within_Range","",0.006813,0.219960365163263,"Within_Range","","02/13/2026","",NA
"49","TEMPEST_FW_I5_T0_20240610","TEMPEST","FW","I5","15","T0",NA,"PW",8,"20240610",20240607,0.014872,1.06177757787345,"bdl","",0.010161,0.725438540127225,"bdl","",0.003933,0.126978440655675,"Within_Range","","02/09/2026","",NA
"50","TEMPEST_FW_I5_T1_20240611","TEMPEST","FW","I5","15","T1",NA,"PW",8,"20240611",20240610,0.030915,2.20715800295573,"Within_Range","",0.075251,5.37250030342622,"Within_Range","",0.002484,0.0801969098877947,"bdl","","02/09/2026","",NA
"51","TEMPEST_FW_I5_T2_20240612","TEMPEST","FW","I5","15","T2","AM","PW",8,"20240612",20240611,0.014757,1.05356722140119,"bdl","",0.013206,0.94283450063184,"bdl","",0.003015,0.0973404522188813,"Within_Range","","02/09/2026","",NA
"52","TEMPEST_FW_I5_T3_20240612","TEMPEST","FW","I5","15","T3","PM","PW",8,"20240612",20240612,0.187981,13.4207914783639,"Within_Range","",0.024698,1.76329899262496,"Within_Range","",0.004419,0.14266914041633,"Within_Range","","02/13/2026","",NA
"53","TEMPEST_FW_I5_T4_20240613","TEMPEST","FW","I5","15","T4","AM","PW",8,"20240613",20240612,0.015964,1.13974026715786,"bdl","",0.010936,0.780769203309845,"bdl","",0.002816,0.0909156595185305,"bdl","","02/09/2026","",NA
"54","TEMPEST_FW_I5_T5_20240613","TEMPEST","FW","I5","15","T5","PM","PW",8,"20240613",20240613,0.020687,1.47693603775336,"bdl","",0.061027,4.35698629941385,"Within_Range","",0.002926,0.0944670524684732,"bdl","","02/09/2026","",NA
"55","TEMPEST_FW_I5_T6_20240614","TEMPEST","FW","I5","15","T6",NA,"PW",8,"20240614",20240613,0.005325,0.380175201867678,"bdl","",0.026124,1.86510741288098,"Within_Range","",0.004567,0.147447378203526,"Within_Range","","02/13/2026","",NA
"56","TEMPEST_SW_B4_20240617","TEMPEST","SW","B4","15",NA,NA,"PW",8,"20240617",20240614,0.000346,0.0247024638208857,"bdl","",0.106912,7.63291853184547,"Within_Range","",0.020573,0.664207337810628,"Within_Range","","02/13/2026","",NA
"57","TEMPEST_SW_B4_T1_20240611","TEMPEST","SW","B4","15","T1",NA,"PW",6,"20240611",20240610,0.017498,1.24925928305739,"bdl","",0.626225,44.7089607116594,"Within_Range","",0.024531,0.791992913227654,"Within_Range","","02/09/2026","",NA
"58","TEMPEST_SW_B4_T2_20240612","TEMPEST","SW","B4","15","T2","AM","PW",8,"20240612",20240611,0.014111,1.00744643634832,"bdl","",0.378486,27.0217824326929,"Within_Range","",0.012939,0.417740667084612,"Within_Range","","02/09/2026","",NA
"59","TEMPEST_SW_B4_T3_20240612","TEMPEST","SW","B4","15","T3","PM","PW",8,"20240612",20240612,0.008943,0.638480155925378,"bdl","",0.197777,14.1201710609922,"Within_Range","",0.004039,0.130400692043801,"Within_Range","","02/13/2026","","clear"
"60","TEMPEST_SW_B4_T4_20240613","TEMPEST","SW","B4","15","T4","AM","PW",8,"20240613",20240612,0.010452,0.746214311722247,"bdl","",0.091048,6.50031770509827,"Within_Range","",0.004468,0.144251124548578,"Within_Range","","02/13/2026","","clear"
"61","TEMPEST_SW_B4_T5_20240613","TEMPEST","SW","B4","15","T5","PM","PW",8,"20240613",20240613,0.015186,1.08419542076292,"bdl","",0.089368,6.38037510619918,"Within_Range","",0.013493,0.435626773396141,"Within_Range","","02/09/2026","",NA
"62","TEMPEST_SW_B4_T6_20240614","TEMPEST","SW","B4","15","T6",NA,"PW",8,"20240614",20240613,0.001204,0.0859588625443538,"bdl","",0.082775,5.90967179992432,"Within_Range","",0.002858,0.0922716459175995,"bdl","","02/13/2026","",NA
"63","TEMPEST_SW_C3_20240617","TEMPEST","SW","C3","15",NA,NA,"PW",8,"20240617",20240614,0.00843,0.60185482661869,"bdl","",0.027092,1.93421719605617,"Within_Range","",0.002762,0.0891722484340133,"bdl","","02/13/2026","",NA
"64","TEMPEST_SW_C3_T2_20240612","TEMPEST","SW","C3","15","T2","AM","PW",8,"20240612",20240611,0.018737,1.33771694974548,"bdl","",0.038676,2.7612499732271,"Within_Range","",0.003918,0.126494159798865,"Within_Range","","02/09/2026","",NA
"65","TEMPEST_SW_C3_T3_20240612","TEMPEST","SW","C3","15","T3","PM","PW",8,"20240612",20240612,0.009928,0.708803643970386,"bdl","",0.017387,1.24133450420156,"bdl","",0.00227,0.0732878363306337,"bdl","","02/13/2026","","clear"
"66","TEMPEST_SW_C3_T4_20240613","TEMPEST","SW","C3","15","T4","AM","PW",8,"20240613",20240612,0.006275,0.447999885768953,"bdl","",0.011191,0.798974776357029,"bdl","",0.002136,0.0689615940097945,"bdl","","02/13/2026","","clear"
"67","TEMPEST_SW_C3_T5_20240613","TEMPEST","SW","C3","15","T5","PM","PW",8,"20240613",20240613,0.016001,1.1423818601098,"bdl","",0.017961,1.28231489215875,"bdl","",0.00238,0.0768392292805763,"bdl","","02/09/2026","",NA
"68","TEMPEST_SW_C3_T6_20240614","TEMPEST","SW","C3","15","T6",NA,"PW",8,"20240614",20240613,0.004033,0.287933631761943,"bdl","",0.013939,0.995166598841983,"bdl","",0.005983,0.193163491086423,"bdl","","02/13/2026","",NA
"69","TEMPEST_SW_D5_T2_20240612","TEMPEST","SW","D5","15","T2","AM","PW",6,"20240612",20240611,0.022901,1.63500324844539,"bdl","",0.044721,3.19282914605153,"Within_Range","",0.004128,0.13327409179421,"Within_Range","","02/09/2026","",NA
"70","TEMPEST_SW_D5_T5_20240613","TEMPEST","SW","D5","15","T5","PM","PW",6,"20240613",20240613,0.016504,1.17829324537543,"bdl","",0.028101,2.00625414979974,"Within_Range","",0.00183,0.0590822645308633,"bdl","","02/09/2026","",NA
"71","TEMPEST_SW_D5_T6_20240614","TEMPEST","SW","D5","15","T6",NA,"PW",6,"20240614",20240613,0.011176,0.79790386029543,"bdl","",0.024405,1.74238043222172,"Within_Range","",0.002498,0.080648905354151,"bdl","","02/13/2026","",NA
"72","TEMPEST_SW_E3_T4_20240613","TEMPEST","SW","E3","15","T4","AM","PW",7,"20240613",20240612,0.022045,1.57388963853013,"bdl","",0.031715,2.26427352624101,"Within_Range","",0.002296,0.0741272564824383,"bdl","","02/13/2026","","clear"
"73","TEMPEST_SW_F6_20240617","TEMPEST","SW","F6","15",NA,NA,"PW",8,"20240617",20240614,0.017438,1.244975618811,"bdl","",0.304038,21.7066118357643,"Within_Range","",0.001893,0.0611162441294667,"bdl","","02/13/2026","",NA
"74","TEMPEST_SW_F6_T2_20240612","TEMPEST","SW","F6","15","T2","AM","PW",6,"20240612",20240611,0.030804,2.19923322409989,"Within_Range","",0.021835,1.55889681366774,"Within_Range","",0.004414,0.14250771346406,"Within_Range","","02/13/2026","",NA
"75","TEMPEST_SW_F6_T4_20240613","TEMPEST","SW","F6","15","T4","AM","PW",8,"20240613",20240612,0.009367,0.66875138326658,"bdl","",0.010237,0.730864514839327,"bdl","",0.00153,0.0493966473946562,"bdl","","02/13/2026","","clear"
"76","TEMPEST_SW_F6_T6_20240614","TEMPEST","SW","F6","15","T6",NA,"PW",8,"20240614",20240613,0.004617,0.3296279637602,"bdl","",0.015622,1.1153233809534,"bdl","",0.001473,0.0475563801387768,"bdl","","02/13/2026","",NA
"77","TEMPEST_SW_H3_T5_20240613","TEMPEST","SW","H3","15","T5","PM","PW",6,"20240613",20240613,0.034437,2.4586090942192,"Within_Range","",0.089235,6.370879650453,"Within_Range","",0.002218,0.0716089960270244,"bdl","","02/09/2026","",NA
"78","TEMPEST_SW_H6_T3_20240612","TEMPEST","SW","H6","15","T3","PM","PW",6,"20240612",20240612,0.024882,1.77643556298057,"bdl","",0.064609,4.61272105492371,"Within_Range","",0.004087,0.131950390785595,"Within_Range","","02/13/2026","","clear"
