"","Project","Year","Month","Day","Zone","Grid","pH","collection_temp_C","Collection_Date_Time","Evacuation_Date","qaqc_flag"
"105","TEMPEST","2023","06","27","Saltwater","C6",5.75,24.1,2023-06-27 18:21:00,"2023-06-23",NA
"106","TEMPEST","2023","06","27","Saltwater","F4",6.22,24.3,2023-06-27 17:55:00,"2023-06-23",NA
"107","TEMPEST","2023","06","27","Saltwater","H3",5.92,24.3,2023-06-27 17:29:00,"2023-06-23",NA
"108","TEMPEST","2023","06","27","Saltwater","H6",5.93,24.5,2023-06-27 17:17:00,"2023-06-23",NA
"109","TEMPEST","2023","06","27","Saltwater","B4",5.62,25,2023-06-27 18:31:00,"2023-06-23",NA
"110","TEMPEST","2023","06","27","Saltwater","D5",5.48,24.3,2023-06-27 18:12:00,"2023-06-23",NA
"111","TEMPEST","2023","06","27","Saltwater","E3",5.61,24.3,2023-06-27 17:39:00,"2023-06-23",NA
"112","TEMPEST","2023","06","27","Saltwater","F6",5.62,24.2,2023-06-27 18:02:00,"2023-06-23",NA
"113","TEMPEST","2023","06","27","Saltwater","I5",4.79,25,2023-06-27 17:05:00,"2023-06-23",NA
"114","TEMPEST","2023","06","28","Control","C3",6.23,24.6,2023-06-28 19:43:00,"2023-06-23",NA
"115","TEMPEST","2023","06","28","Control","C6",6.34,23.9,2023-06-28 19:24:00,"2023-06-23",NA
"116","TEMPEST","2023","06","28","Control","H6",6.28,23.1,2023-06-28 18:54:00,"2023-06-23",NA
"117","TEMPEST","2023","06","28","Control","D5",5.98,23.8,2023-06-28 19:12:00,"2023-06-23",NA
"118","TEMPEST","2023","06","28","Control","E3",6.39,23.7,2023-06-28 19:48:00,"2023-06-23",NA
"119","TEMPEST","2023","06","28","Control","I5",6.04,23.5,2023-06-28 18:40:00,"2023-06-23",NA
"120","TEMPEST","2023","07","07","Control","C6",6.55,27.7,2023-07-07 15:13:00,"2023-07-05",NA
"121","TEMPEST","2023","07","07","Control","H6",6.13,28.9,2023-07-07 15:34:00,"2023-07-05",NA
