"Project","Zone","Grid","Depth","Event_Time","Time_of_day","Sample_ID","Volume_mL","Evacuation_date_YYYMMDD","Collection_Date","Deployment_Date_YYYYMMDD","Deployment_Time_24hrs","Collection_Time_24hrs","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","H2S_mean_uM","H2S_sd_uM","Field_notes"
"TMP","FW","H6","15cm","T2","AM","TMP_FW_H6_T2_20240612",5,20240611,20240612,NA,NA,NA,1322,922,"EDT",0,0,NA
"TMP","FW","I5","15cm","T2","AM","TMP_FW_I5_T2_20240612",5,20240611,20240612,NA,NA,NA,1307,931,"EDT",0,0,NA
"TMP","SW","B4","15cm","T2","AM","TMP_SW_B4_T2_20240612",5,20240611,20240612,NA,NA,NA,1400,920,"EDT",0,0,NA
"TMP","SW","C3","15cm","T2","AM","TMP_SW_C3_T2_20240612",5,20240611,20240612,NA,NA,NA,1427,931,"EDT",0,0,NA
"TMP","SW","D5","15cm","T2","AM","TMP_SW_D5_T2_20240612",5,20240611,20240612,NA,NA,NA,1351,905,"EDT",0,0,NA
"TMP","SW","E3","15cm","T2","AM","TMP_SW_E3_T2_20240612",5,20240611,20240612,NA,NA,NA,1347,854,"EDT",0,0,NA
"TMP","SW","F6","15cm","T2","AM","TMP_SW_F6_T2_20240612",5,20240611,20240612,NA,NA,NA,1337,842,"EDT",0,0,NA
"TMP","SW","H6","15cm","T2","AM","TMP_SW_H6_T2_20240612",5,20240611,20240612,NA,NA,NA,1309,803,"EDT",0,0,NA
"TMP","SW","I5","15cm","T2","AM","TMP_SW_I5_T2_20240612",5,20240611,20240612,NA,NA,NA,1315,816,"EDT",0,0,NA
"TMP","FW","C3","15cm","T3","PM","TMP_FW_C3_T3_20240612",5,20240612,20240612,NA,NA,NA,802,1618,"EDT",0,0,NA
"TMP","FW","C6","15cm","T3","PM","TMP_FW_C6_T3_20240612",5,20240612,20240612,NA,NA,NA,901,1603,"EDT",0,0,NA
"TMP","FW","D5","15cm","T3","PM","TMP_FW_D5_T3_20240612",5,20240612,20240612,NA,NA,NA,843,1548,"EDT",0,0,NA
"TMP","FW","F4","15cm","T3","PM","TMP_FW_F4_T3_20240612",5,20240612,20240612,NA,NA,NA,947,1531,"EDT",0,0,NA
"TMP","FW","F6","15cm","T3","PM","TMP_FW_F6_T3_20240612",5,20240612,20240612,NA,NA,NA,915,1518,"EDT",0,0,NA
"TMP","FW","H3","15cm","T3","PM","TMP_FW_H3_T3_20240612",5,20240612,20240612,NA,NA,NA,1005,1523,"EDT",0,0,NA
"TMP","FW","H6","15cm","T3","PM","TMP_FW_H6_T3_20240612",5,20240612,20240612,NA,NA,NA,922,1512,"EDT",0,0,NA
"TMP","FW","I5","15cm","T3","PM","TMP_FW_I5_T3_20240612",5,20240612,20240612,NA,NA,NA,931,1500,"EDT",0,0,NA
"TMP","SW","B4","15cm","T3","PM","TMP_SW_B4_T3_20240612",5,20240612,20240612,NA,NA,NA,920,1622,"EDT",0,0,"clear"
"TMP","SW","C3","15cm","T3","PM","TMP_SW_C3_T3_20240612",5,20240612,20240612,NA,NA,NA,931,1540,"EDT",0,0,"clear"
"TMP","SW","E3","15cm","T3","PM","TMP_SW_E3_T3_20240612",5,20240612,20240612,NA,NA,NA,854,1530,"EDT",0,0,"clear"
"TMP","SW","F6","15cm","T3","PM","TMP_SW_F6_T3_20240612",5,20240612,20240612,NA,NA,NA,842,1607,"EDT",0,0,"clear"
"TMP","SW","H3","15cm","T3","PM","TMP_SW_H3_T3_20240612",5,20240612,20240612,NA,NA,NA,826,1513,"EDT",0,0,"clear"
"TMP","SW","H6","15cm","T3","PM","TMP_SW_H6_T3_20240612",5,20240612,20240612,NA,NA,NA,803,1500,"EDT",0,0,"clear"
"TMP","FW","B4","15cm","T4","AM","TMP_FW_B4_T4_20240613",5,20240612,20240613,NA,NA,NA,1612,933,"EDT",0,0,NA
"TMP","FW","C3","15cm","T4","AM","TMP_FW_C3_T4_20240613",5,20240612,20240613,NA,NA,NA,1618,917,"EDT",0,0,NA
"TMP","FW","C6","15cm","T4","AM","TMP_FW_C6_T4_20240613",5,20240612,20240613,NA,NA,NA,1603,943,"EDT",0,0,NA
"TMP","FW","F4","15cm","T4","AM","TMP_FW_F4_T4_20240613",5,20240612,20240613,NA,NA,NA,1531,846,"EDT",0,0,NA
"TMP","FW","B4","15cm","T5","PM","TMP_FW_B4_T5_20240613",5,20240613,20240613,NA,NA,NA,933,1606,"EDT",0,0,NA
"TMP","FW","C3","15cm","T5","PM","TMP_FW_C3_T5_20240613",5,20240613,20240613,NA,NA,NA,917,1624,"EDT",0,0,NA
"TMP","FW","C6","15cm","T5","PM","TMP_FW_C6_T5_20240613",5,20240613,20240613,NA,NA,NA,943,1537,"EDT",0,0,NA
"TMP","FW","D5","15cm","T5","PM","TMP_FW_D5_T5_20240613",5,20240613,20240613,NA,NA,NA,933,1606,"EDT",0,0,NA
"TMP","FW","E3","15cm","T5","PM","TMP_FW_E3_T5_20240613",5,20240613,20240613,NA,NA,NA,902,1530,"EDT",0,0,NA
"TMP","FW","F4","15cm","T5","PM","TMP_FW_F4_T5_20240613",5,20240613,20240613,NA,NA,NA,846,1506,"EDT",0,0,NA
"TMP","FW","F6","15cm","T5","PM","TMP_FW_F6_T5_20240613",5,20240613,20240613,NA,NA,NA,806,1516,"EDT",0,0,NA
"TMP","FW","H3","15cm","T5","PM","TMP_FW_H3_T5_20240613",5,20240613,20240613,NA,NA,NA,834,1456,"EDT",0,0,NA
"TMP","FW","H6","15cm","T5","PM","TMP_FW_H6_T5_20240613",5,20240613,20240613,NA,NA,NA,815,1524,"EDT",0,0,NA
"TMP","FW","I5","15cm","T5","PM","TMP_FW_I5_T5_20240613",5,20240613,20240613,NA,NA,NA,822,1442,"EDT",0,0,NA
"TMP","SW","B4","15cm","T5","PM","TMP_SW_B4_T5_20240613",5,20240613,20240613,NA,NA,NA,937,1544,"EDT",0,0,NA
"TMP","SW","C3","15cm","T5","PM","TMP_SW_C3_T5_20240613",5,20240613,20240613,NA,NA,NA,916,1557,"EDT",0,0,NA
"TMP","SW","D5","15cm","T5","PM","TMP_SW_D5_T5_20240613",5,20240613,20240613,NA,NA,NA,900,1529,"EDT",0,0,NA
"TMP","SW","F4","15cm","T5","PM","TMP_SW_F4_T5_20240613",5,20240613,20240613,NA,NA,NA,842,1507,"EDT",0,0,NA
"TMP","SW","F6","15cm","T5","PM","TMP_SW_F6_T5_20240613",5,20240613,20240613,NA,NA,NA,848,1519,"EDT",0,0,NA
"TMP","SW","H3","15cm","T5","PM","TMP_SW_H3_T5_20240613",5,20240613,20240613,NA,NA,NA,833,1501,"EDT",0,0,NA
"TMP","SW","H6","15cm","T5","PM","TMP_SW_H6_T5_20240613",5,20240613,20240613,NA,NA,NA,808,1446,"EDT",0,0,NA
"TMP","SW","I5","15cm","T5","PM","TMP_SW_I5_T5_20240613",5,20240613,20240613,NA,NA,NA,824,1452,"EDT",0,0,NA
"TMP","FW","B4","15cm","T6",NA,"TMP_FW_B4_T6_20240614",5,20240613,20240614,NA,NA,NA,1606,1514,"EDT",0,0,NA
"TMP","FW","C3","15cm","T6",NA,"TMP_FW_C3_T6_20240614",5,20240613,20240614,NA,NA,NA,1624,1518,"EDT",0,0,NA
"TMP","FW","C6","15cm","T6",NA,"TMP_FW_C6_T6_20240614",5,20240613,20240614,NA,NA,NA,1537,1455,"EDT",0,0,NA
"TMP","FW","D5","15cm","T6",NA,"TMP_FW_D5_T6_20240614",5,20240613,20240614,NA,NA,NA,1612,1424,"EDT",0,0,NA
"TMP","FW","E3","15cm","T6",NA,"TMP_FW_E3_T6_20240614",5,20240613,20240614,NA,NA,NA,1530,1529,"EDT",0,0,NA
"TMP","FW","F4","15cm","T6",NA,"TMP_FW_F4_T6_20240614",5,20240613,20240614,NA,NA,NA,1506,1535,"EDT",0,0,NA
"TMP","FW","F6","15cm","T6",NA,"TMP_FW_F6_T6_20240614",5,20240613,20240614,NA,NA,NA,1516,1430,"EDT",0,0,NA
"TMP","FW","H3","15cm","T6",NA,"TMP_FW_H3_T6_20240614",5,20240613,20240614,NA,NA,NA,1456,1546,"EDT",0,0,NA
"TMP","FW","H6","15cm","T6",NA,"TMP_FW_H6_T6_20240614",5,20240613,20240614,NA,NA,NA,1524,1422,"EDT",0,0,NA
"TMP","FW","I5","15cm","T6",NA,"TMP_FW_I5_T6_20240614",5,20240613,20240614,NA,NA,NA,1442,1342,"EDT",0,0,NA
"TMP","SW","B4","15cm","T6",NA,"TMP_SW_B4_T6_20240614",5,20240613,20240614,NA,NA,NA,1544,1506,"EDT",0,0,NA
"TMP","SW","C3","15cm","T6",NA,"TMP_SW_C3_T6_20240614",5,20240613,20240614,NA,NA,NA,1557,1443,"EDT",0,0,NA
"TMP","SW","C6","15cm","T6",NA,"TMP_SW_C6_T6_20240614",5,20240613,20240614,NA,NA,NA,1539,1459,"EDT",0,0,NA
"TMP","SW","D5","15cm","T6",NA,"TMP_SW_D5_T6_20240614",5,20240613,20240614,NA,NA,NA,1529,1453,"EDT",0,0,NA
"TMP","SW","F6","15cm","T6",NA,"TMP_SW_F6_T6_20240614",5,20240613,20240614,NA,NA,NA,1519,1420,"EDT",0,0,NA
"TMP","SW","H6","15cm","T6",NA,"TMP_SW_H6_T6_20240614",5,20240613,20240614,NA,NA,NA,1446,1415,"EDT",0,0,NA
"TMP","FW","C6","15cm",NA,NA,"TMP_FW_C6_20240624",5,20240621,20240624,NA,NA,NA,1210,1029,"EDT",0,0,NA
"TMP","FW","I5","15cm",NA,NA,"TMP_FW_I5_20240624",5,20240621,20240624,NA,NA,NA,1221,1050,"EDT",0,0,NA
"TMP","SW","B4","15cm",NA,NA,"TMP_SW_B4_20240624",5,20240621,20240624,NA,NA,NA,1157,1005,"EDT",0,0,NA
"TMP","SW","C3","15cm",NA,NA,"TMP_SW_C3_20240624",5,20240621,20240624,NA,NA,NA,1154,956,"EDT",0,0,NA
"TMP","SW","F6","15cm",NA,NA,"TMP_SW_F6_20240624",5,20240621,20240624,NA,NA,NA,1202,1012,"EDT",0,0,NA
"TMP","SW",NA,NA,NA,"PM","TMP_SW_SOURCEWATER_20240611_PM",5,NA,20240611,"NA","NA",1550,NA,NA,NA,0,0,NA
"TMP","SW",NA,NA,NA,"MID","TMP_SW_SOURCEWATER_20240611_MID",5,NA,20240611,"NA","NA",1247,NA,NA,NA,0,0,NA
"TMP","SW",NA,NA,NA,"AM","TMP_SW_SOURCEWATER_20240611_AM",5,NA,20240611,"NA","NA",847,NA,NA,NA,0,0,NA
"TMP","FW",NA,NA,NA,"PM","TMP_FW_SOURCEWATER_20240611_PM",5,NA,20240611,"NA","NA",1550,NA,NA,NA,0,0,NA
"TMP","Estuary",NA,NA,NA,"AM","TMP_ESTUARY_SOURCEWATER_20240611_AM",5,NA,20240611,"NA","NA",940,NA,NA,NA,0,0,"high tide"
"TMP","Estuary",NA,NA,NA,"PM","TMP_ESTUARY_SOURCEWATER_20240611_PM",5,NA,20240611,"NA","NA",1630,NA,NA,NA,0,0,"low tide"
"TMP","FW",NA,NA,NA,"MID","TMP_FW_SOURCEWATER_20240611_MID",5,NA,20240611,"NA","NA",1232,NA,NA,NA,0,0,NA
"TMP","FW",NA,NA,NA,"AM","TMP_FW_SOURCEWATER_20240611_AM",5,NA,20240611,"NA","NA",834,NA,NA,NA,0,0,NA
"TMP","FW",NA,NA,NA,"PM","TMP_FW_SOURCEWATER_20240612_PM",5,NA,20240612,"NA","NA",1554,NA,NA,NA,0,0,NA
"TMP","SW",NA,NA,NA,"PM","TMP_SW_SOURCEWATER_20240612_PM",5,NA,20240612,"NA","NA",1535,NA,NA,NA,0,0,NA
"TMP","Estuary",NA,NA,NA,"AM","TMP_ESTUARY_SOURCEWATER_20240612_AM",5,NA,20240612,"NA","NA",1008,NA,NA,NA,0,0,"high tide"
"TMP","Estuary",NA,NA,NA,"PM","TMP_ESTUARY_SOURCEWATER_20240612_PM",5,NA,20240612,"NA","NA",1704,NA,NA,NA,0,0,"low tide"
"TMP","FW",NA,NA,NA,"MID","TMP_FW_SOURCEWATER_20240612_MID",5,NA,20240612,"NA","NA",1255,NA,NA,NA,0,0,NA
"TMP","SW",NA,NA,NA,"MID","TMP_SW_SOURCEWATER_20240612_MID",5,NA,20240612,"NA","NA",1230,NA,NA,NA,0,0,NA
"TMP","FW",NA,NA,NA,"AM","TMP_FW_SOURCEWATER_20240612_AM",5,NA,20240612,"NA","NA",900,NA,NA,NA,0,0,NA
"TMP","SW",NA,NA,NA,"AM","TMP_SW_SOURCEWATER_20240612_AM",5,NA,20240612,"NA","NA",845,NA,NA,NA,0,0,NA
"TMP","SW",NA,NA,NA,"PM","TMP_SW_SOURCEWATER_20240613_PM",5,NA,20240613,"NA","NA",1548,NA,NA,NA,0,0,NA
"TMP","Estuary",NA,NA,NA,"AM","TMP_ESTUARY_SOURCEWATER_20240613_AM",5,NA,20240613,"NA","NA",1033,NA,NA,NA,0,0,"high tide"
"TMP","Estuary",NA,NA,NA,"PM","TMP_ESTUARY_SOURCEWATER_20240613_PM",5,NA,20240613,"NA","NA",1657,NA,NA,NA,0,0,"low tide"
"TMP","FW",NA,NA,NA,"MID","TMP_FW_SOURCEWATER_20240613_MID",5,NA,20240613,"NA","NA",1257,NA,NA,NA,0,0,NA
"TMP","SW",NA,NA,NA,"MID","TMP_SW_SOURCEWATER_20240613_MID",5,NA,20240613,"NA","NA",1228,NA,NA,NA,0,0,NA
"TMP","FW",NA,NA,NA,"AM","TMP_FW_SOURCEWATER_20240613_AM",5,NA,20240613,"NA","NA",853,NA,NA,NA,0,0,NA
"TMP","SW",NA,NA,NA,"AM","TMP_SW_SOURCEWATER_20240613_AM",5,NA,20240613,"NA","NA",838,NA,NA,NA,0,0,NA
